Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2000-02-21,,,0:00:00,,05:41:00,23:34:00,,6:07:00,,,0:00:00,05:41:00,23:34:00,17:53:00,,,,
2000-02-22,,,0:00:00,,08:38:00,22:48:00,,9:50:00,,,0:00:00,08:38:00,22:48:00,14:10:00,,,,
2000-02-23,,,0:00:00,22:06:00,,,,1:54:00,,,0:00:00,00:00:00,22:06:00,22:06:00,,,,
2000-02-24,,,0:00:00,,13:38:00,21:18:00,,16:20:00,,,0:00:00,13:38:00,21:18:00,7:40:00,,,,
2000-02-25,,,0:00:00,,16:37:00,19:57:00,,20:40:00,,,0:00:00,16:37:00,19:57:00,3:20:00,,,,
2000-02-26,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-02-27,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-02-28,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-02-29,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-03-01,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-03-02,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-03-03,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-03-04,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-03-05,,,0:00:00,,,,,24:00:00,,,0:00:00,,,0:00:00,,,,
2000-03-06,05:55:52,22:07:29,16:11:36,03:13:00,22:56:00,,,19:43:00,05:55:52,22:07:29,16:11:36,00:00:00,00:00:00,4:17:00,,,,
2000-03-07,06:04:12,21:58:54,15:54:42,06:28:00,22:06:00,,,15:38:00,06:28:00,21:58:54,15:30:54,00:00:00,00:00:00,7:58:12,,,,
2000-03-08,06:12:21,21:50:27,15:38:06,09:02:00,21:24:00,,,12:22:00,09:02:00,21:24:00,12:22:00,00:00:00,00:00:00,8:21:54,,,,
2000-03-09,06:20:20,21:42:08,15:21:48,,20:37:00,,,20:37:00,06:20:20,20:37:00,14:16:39,21:42:08,00:00:00,2:17:51,,,,
2000-03-10,06:28:12,21:33:56,15:05:44,14:32:00,19:27:00,,,4:55:00,14:32:00,19:27:00,4:55:00,00:00:00,00:00:00,8:54:16,,,,
2000-03-11,06:35:56,21:25:50,14:49:54,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,9:10:06,,,,
2000-03-12,06:43:33,21:17:49,14:34:16,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,9:25:44,,,,
2000-03-13,06:51:05,21:09:53,14:18:48,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,9:41:12,,,,
2000-03-14,06:58:31,21:02:00,14:03:29,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,9:56:31,,,,
2000-03-15,07:05:53,20:54:12,13:48:19,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,10:11:41,,,,
2000-03-16,07:13:11,20:46:26,13:33:15,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,10:26:45,,,,
2000-03-17,07:20:26,20:38:43,13:18:18,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,10:41:42,,,,
2000-03-18,07:27:38,20:31:03,13:03:25,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,10:56:35,,,,
2000-03-19,06:34:47,19:23:24,12:48:37,,01:37:00,21:13:00,,4:24:00,,,0:00:00,01:37:00,21:13:00,6:47:23,,,,
2000-03-20,06:41:54,19:15:47,12:33:53,,04:33:00,20:20:00,,8:13:00,,,0:00:00,04:33:00,20:20:00,3:13:07,,,,
2000-03-21,06:49:00,19:08:11,12:19:11,,07:12:00,19:36:00,,11:36:00,06:49:00,07:12:00,0:23:00,19:08:11,19:36:00,0:27:49,,,,
2000-03-22,06:56:04,19:00:35,12:04:31,18:52:00,,,,5:08:00,18:52:00,19:00:35,0:08:36,00:00:00,06:56:04,6:56:05,,,,
2000-03-23,07:03:08,18:53:00,11:49:52,,12:22:00,17:50:00,,18:32:00,07:03:08,18:53:00,6:21:52,,,0:00:00,,,,
2000-03-24,07:10:11,18:45:25,11:35:14,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,12:24:46,,,,
2000-03-25,07:17:14,18:37:50,11:20:35,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,12:39:25,,,,
2000-03-26,07:24:18,18:30:13,11:05:55,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,12:54:05,,,,
2000-03-27,07:31:23,18:22:36,10:51:13,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,13:08:47,,,,
2000-03-28,07:38:29,18:14:58,10:36:29,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,13:23:31,,,,
2000-03-29,07:45:37,18:07:17,10:21:40,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,13:38:20,,,,
2000-03-30,07:52:47,17:59:35,10:06:48,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,13:53:12,,,,
