Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2010-01-01,,,0:00:00,,,,,0:00:00,188.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-02,,,0:00:00,,,,,0:00:00,202.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-03,,,0:00:00,,,,,0:00:00,216.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-04,,,0:00:00,03:30:00,06:27:00,,,2:57:00,230.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,21:03:00,,,,,
2010-01-05,,,0:00:00,01:22:00,,,,22:38:00,244.43,,,0:00:00,,,0:00:00,00:00:00,01:22:00,1:22:00,,,,,
2010-01-06,,,0:00:00,,13:35:00,23:04:00,,14:31:00,257.43,,,0:00:00,,,0:00:00,13:35:00,23:04:00,9:29:00,,,,,
2010-01-07,,,0:00:00,,17:04:00,21:23:00,,19:41:00,270.43,,,0:00:00,,,0:00:00,17:04:00,21:23:00,4:19:00,,,,,
2010-01-08,,,0:00:00,,,,,0:00:00,282.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-09,,,0:00:00,,,,,0:00:00,294.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-10,,,0:00:00,,,,,0:00:00,306.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-11,,,0:00:00,,,,,0:00:00,318.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-12,,,0:00:00,,,,,0:00:00,329.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-13,,,0:00:00,,,,,0:00:00,340.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-14,,,0:00:00,,,,,0:00:00,351.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-15,,,0:00:00,,,,,0:00:00,2.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-16,,,0:00:00,,,,,0:00:00,13.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-17,,,0:00:00,,,,,24:00:00,24.43,,,0:00:00,,,0:00:00,,,0:00:00,,,,,
2010-01-18,,,0:00:00,,02:27:00,05:25:00,,21:02:00,35.43,,,0:00:00,,,0:00:00,02:27:00,05:25:00,2:58:00,,,,,
2010-01-19,,,0:00:00,08:44:00,23:35:00,,,14:51:00,45.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,9:09:00,,,,,
2010-01-20,,,0:00:00,,22:39:00,,,22:39:00,56.43,,,0:00:00,,,0:00:00,22:39:00,00:00:00,1:21:00,,,,,
2010-01-21,,,0:00:00,13:53:00,21:34:00,,,7:41:00,67.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,16:19:00,,,,,
2010-01-22,,,0:00:00,17:57:00,19:02:00,,,1:05:00,78.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,22:55:00,,,,,
2010-01-23,,,0:00:00,,,,,0:00:00,90.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-24,,,0:00:00,,,,,0:00:00,102.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-25,,,0:00:00,,,,,0:00:00,114.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-26,,,0:00:00,,,,,0:00:00,127.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-27,,,0:00:00,,,,,0:00:00,140.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-28,,,0:00:00,,,,,0:00:00,154.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-29,,,0:00:00,,,,,0:00:00,168.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-30,,,0:00:00,,,,,0:00:00,182.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-01-31,,,0:00:00,,,,,0:00:00,196.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-02-01,,,0:00:00,,06:56:00,22:56:00,,8:00:00,210.43,,,0:00:00,,,0:00:00,06:56:00,22:56:00,16:00:00,,,,,
2010-02-02,,,0:00:00,21:48:00,,,,2:12:00,224.43,,,0:00:00,,,0:00:00,00:00:00,21:48:00,21:48:00,,,,,
2010-02-03,,,0:00:00,,13:38:00,20:28:00,,17:10:00,237.43,,,0:00:00,,,0:00:00,13:38:00,20:28:00,6:50:00,,,,,
2010-02-04,,,0:00:00,,,,,0:00:00,251.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-02-05,,,0:00:00,,,,,0:00:00,263.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-02-06,,,0:00:00,,,,,0:00:00,275.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2010-02-07,,,0:00:00,,,,,0:00:00,287.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
