Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2001-01-01,,,0:00:00,,04:09:00,09:09:00,,19:00:00,73.43,,,0:00:00,,,0:00:00,04:09:00,09:09:00,5:00:00,,,,,
2001-01-02,,,0:00:00,,03:00:00,,,3:00:00,85.43,,,0:00:00,,,0:00:00,03:00:00,00:00:00,21:00:00,,,,,
2001-01-03,,,0:00:00,,02:11:00,14:17:00,,11:54:00,96.43,,,0:00:00,,,0:00:00,02:11:00,14:17:00,12:06:00,,,,,
2001-01-04,,,0:00:00,,01:25:00,16:52:00,,8:33:00,108.43,,,0:00:00,,,0:00:00,01:25:00,16:52:00,15:27:00,,,,,
2001-01-05,,,0:00:00,20:39:00,22:24:00,,,1:45:00,120.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,22:15:00,,,,,
2001-01-06,,,0:00:00,,,,,0:00:00,133.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-07,,,0:00:00,,,,,0:00:00,146.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-08,,,0:00:00,,,,,0:00:00,160.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-09,,,0:00:00,,,,,0:00:00,174.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-10,,,0:00:00,,,,,0:00:00,188.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-11,,,0:00:00,,,,,0:00:00,202.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-12,,,0:00:00,,,,,0:00:00,216.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-13,,,0:00:00,,,,,0:00:00,230.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-14,,,0:00:00,03:17:00,08:41:00,,,5:24:00,243.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,18:36:00,,,,,
2001-01-15,,,0:00:00,02:01:00,,,,21:59:00,256.43,,,0:00:00,,,0:00:00,00:00:00,02:01:00,2:01:00,,,,,
2001-01-16,,,0:00:00,01:09:00,14:27:00,,,13:18:00,269.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,10:42:00,,,,,
2001-01-17,,,0:00:00,,17:15:00,23:13:00,,18:02:00,281.43,,,0:00:00,,,0:00:00,17:15:00,23:13:00,5:58:00,,,,,
2001-01-18,,,0:00:00,,,,,0:00:00,293.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-19,,,0:00:00,,,,,0:00:00,305.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-20,,,0:00:00,,,,,0:00:00,316.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-21,,,0:00:00,,,,,0:00:00,327.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-22,,,0:00:00,,,,,0:00:00,338.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-23,,,0:00:00,,,,,0:00:00,349.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-24,,,0:00:00,,,,,0:00:00,0.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-25,,,0:00:00,,,,,0:00:00,10.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-26,,,0:00:00,,,,,0:00:00,21.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-01-27,,,0:00:00,,,,,24:00:00,32.43,,,0:00:00,,,0:00:00,,,0:00:00,,,,,
2001-01-28,,,0:00:00,,03:01:00,06:12:00,,20:49:00,43.43,,,0:00:00,,,0:00:00,03:01:00,06:12:00,3:11:00,,,,,
2001-01-29,,,0:00:00,,01:31:00,09:14:00,,16:17:00,54.43,,,0:00:00,,,0:00:00,01:31:00,09:14:00,7:43:00,,,,,
2001-01-30,,,0:00:00,,23:53:00,,,23:53:00,65.43,,,0:00:00,,,0:00:00,23:53:00,00:00:00,0:07:00,,,,,
2001-01-31,,,0:00:00,14:06:00,23:03:00,,,8:57:00,77.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,15:03:00,,,,,
2001-02-01,,,0:00:00,16:58:00,21:48:00,,,4:50:00,88.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,19:10:00,,,,,
2001-02-02,,,0:00:00,,,,,0:00:00,101.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-03,,,0:00:00,,,,,0:00:00,113.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-04,,,0:00:00,,,,,0:00:00,126.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-05,,,0:00:00,,,,,0:00:00,140.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-06,,,0:00:00,,,,,0:00:00,153.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-07,,,0:00:00,,,,,0:00:00,167.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-08,,,0:00:00,,,,,0:00:00,181.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-09,,,0:00:00,,,,,0:00:00,196.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-10,,,0:00:00,,,,,0:00:00,210.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-11,,,0:00:00,,08:36:00,23:42:00,,8:54:00,223.43,,,0:00:00,,,0:00:00,08:36:00,23:42:00,15:06:00,,,,,
2001-02-12,,,0:00:00,22:51:00,,,,1:09:00,236.43,,,0:00:00,,,0:00:00,00:00:00,22:51:00,22:51:00,,,,,
2001-02-13,,,0:00:00,,14:19:00,21:52:00,,16:27:00,249.43,,,0:00:00,,,0:00:00,14:19:00,21:52:00,7:33:00,,,,,
2001-02-14,,,0:00:00,,18:09:00,19:46:00,,22:23:00,262.43,,,0:00:00,,,0:00:00,18:09:00,19:46:00,1:37:00,,,,,
2001-02-15,,,0:00:00,,,,,0:00:00,274.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-16,,,0:00:00,,,,,0:00:00,285.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-17,,,0:00:00,,,,,0:00:00,297.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-18,,,0:00:00,,,,,0:00:00,308.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-19,,,0:00:00,,,,,0:00:00,319.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-20,,,0:00:00,,,,,0:00:00,329.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-21,,,0:00:00,,,,,0:00:00,340.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-22,,,0:00:00,,,,,0:00:00,351.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-23,,,0:00:00,,,,,0:00:00,2.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-02-24,,,0:00:00,,,,,24:00:00,13.43,,,0:00:00,,,0:00:00,,,0:00:00,,,,,
2001-02-25,,,0:00:00,06:39:00,23:04:00,,,16:25:00,24.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,7:35:00,,,,,
2001-02-26,,,0:00:00,09:10:00,22:17:00,,,13:07:00,35.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,10:53:00,,,,,
2001-02-27,,,0:00:00,,21:29:00,,,21:29:00,46.43,,,0:00:00,,,0:00:00,21:29:00,00:00:00,2:31:00,,,,,
2001-02-28,,,0:00:00,14:14:00,20:26:00,,,6:12:00,58.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,17:48:00,,,,,
2001-03-01,,,0:00:00,,,,,0:00:00,70.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-03-02,,,0:00:00,,,,,0:00:00,82.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-03-03,,,0:00:00,,,,,0:00:00,95.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-03-04,,,0:00:00,,,,,0:00:00,107.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-03-05,,,0:00:00,,,,,0:00:00,121.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-03-06,,,0:00:00,,,,,0:00:00,134.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2001-03-07,06:02:11,22:00:58,15:58:47,,,,,0:00:00,148.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,8:01:13,,,,,
2001-03-08,06:10:22,21:52:30,15:42:07,,,,,0:00:00,162.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,8:17:53,,,,,
2001-03-09,06:18:24,21:44:09,15:25:45,23:44:00,,,,0:16:00,176.43,,,0:00:00,,,0:00:00,00:00:00,23:44:00,8:18:15,,,,,
2001-03-10,06:26:18,21:35:55,15:09:38,,04:57:00,22:22:00,,6:35:00,189.43,,,0:00:00,,,0:00:00,04:57:00,22:22:00,2:15:22,,,,,
2001-03-11,06:34:03,21:27:47,14:53:44,,08:15:00,21:27:00,,10:48:00,203.43,06:34:03,21:27:47,1:41:44,06:34:03,21:27:47,1:41:44,,,0:00:00,,,,,
2001-03-12,06:41:42,21:19:45,14:38:03,20:31:00,,,,3:29:00,216.43,20:31:00,21:19:45,0:48:46,20:31:00,21:19:45,0:48:46,00:00:00,06:41:42,6:41:43,,,,,
2001-03-13,06:49:15,21:11:48,14:22:33,,14:17:00,19:12:00,,19:05:00,229.43,06:49:15,21:11:48,9:27:33,06:49:15,21:11:48,9:27:33,,,0:00:00,,,,,
2001-03-14,06:56:43,21:03:55,14:07:12,,,,,0:00:00,242.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,9:52:48,,,,,
2001-03-15,07:04:06,20:56:05,13:51:59,,,,,0:00:00,254.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,10:08:01,,,,,
2001-03-16,07:11:25,20:48:19,13:36:54,,,,,0:00:00,266.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,10:23:06,,,,,
2001-03-17,07:18:40,20:40:36,13:21:55,,,,,0:00:00,277.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,10:38:05,,,,,
2001-03-18,06:25:53,19:32:55,13:07:02,,,,,0:00:00,288.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,10:52:58,,,,,
2001-03-19,06:33:03,19:25:15,12:52:13,,,,,0:00:00,299.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,11:07:47,,,,,
2001-03-20,06:40:10,19:17:38,12:37:27,,,,,0:00:00,310.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,11:22:33,,,,,
2001-03-21,06:47:16,19:10:01,12:22:45,,,,,0:00:00,320.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,11:37:15,,,,,
2001-03-22,06:54:21,19:02:26,12:08:05,,,,,0:00:00,331.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,11:51:55,,,,,
2001-03-23,07:01:25,18:54:50,11:53:26,,21:44:00,,,21:44:00,342.43,07:01:25,18:54:50,11:53:26,,,0:00:00,21:44:00,00:00:00,2:16:00,,,,,
2001-03-24,07:08:28,18:47:15,11:38:47,02:50:00,20:34:00,,,17:44:00,353.43,07:08:28,18:47:15,11:38:47,,,0:00:00,00:00:00,00:00:00,6:16:00,,,,,
2001-03-25,07:15:32,18:39:40,11:24:09,05:34:00,19:44:00,,,14:10:00,5.43,07:15:32,18:39:40,11:24:09,,,0:00:00,00:00:00,00:00:00,9:50:00,,,,,
2001-03-26,07:22:35,18:32:04,11:09:29,08:01:00,18:56:00,,,10:55:00,16.43,08:01:00,18:32:04,10:31:05,,,0:00:00,00:00:00,00:00:00,12:26:36,,,,,
2001-03-27,07:29:40,18:24:27,10:54:47,,17:58:00,,,17:58:00,28.43,07:29:40,17:58:00,10:28:20,,,0:00:00,18:24:27,00:00:00,5:35:32,,,,,
2001-03-28,07:36:46,18:16:49,10:40:04,14:39:00,15:34:00,,,0:55:00,40.43,14:39:00,15:34:00,0:55:00,,,0:00:00,00:00:00,00:00:00,13:19:56,,,,,
2001-03-29,07:43:53,18:09:09,10:25:16,,,,,0:00:00,52.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,13:34:44,,,,,
2001-03-30,07:51:03,18:01:27,10:10:25,,,,,0:00:00,65.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,13:49:35,,,,,
2001-03-31,07:58:15,17:53:43,9:55:28,,,,,0:00:00,77.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,14:04:32,,,,,
2001-04-01,08:05:30,17:45:55,9:40:25,,,,,0:00:00,90.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,14:19:35,,,,,
2001-04-02,08:12:48,17:38:04,9:25:16,,,,,0:00:00,103.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,14:34:44,,,,,
2001-04-03,08:20:11,17:30:09,9:09:58,,,,,0:00:00,116.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,14:50:02,,,,,
2001-04-04,08:27:39,17:22:09,8:54:31,,,,,0:00:00,129.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,15:05:29,,,,,
2001-04-05,08:35:12,17:14:05,8:38:53,,,,,0:00:00,143.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,15:21:07,,,,,
2001-04-06,08:42:51,17:05:54,8:23:03,20:08:00,,,,3:52:00,157.43,,,0:00:00,,,0:00:00,00:00:00,20:08:00,11:44:57,,,,,
2001-04-07,08:50:38,16:57:36,8:06:59,,03:55:00,19:05:00,,8:50:00,170.43,,,0:00:00,,,0:00:00,03:55:00,19:05:00,7:03:01,,,,,
2001-04-08,08:58:32,16:49:11,7:50:39,,06:53:00,18:11:00,,12:42:00,184.43,,,0:00:00,,,0:00:00,06:53:00,18:11:00,3:27:21,,,,,
2001-04-09,09:06:35,16:40:38,7:34:02,17:07:00,,,,6:53:00,197.43,,,0:00:00,,,0:00:00,00:00:00,17:07:00,9:32:58,,,,,
2001-04-10,09:14:49,16:31:54,7:17:05,,,,,0:00:00,210.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,16:42:55,,,,,
2001-04-11,09:23:14,16:22:59,6:59:45,,,,,0:00:00,222.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,17:00:15,,,,,
2001-04-12,09:31:53,16:13:52,6:41:59,,,,,0:00:00,234.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,17:18:01,,,,,
2001-04-13,09:40:47,16:04:29,6:23:43,,,,,0:00:00,246.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,17:36:17,,,,,
2001-04-14,09:49:59,15:54:49,6:04:51,,,,,0:00:00,258.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,17:55:09,,,,,
2001-04-15,09:59:31,15:44:49,5:45:18,,,,,0:00:00,269.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,18:14:42,,,,,
2001-04-16,10:09:29,15:34:25,5:24:56,,,,,0:00:00,279.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,18:35:04,,,,,
2001-04-17,10:19:57,15:23:31,5:03:34,,,,,0:00:00,290.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,18:56:26,,,,,
2001-04-18,10:31:02,15:12:01,4:40:59,,,,,0:00:00,301.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,19:19:01,,,,,
2001-04-19,10:42:53,14:59:44,4:16:51,,20:58:00,23:25:00,,21:33:00,312.43,10:42:53,14:59:44,4:16:51,,,0:00:00,20:58:00,23:25:00,2:27:00,,,,,
2001-04-20,10:55:46,14:46:27,3:50:41,,19:12:00,,,19:12:00,323.43,10:55:46,14:46:27,3:50:41,,,0:00:00,19:12:00,00:00:00,4:48:00,,,,,
2001-04-21,11:10:04,14:31:44,3:21:41,02:44:00,18:16:00,,,15:32:00,334.43,11:10:04,14:31:44,3:21:41,,,0:00:00,00:00:00,00:00:00,8:28:00,,,,,
2001-04-22,11:26:30,14:14:52,2:48:22,05:16:00,17:27:00,,,12:11:00,346.43,11:26:30,14:14:52,2:48:22,,,0:00:00,00:00:00,00:00:00,11:49:00,,,,,
2001-04-23,12:16:57,13:54:10,1:37:13,07:48:00,16:33:00,,,8:45:00,358.43,12:16:57,13:54:10,1:37:13,,,0:00:00,00:00:00,00:00:00,15:15:00,,,,,
