Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2005-01-01,08:06:34,16:01:57,7:55:23,,11:12:00,22:12:00,,13:00:00,244.43,08:06:34,11:12:00,3:05:26,08:06:34,11:12:00,3:05:26,16:01:57,22:12:00,6:10:02,,,,,
2005-01-02,08:06:26,16:03:02,7:56:37,,11:23:00,23:25:00,,11:58:00,255.43,08:06:26,11:23:00,3:16:34,08:06:26,11:23:00,3:16:34,16:03:02,23:25:00,7:21:57,,,,,
2005-01-03,08:06:15,16:04:10,7:57:56,,11:34:00,,,11:34:00,267.43,08:06:15,11:34:00,3:27:45,08:06:15,11:34:00,3:27:45,16:04:10,00:00:00,7:55:49,,,,,
2005-01-04,08:06:00,16:05:20,7:59:21,00:41:00,11:46:00,,,11:05:00,279.43,08:06:00,11:46:00,3:40:00,,,0:00:00,00:00:00,00:00:00,8:35:39,,,,,
2005-01-05,08:05:42,16:06:33,8:00:51,02:01:00,12:00:00,,,9:59:00,291.43,08:05:42,12:00:00,3:54:18,,,0:00:00,00:00:00,00:00:00,9:54:26,,,,,
2005-01-06,08:05:20,16:07:48,8:02:28,03:25:00,12:18:00,,,8:53:00,304.43,08:05:20,12:18:00,4:12:39,,,0:00:00,00:00:00,00:00:00,11:17:11,,,,,
2005-01-07,08:04:56,16:09:06,8:04:10,04:55:00,12:44:00,,,7:49:00,317.43,08:04:56,12:44:00,4:39:04,,,0:00:00,00:00:00,00:00:00,12:45:54,,,,,
2005-01-08,08:04:28,16:10:25,8:05:57,06:24:00,13:24:00,,,7:00:00,331.43,08:04:28,13:24:00,5:19:32,,,0:00:00,00:00:00,00:00:00,14:13:34,,,,,
2005-01-09,08:03:57,16:11:47,8:07:50,07:44:00,14:24:00,,,6:40:00,344.43,08:03:57,14:24:00,6:20:03,,,0:00:00,00:00:00,00:00:00,15:32:12,,,,,
2005-01-10,08:03:23,16:13:11,8:09:48,08:45:00,15:44:00,,,6:59:00,358.43,08:45:00,15:44:00,6:59:00,,,0:00:00,00:00:00,00:00:00,15:50:12,,,,,
2005-01-11,08:02:46,16:14:37,8:11:51,09:26:00,17:18:00,,,7:52:00,13.43,09:26:00,16:14:37,6:48:37,,,0:00:00,00:00:00,00:00:00,14:44:46,,,,,
2005-01-12,08:02:05,16:16:05,8:14:00,09:53:00,18:53:00,,,9:00:00,27.43,09:53:00,16:16:05,6:23:05,,,0:00:00,00:00:00,00:00:00,13:09:06,,,,,
2005-01-13,08:01:22,16:17:34,8:16:13,10:12:00,20:23:00,,,10:11:00,40.43,10:12:00,16:17:34,6:05:35,,,0:00:00,00:00:00,00:00:00,11:38:22,,,,,
2005-01-14,08:00:35,16:19:06,8:18:30,10:27:00,21:48:00,,,11:21:00,54.43,10:27:00,16:19:06,5:52:06,,,0:00:00,00:00:00,00:00:00,10:12:36,,,,,
2005-01-15,07:59:46,16:20:39,8:20:53,10:40:00,23:09:00,,,12:29:00,67.43,10:40:00,16:20:39,5:40:39,,,0:00:00,00:00:00,00:00:00,8:50:46,,,,,
2005-01-16,07:58:54,16:22:13,8:23:19,10:52:00,,,,13:08:00,80.43,10:52:00,16:22:13,5:30:13,,,0:00:00,00:00:00,07:58:54,7:58:54,,,,,
2005-01-17,07:57:59,16:23:49,8:25:50,,00:27:00,11:04:00,,13:23:00,92.43,11:04:00,16:23:49,5:19:49,11:04:00,16:23:49,5:19:49,00:27:00,07:57:59,7:30:59,,,,,
2005-01-18,07:57:01,16:25:26,8:28:26,,01:44:00,11:18:00,,14:26:00,104.43,11:18:00,16:25:26,5:07:27,11:18:00,16:25:26,5:07:27,01:44:00,07:57:01,6:13:01,,,,,
2005-01-19,07:56:00,16:27:05,8:31:05,,03:00:00,11:36:00,,15:24:00,115.43,11:36:00,16:27:05,4:51:05,11:36:00,16:27:05,4:51:05,03:00:00,07:56:00,4:56:00,,,,,
2005-01-20,07:54:57,16:28:45,8:33:48,,04:15:00,11:59:00,,16:16:00,127.43,11:59:00,16:28:45,4:29:45,11:59:00,16:28:45,4:29:45,04:15:00,07:54:57,3:39:57,,,,,
2005-01-21,07:53:51,16:30:26,8:36:35,,05:26:00,12:30:00,,16:56:00,138.43,12:30:00,16:30:26,4:00:26,12:30:00,16:30:26,4:00:26,05:26:00,07:53:51,2:27:51,,,,,
2005-01-22,07:52:42,16:32:08,8:39:26,,06:29:00,13:12:00,,17:17:00,148.43,13:12:00,16:32:08,3:20:08,13:12:00,16:32:08,3:20:08,06:29:00,07:52:42,1:23:42,,,,,
2005-01-23,07:51:31,16:33:51,8:42:20,,07:21:00,14:06:00,,17:15:00,159.43,14:06:00,16:33:51,2:27:51,14:06:00,16:33:51,2:27:51,07:21:00,07:51:31,0:30:31,,,,,
2005-01-24,07:50:17,16:35:35,8:45:17,,08:00:00,15:11:00,,16:49:00,170.43,07:50:17,16:35:35,1:34:17,07:50:17,16:35:35,1:34:17,,,0:00:00,,,,,
2005-01-25,07:49:01,16:37:19,8:48:18,,08:29:00,16:22:00,,16:07:00,181.43,07:49:01,16:37:19,0:55:18,07:49:01,16:37:19,0:55:18,,,0:00:00,,,,,
2005-01-26,07:47:43,16:39:05,8:51:22,,08:50:00,17:36:00,,15:14:00,191.43,07:47:43,08:50:00,1:02:17,07:47:43,08:50:00,1:02:17,16:39:05,17:36:00,0:56:55,,,,,
2005-01-27,07:46:22,16:40:51,8:54:29,,09:06:00,18:49:00,,14:17:00,202.43,07:46:22,09:06:00,1:19:38,07:46:22,09:06:00,1:19:38,16:40:51,18:49:00,2:08:08,,,,,
2005-01-28,07:44:59,16:42:38,8:57:39,,09:19:00,20:02:00,,13:17:00,213.43,07:44:59,09:19:00,1:34:01,07:44:59,09:19:00,1:34:01,16:42:38,20:02:00,3:19:22,,,,,
2005-01-29,07:43:34,16:44:25,9:00:52,,09:30:00,21:15:00,,12:15:00,225.43,07:43:34,09:30:00,1:46:26,07:43:34,09:30:00,1:46:26,16:44:25,21:15:00,4:30:34,,,,,
2005-01-30,07:42:06,16:46:13,9:04:07,,09:41:00,22:29:00,,11:12:00,236.43,07:42:06,09:41:00,1:58:53,07:42:06,09:41:00,1:58:53,16:46:13,22:29:00,5:42:46,,,,,
2005-01-31,07:40:37,16:48:01,9:07:25,,09:52:00,23:45:00,,10:07:00,248.43,07:40:37,09:52:00,2:11:23,07:40:37,09:52:00,2:11:23,16:48:01,23:45:00,6:56:58,,,,,
2005-02-01,07:39:05,16:49:50,9:10:45,,10:05:00,,,10:05:00,260.43,07:39:05,10:05:00,2:25:54,07:39:05,10:05:00,2:25:54,16:49:50,00:00:00,7:10:09,,,,,
2005-02-02,07:37:32,16:51:39,9:14:07,01:06:00,10:21:00,,,9:15:00,272.43,07:37:32,10:21:00,2:43:28,,,0:00:00,00:00:00,00:00:00,8:14:20,,,,,
2005-02-03,07:35:56,16:53:29,9:17:32,02:31:00,10:42:00,,,8:11:00,285.43,07:35:56,10:42:00,3:06:03,,,0:00:00,00:00:00,00:00:00,9:37:31,,,,,
2005-02-04,07:34:19,16:55:18,9:20:59,03:58:00,11:14:00,,,7:16:00,298.43,07:34:19,11:14:00,3:39:41,,,0:00:00,00:00:00,00:00:00,11:02:41,,,,,
2005-02-05,07:32:40,16:57:08,9:24:28,05:20:00,12:01:00,,,6:41:00,311.43,07:32:40,12:01:00,4:28:20,,,0:00:00,00:00:00,00:00:00,12:22:52,,,,,
2005-02-06,07:30:59,16:58:58,9:27:59,06:28:00,13:10:00,,,6:42:00,324.43,07:30:59,13:10:00,5:39:01,,,0:00:00,00:00:00,00:00:00,13:29:02,,,,,
2005-02-07,07:29:16,17:00:48,9:31:32,07:18:00,14:37:00,,,7:19:00,338.43,07:29:16,14:37:00,7:07:43,,,0:00:00,00:00:00,00:00:00,14:17:12,,,,,
2005-02-08,07:27:32,17:02:38,9:35:06,07:51:00,16:13:00,,,8:22:00,352.43,07:51:00,16:13:00,8:22:00,,,0:00:00,00:00:00,00:00:00,14:24:54,,,,,
