Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2024-01-01,08:06:34,16:01:17,7:54:44,,11:06:00,21:53:00,,13:13:00,08:06:34,11:06:00,2:59:26,16:01:17,21:53:00,5:51:42,,,,
2024-01-02,08:06:28,16:02:21,7:55:53,,11:17:00,23:02:00,,12:15:00,08:06:28,11:17:00,3:10:32,16:02:21,23:02:00,6:59:39,,,,
2024-01-03,08:06:18,16:03:27,7:57:08,,11:27:00,,,11:27:00,08:06:18,11:27:00,3:20:41,16:03:27,00:00:00,7:56:33,,,,
2024-01-04,08:06:06,16:04:35,7:58:30,00:12:00,11:37:00,,,11:25:00,08:06:06,11:37:00,3:30:54,00:00:00,00:00:00,8:07:24,,,,
2024-01-05,08:05:50,16:05:47,7:59:57,01:24:00,11:48:00,,,10:24:00,08:05:50,11:48:00,3:42:10,00:00:00,00:00:00,9:18:13,,,,
2024-01-06,08:05:30,16:07:00,8:01:30,02:39:00,12:02:00,,,9:23:00,08:05:30,12:02:00,3:56:29,00:00:00,00:00:00,10:31:59,,,,
2024-01-07,08:05:08,16:08:16,8:03:09,03:58:00,12:20:00,,,8:22:00,08:05:08,12:20:00,4:14:52,00:00:00,00:00:00,11:49:43,,,,
2024-01-08,08:04:42,16:09:34,8:04:53,05:20:00,12:47:00,,,7:27:00,08:04:42,12:47:00,4:42:18,00:00:00,00:00:00,13:10:25,,,,
2024-01-09,08:04:13,16:10:55,8:06:42,06:41:00,13:27:00,,,6:46:00,08:04:13,13:27:00,5:22:47,00:00:00,00:00:00,14:30:04,,,,
2024-01-10,08:03:41,16:12:18,8:08:37,07:51:00,14:26:00,,,6:35:00,08:03:41,14:26:00,6:22:19,00:00:00,00:00:00,15:38:42,,,,
2024-01-11,08:03:05,16:13:42,8:10:37,08:45:00,15:45:00,,,7:00:00,08:45:00,15:45:00,7:00:00,00:00:00,00:00:00,15:49:23,,,,
2024-01-12,08:02:27,16:15:09,8:12:42,09:23:00,17:16:00,,,7:53:00,09:23:00,16:15:09,6:52:09,00:00:00,00:00:00,14:46:27,,,,
2024-01-13,08:01:45,16:16:37,8:14:52,09:49:00,18:50:00,,,9:01:00,09:49:00,16:16:37,6:27:38,00:00:00,00:00:00,13:11:46,,,,
2024-01-14,08:01:01,16:18:08,8:17:07,10:07:00,20:22:00,,,10:15:00,10:07:00,16:18:08,6:11:08,00:00:00,00:00:00,11:39:01,,,,
2024-01-15,08:00:13,16:19:40,8:19:27,10:22:00,21:50:00,,,11:28:00,10:22:00,16:19:40,5:57:40,00:00:00,00:00:00,10:10:13,,,,
2024-01-16,07:59:23,16:21:13,8:21:51,10:35:00,23:15:00,,,12:40:00,10:35:00,16:21:13,5:46:14,00:00:00,00:00:00,8:44:23,,,,
2024-01-17,07:58:29,16:22:48,8:24:19,10:47:00,,,,13:13:00,10:47:00,16:22:48,5:35:49,00:00:00,07:58:29,7:58:30,,,,
2024-01-18,07:57:33,16:24:25,8:26:52,,00:39:00,11:01:00,,13:38:00,11:01:00,16:24:25,5:23:25,00:39:00,07:57:33,7:18:33,,,,
2024-01-19,07:56:34,16:26:02,8:29:29,,02:03:00,11:17:00,,14:46:00,11:17:00,16:26:02,5:09:03,02:03:00,07:56:34,5:53:34,,,,
2024-01-20,07:55:32,16:27:42,8:32:09,,03:27:00,11:38:00,,15:49:00,11:38:00,16:27:42,4:49:42,03:27:00,07:55:32,4:28:33,,,,
2024-01-21,07:54:28,16:29:22,8:34:54,,04:48:00,12:07:00,,16:41:00,12:07:00,16:29:22,4:22:22,04:48:00,07:54:28,3:06:28,,,,
2024-01-22,07:53:21,16:31:03,8:37:42,,06:01:00,12:48:00,,17:13:00,12:48:00,16:31:03,3:43:04,06:01:00,07:53:21,1:52:21,,,,
2024-01-23,07:52:11,16:32:46,8:40:34,,07:02:00,13:41:00,,17:21:00,13:41:00,16:32:46,2:51:46,07:02:00,07:52:11,0:50:12,,,,
2024-01-24,07:50:59,16:34:29,8:43:30,,07:48:00,14:47:00,,17:01:00,14:47:00,16:34:29,1:47:30,07:48:00,07:50:59,0:03:00,,,,
2024-01-25,07:49:45,16:36:13,8:46:29,,08:20:00,16:00:00,,16:20:00,07:49:45,16:36:13,1:06:29,,,0:00:00,,,,
2024-01-26,07:48:28,16:37:58,8:49:31,,08:43:00,17:15:00,,15:28:00,07:48:28,08:43:00,0:54:32,16:37:58,17:15:00,0:37:01,,,,
2024-01-27,07:47:08,16:39:44,8:52:36,,09:00:00,18:28:00,,14:32:00,07:47:08,09:00:00,1:12:51,16:39:44,18:28:00,1:48:15,,,,
2024-01-28,07:45:47,16:41:31,8:55:44,,09:13:00,19:40:00,,13:33:00,07:45:47,09:13:00,1:27:13,16:41:31,19:40:00,2:58:29,,,,
2024-01-29,07:44:23,16:43:18,8:58:55,,09:24:00,20:49:00,,12:35:00,07:44:23,09:24:00,1:39:37,16:43:18,20:49:00,4:05:42,,,,
2024-01-30,07:42:57,16:45:05,9:02:08,,09:34:00,21:59:00,,11:35:00,07:42:57,09:34:00,1:51:03,16:45:05,21:59:00,5:13:54,,,,
2024-01-31,07:41:29,16:46:53,9:05:25,,09:43:00,23:08:00,,10:35:00,07:41:29,09:43:00,2:01:31,16:46:53,23:08:00,6:21:06,,,,
2024-02-01,07:39:58,16:48:42,9:08:43,,09:54:00,,,9:54:00,07:39:58,09:54:00,2:14:01,16:48:42,00:00:00,7:11:18,,,,
2024-02-02,07:38:26,16:50:31,9:12:05,00:21:00,10:06:00,,,9:45:00,07:38:26,10:06:00,2:27:33,00:00:00,00:00:00,7:30:29,,,,
2024-02-03,07:36:52,16:52:20,9:15:28,01:36:00,10:22:00,,,8:46:00,07:36:52,10:22:00,2:45:08,00:00:00,00:00:00,8:43:40,,,,
2024-02-04,07:35:16,16:54:09,9:18:54,02:55:00,10:43:00,,,7:48:00,07:35:16,10:43:00,3:07:44,00:00:00,00:00:00,10:00:50,,,,
2024-02-05,07:33:38,16:55:59,9:22:21,04:15:00,11:15:00,,,7:00:00,07:33:38,11:15:00,3:41:22,00:00:00,00:00:00,11:19:01,,,,
2024-02-06,07:31:58,16:57:49,9:25:51,05:30:00,12:04:00,,,6:34:00,07:31:58,12:04:00,4:32:02,00:00:00,00:00:00,12:32:11,,,,
2024-02-07,07:30:16,16:59:39,9:29:23,06:32:00,13:12:00,,,6:40:00,07:30:16,13:12:00,5:41:43,00:00:00,00:00:00,13:32:21,,,,
2024-02-08,07:28:33,17:01:29,9:32:56,07:17:00,14:38:00,,,7:21:00,07:28:33,14:38:00,7:09:27,00:00:00,00:00:00,14:15:31,,,,
2024-02-09,07:26:48,17:03:19,9:36:31,07:48:00,16:13:00,,,8:25:00,07:48:00,16:13:00,8:25:00,00:00:00,00:00:00,14:23:29,,,,
2024-02-10,07:25:01,17:05:09,9:40:08,08:10:00,17:49:00,,,9:39:00,08:10:00,17:05:09,8:55:09,00:00:00,00:00:00,13:36:02,,,,
