Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2009-01-01,08:06:33,16:01:59,7:55:27,10:19:00,21:33:00,,,11:14:00,10:19:00,16:01:59,5:43:00,00:00:00,00:00:00,10:33:33,,,,
2009-01-02,08:06:24,16:03:04,7:56:40,10:32:00,22:46:00,,,12:14:00,10:32:00,16:03:04,5:31:05,00:00:00,00:00:00,9:20:25,,,,
2009-01-03,08:06:13,16:04:12,7:57:59,10:44:00,,,,13:16:00,10:44:00,16:04:12,5:20:13,00:00:00,08:06:13,8:06:13,,,,
2009-01-04,08:05:58,16:05:23,7:59:24,,00:02:00,10:58:00,,13:04:00,10:58:00,16:05:23,5:07:23,00:02:00,08:05:58,8:03:59,,,,
2009-01-05,08:05:40,16:06:35,8:00:55,,01:21:00,11:14:00,,14:07:00,11:14:00,16:06:35,4:52:36,01:21:00,08:05:40,6:44:40,,,,
2009-01-06,08:05:18,16:07:51,8:02:32,,02:45:00,11:36:00,,15:09:00,11:36:00,16:07:51,4:31:51,02:45:00,08:05:18,5:20:19,,,,
2009-01-07,08:04:54,16:09:08,8:04:14,,04:11:00,12:06:00,,16:05:00,12:06:00,16:09:08,4:03:09,04:11:00,08:04:54,3:53:54,,,,
2009-01-08,08:04:26,16:10:28,8:06:02,,05:36:00,12:51:00,,16:45:00,12:51:00,16:10:28,3:19:28,05:36:00,08:04:26,2:28:26,,,,
2009-01-09,08:03:55,16:11:50,8:07:55,,06:50:00,13:54:00,,16:56:00,13:54:00,16:11:50,2:17:50,06:50:00,08:03:55,1:13:55,,,,
2009-01-10,08:03:20,16:13:14,8:09:53,,07:47:00,15:16:00,,16:31:00,15:16:00,16:13:14,0:57:14,07:47:00,08:03:20,0:16:21,,,,
2009-01-11,08:02:43,16:14:40,8:11:57,,08:27:00,16:48:00,,15:39:00,08:02:43,08:27:00,0:24:16,16:14:40,16:48:00,0:33:20,,,,
2009-01-12,08:02:03,16:16:07,8:14:05,,08:54:00,18:20:00,,14:34:00,08:02:03,08:54:00,0:51:57,16:16:07,18:20:00,2:03:52,,,,
