Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2016-01-01,08:06:33,16:01:16,7:54:43,,11:25:00,,,11:25:00,08:06:33,11:25:00,3:18:26,16:01:16,00:00:00,7:58:43,,,,
2016-01-02,08:06:27,16:02:19,7:55:52,00:02:00,11:48:00,,,11:46:00,08:06:27,11:48:00,3:41:32,00:00:00,00:00:00,7:59:40,,,,
2016-01-03,08:06:18,16:03:25,7:57:07,01:04:00,12:12:00,,,11:08:00,08:06:18,12:12:00,4:05:41,00:00:00,00:00:00,9:00:34,,,,
2016-01-04,08:06:06,16:04:34,7:58:28,02:06:00,12:38:00,,,10:32:00,08:06:06,12:38:00,4:31:54,00:00:00,00:00:00,10:01:26,,,,
2016-01-05,08:05:50,16:05:45,7:59:55,03:09:00,13:07:00,,,9:58:00,08:05:50,13:07:00,5:01:09,00:00:00,00:00:00,11:03:15,,,,
2016-01-06,08:05:31,16:06:58,8:01:27,04:11:00,13:41:00,,,9:30:00,08:05:31,13:41:00,5:35:29,00:00:00,00:00:00,12:04:01,,,,
2016-01-07,08:05:08,16:08:14,8:03:06,05:12:00,14:21:00,,,9:09:00,08:05:08,14:21:00,6:15:51,00:00:00,00:00:00,13:03:45,,,,
2016-01-08,08:04:43,16:09:32,8:04:50,06:10:00,15:10:00,,,9:00:00,08:04:43,15:10:00,7:05:17,00:00:00,00:00:00,14:00:27,,,,
2016-01-09,08:04:14,16:10:53,8:06:39,07:04:00,16:07:00,,,9:03:00,08:04:14,16:07:00,8:02:46,00:00:00,00:00:00,14:53:07,,,,
2016-01-10,08:03:42,16:12:15,8:08:33,07:51:00,17:11:00,,,9:20:00,08:03:42,16:12:15,8:08:33,00:00:00,00:00:00,14:40:00,,,,
2016-01-11,08:03:07,16:13:40,8:10:33,08:33:00,18:21:00,,,9:48:00,08:33:00,16:13:40,7:40:40,00:00:00,00:00:00,13:42:07,,,,
2016-01-12,08:02:28,16:15:06,8:12:38,09:09:00,19:35:00,,,10:26:00,09:09:00,16:15:06,7:06:07,00:00:00,00:00:00,12:27:29,,,,
2016-01-13,08:01:47,16:16:35,8:14:48,09:41:00,20:51:00,,,11:10:00,09:41:00,16:16:35,6:35:35,00:00:00,00:00:00,11:10:48,,,,
2016-01-14,08:01:03,16:18:05,8:17:02,10:10:00,22:07:00,,,11:57:00,10:10:00,16:18:05,6:08:05,00:00:00,00:00:00,9:54:03,,,,
2016-01-15,08:00:15,16:19:37,8:19:21,10:38:00,23:24:00,,,12:46:00,10:38:00,16:19:37,5:41:37,00:00:00,00:00:00,8:36:16,,,,
2016-01-16,07:59:25,16:21:10,8:21:45,11:07:00,,,,12:53:00,11:07:00,16:21:10,5:14:10,00:00:00,07:59:25,7:59:25,,,,
2016-01-17,07:58:32,16:22:45,8:24:13,,00:39:00,11:37:00,,13:02:00,11:37:00,16:22:45,4:45:45,00:39:00,07:58:32,7:19:32,,,,
2016-01-18,07:57:36,16:24:21,8:26:46,,01:54:00,12:10:00,,13:44:00,12:10:00,16:24:21,4:14:22,01:54:00,07:57:36,6:03:36,,,,
2016-01-19,07:56:37,16:25:59,8:29:22,,03:07:00,12:48:00,,14:19:00,12:48:00,16:25:59,3:38:00,03:07:00,07:56:37,4:49:37,,,,
2016-01-20,07:55:35,16:27:38,8:32:03,,04:15:00,13:33:00,,14:42:00,13:33:00,16:27:38,2:54:39,04:15:00,07:55:35,3:40:36,,,,
2016-01-21,07:54:31,16:29:18,8:34:47,,05:18:00,14:24:00,,14:54:00,14:24:00,16:29:18,2:05:19,05:18:00,07:54:31,2:36:32,,,,
2016-01-22,07:53:24,16:31:00,8:37:35,,06:12:00,15:21:00,,14:51:00,15:21:00,16:31:00,1:10:00,06:12:00,07:53:24,1:41:25,,,,
2016-01-23,07:52:15,16:32:42,8:40:27,,06:59:00,16:23:00,,14:36:00,16:23:00,16:32:42,0:09:42,06:59:00,07:52:15,0:53:15,,,,
2016-01-24,07:51:03,16:34:25,8:43:22,,07:38:00,17:28:00,,14:10:00,,,0:00:00,07:38:00,17:28:00,1:06:38,,,,
2016-01-25,07:49:49,16:36:09,8:46:21,,08:12:00,18:34:00,,13:38:00,07:49:49,08:12:00,0:22:11,16:36:09,18:34:00,1:57:50,,,,
2016-01-26,07:48:32,16:37:54,8:49:22,,08:40:00,19:39:00,,13:01:00,07:48:32,08:40:00,0:51:28,16:37:54,19:39:00,3:01:05,,,,
2016-01-27,07:47:13,16:39:40,8:52:27,,09:06:00,20:44:00,,12:22:00,07:47:13,09:06:00,1:18:47,16:39:40,20:44:00,4:04:20,,,,
2016-01-28,07:45:51,16:41:26,8:55:35,,09:29:00,21:47:00,,11:42:00,07:45:51,09:29:00,1:43:08,16:41:26,21:47:00,5:05:33,,,,
2016-01-29,07:44:27,16:43:13,8:58:46,,09:52:00,22:50:00,,11:02:00,07:44:27,09:52:00,2:07:32,16:43:13,22:50:00,6:06:46,,,,
2016-01-30,07:43:02,16:45:01,9:01:59,,10:15:00,23:52:00,,10:23:00,07:43:02,10:15:00,2:31:58,16:45:01,23:52:00,7:06:59,,,,
2016-01-31,07:41:33,16:46:49,9:05:15,,10:40:00,,,10:40:00,07:41:33,10:40:00,2:58:26,16:46:49,00:00:00,7:13:11,,,,
2016-02-01,07:40:03,16:48:37,9:08:34,00:54:00,11:07:00,,,10:13:00,07:40:03,11:07:00,3:26:56,00:00:00,00:00:00,8:05:22,,,,
2016-02-02,07:38:31,16:50:26,9:11:55,01:55:00,11:39:00,,,9:44:00,07:38:31,11:39:00,4:00:28,00:00:00,00:00:00,9:04:33,,,,
2016-02-03,07:36:57,16:52:15,9:15:18,02:56:00,12:15:00,,,9:19:00,07:36:57,12:15:00,4:38:02,00:00:00,00:00:00,10:03:44,,,,
2016-02-04,07:35:21,16:54:05,9:18:44,03:55:00,12:59:00,,,9:04:00,07:35:21,12:59:00,5:23:38,00:00:00,00:00:00,11:00:55,,,,
2016-02-05,07:33:43,16:55:54,9:22:11,04:50:00,13:51:00,,,9:01:00,07:33:43,13:51:00,6:17:16,00:00:00,00:00:00,11:54:05,,,,
2016-02-06,07:32:03,16:57:44,9:25:41,05:41:00,14:51:00,,,9:10:00,07:32:03,14:51:00,7:18:56,00:00:00,00:00:00,12:43:15,,,,
2016-02-07,07:30:22,16:59:34,9:29:12,06:26:00,16:00:00,,,9:34:00,07:30:22,16:00:00,8:29:38,00:00:00,00:00:00,13:26:26,,,,
2016-02-08,07:28:39,17:01:24,9:32:45,07:05:00,17:13:00,,,10:08:00,07:28:39,17:01:24,9:32:45,00:00:00,00:00:00,13:52:00,,,,
2016-02-09,07:26:54,17:03:14,9:36:20,07:40:00,18:31:00,,,10:51:00,07:40:00,17:03:14,9:23:14,00:00:00,00:00:00,12:55:54,,,,
2016-02-10,07:25:07,17:05:04,9:39:57,08:12:00,19:49:00,,,11:37:00,08:12:00,17:05:04,8:53:05,00:00:00,00:00:00,11:36:08,,,,
2016-02-11,07:23:19,17:06:54,9:43:35,08:41:00,21:08:00,,,12:27:00,08:41:00,17:06:54,8:25:55,00:00:00,00:00:00,10:15:20,,,,
2016-02-12,07:21:30,17:08:44,9:47:14,09:10:00,22:26:00,,,13:16:00,09:10:00,17:08:44,7:58:45,00:00:00,00:00:00,8:55:30,,,,
2016-02-13,07:19:39,17:10:34,9:50:55,09:41:00,23:43:00,,,14:02:00,09:41:00,17:10:34,7:29:34,00:00:00,00:00:00,7:36:39,,,,
2016-02-14,07:17:46,17:12:24,9:54:37,10:13:00,,,,13:47:00,10:13:00,17:12:24,6:59:24,00:00:00,07:17:46,7:17:47,,,,
2016-02-15,07:15:53,17:14:13,9:58:21,,00:57:00,10:50:00,,14:07:00,10:50:00,17:14:13,6:24:14,00:57:00,07:15:53,6:18:53,,,,
2016-02-16,07:13:57,17:16:03,10:02:05,,02:07:00,11:32:00,,14:35:00,11:32:00,17:16:03,5:44:03,02:07:00,07:13:57,5:06:58,,,,
2016-02-17,07:12:01,17:17:52,10:05:51,,03:11:00,12:20:00,,14:51:00,12:20:00,17:17:52,4:57:53,03:11:00,07:12:01,4:01:02,,,,
2016-02-18,07:10:03,17:19:41,10:09:38,,04:07:00,13:14:00,,14:53:00,13:14:00,17:19:41,4:05:42,04:07:00,07:10:03,3:03:04,,,,
2016-02-19,07:08:05,17:21:30,10:13:26,,04:56:00,14:14:00,,14:42:00,14:14:00,17:21:30,3:07:31,04:56:00,07:08:05,2:12:05,,,,
2016-02-20,07:06:05,17:23:19,10:17:14,,05:37:00,15:16:00,,14:21:00,15:16:00,17:23:19,2:07:19,05:37:00,07:06:05,1:29:05,,,,
2016-02-21,07:04:04,17:25:07,10:21:04,,06:12:00,16:21:00,,13:51:00,16:21:00,17:25:07,1:04:08,06:12:00,07:04:04,0:52:04,,,,
2016-02-22,07:02:01,17:26:56,10:24:54,,06:42:00,17:26:00,,13:16:00,17:26:00,17:26:56,0:00:56,06:42:00,07:02:01,0:20:02,,,,
2016-02-23,06:59:58,17:28:43,10:28:45,,07:08:00,18:30:00,,12:38:00,06:59:58,07:08:00,0:08:01,17:28:43,18:30:00,1:01:16,,,,
2016-02-24,06:57:54,17:30:31,10:32:37,,07:33:00,19:34:00,,11:59:00,06:57:54,07:33:00,0:35:05,17:30:31,19:34:00,2:03:28,,,,
2016-02-25,06:55:49,17:32:19,10:36:29,,07:56:00,20:37:00,,11:19:00,06:55:49,07:56:00,1:00:10,17:32:19,20:37:00,3:04:41,,,,
2016-02-26,06:53:43,17:34:06,10:40:23,,08:19:00,21:39:00,,10:40:00,06:53:43,08:19:00,1:25:16,17:34:06,21:39:00,4:04:54,,,,
2016-02-27,06:51:36,17:35:53,10:44:16,,08:43:00,22:41:00,,10:02:00,06:51:36,08:43:00,1:51:23,17:35:53,22:41:00,5:05:07,,,,
2016-02-28,06:49:29,17:37:39,10:48:10,,09:09:00,23:42:00,,9:27:00,06:49:29,09:09:00,2:19:31,17:37:39,23:42:00,6:04:20,,,,
2016-02-29,06:47:20,17:39:25,10:52:05,,09:39:00,,,9:39:00,06:47:20,09:39:00,2:51:39,17:39:25,00:00:00,6:20:34,,,,
2016-03-01,06:45:11,17:41:11,10:56:00,00:43:00,10:12:00,,,9:29:00,06:45:11,10:12:00,3:26:48,00:00:00,00:00:00,7:01:48,,,,
2016-03-02,06:43:01,17:42:57,10:59:56,01:41:00,10:52:00,,,9:11:00,06:43:01,10:52:00,4:08:58,00:00:00,00:00:00,7:58:03,,,,
2016-03-03,06:40:51,17:44:42,11:03:52,02:37:00,11:39:00,,,9:02:00,06:40:51,11:39:00,4:58:09,00:00:00,00:00:00,8:52:17,,,,
2016-03-04,06:38:39,17:46:28,11:07:48,03:29:00,12:33:00,,,9:04:00,06:38:39,12:33:00,5:54:20,00:00:00,00:00:00,9:42:32,,,,
2016-03-05,06:36:28,17:48:12,11:11:45,04:15:00,13:36:00,,,9:21:00,06:36:28,13:36:00,6:59:32,00:00:00,00:00:00,10:26:47,,,,
2016-03-06,06:34:15,17:49:57,11:15:42,04:57:00,14:47:00,,,9:50:00,06:34:15,14:47:00,8:12:44,00:00:00,00:00:00,11:07:03,,,,
2016-03-07,06:32:02,17:51:41,11:19:39,05:34:00,16:02:00,,,10:28:00,06:32:02,16:02:00,9:29:57,00:00:00,00:00:00,11:42:18,,,,
