Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2014-01-26,07:47:54,16:38:46,8:50:52,03:10:00,12:12:00,,,9:02:00,298.43,07:47:54,12:12:00,4:24:06,9:02:00,00:00:00,00:00:00,10:31:14,0:00:00,9:02:00,10:31:14,,,,,,,
2014-01-27,07:46:34,16:40:32,8:53:58,04:16:00,13:05:00,,,8:49:00,311.43,07:46:34,13:05:00,5:18:26,8:49:00,00:00:00,00:00:00,11:35:28,0:04:58,8:49:00,11:35:28,,,,,,,
2014-01-28,07:45:11,16:42:19,8:57:08,05:17:00,14:10:00,,,8:53:00,325.43,07:45:11,14:10:00,6:24:49,8:53:00,00:00:00,00:00:00,12:34:41,0:04:08,8:53:00,12:34:41,,,,,,,
2014-01-29,07:43:46,16:44:06,9:00:20,06:09:00,15:24:00,,,9:15:00,339.43,07:43:46,15:24:00,7:40:13,0:00:00,00:00:00,00:00:00,13:24:54,9:00:20,9:15:00,13:24:54,,,,,,,
2014-01-30,07:42:19,16:45:54,9:03:34,06:53:00,16:45:00,,,9:52:00,353.43,07:42:19,16:45:00,9:02:40,0:00:00,00:00:00,00:00:00,14:07:06,9:03:34,9:52:00,14:07:06,,,,,,,
2014-01-31,07:40:50,16:47:42,9:06:52,07:30:00,18:07:00,,,10:37:00,7.43,07:40:50,16:47:42,9:06:52,0:00:00,00:00:00,00:00:00,13:23:00,9:06:52,10:37:00,13:23:00,,,,,,,
2014-02-01,07:39:19,16:49:31,9:10:12,08:01:00,19:29:00,,,11:28:00,21.43,08:01:00,16:49:31,8:48:31,0:00:00,00:00:00,00:00:00,12:10:20,9:10:12,11:28:00,12:10:20,,,,,,,
2014-02-02,07:37:46,16:51:20,9:13:34,08:30:00,20:49:00,,,12:19:00,35.43,08:30:00,16:51:20,8:21:20,12:19:00,00:00:00,00:00:00,10:48:46,0:00:00,12:19:00,10:48:46,,,,,,,
2014-02-03,07:36:11,16:53:09,9:16:58,08:56:00,22:06:00,,,13:10:00,48.43,08:56:00,16:53:09,7:57:09,13:10:00,00:00:00,00:00:00,9:30:11,0:00:00,13:10:00,9:30:11,,,,,,,
2014-02-04,07:34:34,16:54:58,9:20:24,09:23:00,23:19:00,,,13:56:00,61.43,09:23:00,16:54:58,7:31:59,13:56:00,00:00:00,00:00:00,8:15:34,0:00:00,13:56:00,8:15:34,,,,,,,
2014-02-05,07:32:55,16:56:48,9:23:53,09:51:00,,,,14:09:00,74.43,09:51:00,16:56:48,7:05:48,14:09:00,00:00:00,07:32:55,7:32:56,0:00:00,14:09:00,7:32:56,,,,,,,
2014-02-06,07:31:14,16:58:38,9:27:23,,00:29:00,10:22:00,,14:07:00,86.43,10:22:00,16:58:38,6:36:38,14:07:00,00:29:00,07:31:14,7:02:15,0:00:00,14:07:00,7:02:15,,,,,,,
2014-02-07,07:29:32,17:00:28,9:30:56,,01:35:00,10:57:00,,14:38:00,98.43,10:57:00,17:00:28,6:03:28,14:38:00,01:35:00,07:29:32,5:54:33,0:00:00,14:38:00,5:54:33,,,,,,,
2014-02-08,07:27:48,17:02:18,9:34:30,,02:35:00,11:36:00,,14:59:00,109.43,11:36:00,17:02:18,5:26:18,14:59:00,02:35:00,07:27:48,4:52:49,0:00:00,14:59:00,4:52:49,,,,,,,
2014-02-09,07:26:02,17:04:08,9:38:05,,03:30:00,12:21:00,,15:09:00,120.43,12:21:00,17:04:08,4:43:08,15:09:00,03:30:00,07:26:02,3:56:03,0:00:00,15:09:00,3:56:03,,,,,,,
2014-02-10,07:24:15,17:05:58,9:41:43,,04:18:00,13:11:00,,15:07:00,131.43,13:11:00,17:05:58,3:54:58,15:07:00,04:18:00,07:24:15,3:06:16,0:00:00,15:07:00,3:06:16,,,,,,,
2014-02-11,07:22:26,17:07:48,9:45:21,,04:59:00,14:06:00,,14:53:00,142.43,14:06:00,17:07:48,3:01:48,14:53:00,04:59:00,07:22:26,2:23:27,0:00:00,14:53:00,2:23:27,,,,,,,
2014-02-12,07:20:36,17:09:38,9:49:02,,05:35:00,15:04:00,,14:31:00,153.43,15:04:00,17:09:38,2:05:38,14:31:00,05:35:00,07:20:36,1:45:37,0:00:00,14:31:00,1:45:37,,,,,,,
2014-02-13,07:18:44,17:11:28,9:52:43,,06:06:00,16:06:00,,14:00:00,164.43,16:06:00,17:11:28,1:05:28,14:00:00,06:06:00,07:18:44,1:12:45,0:00:00,14:00:00,1:12:45,,,,,,,
2014-02-14,07:16:51,17:13:17,9:56:26,,06:33:00,17:09:00,,13:24:00,174.43,17:09:00,17:13:17,0:04:18,13:24:00,06:33:00,07:16:51,0:43:52,0:00:00,13:24:00,0:43:52,,,,,,,
2014-02-15,07:14:57,17:15:07,10:00:10,,06:58:00,18:13:00,,12:45:00,185.43,,,0:00:00,12:45:00,06:58:00,18:13:00,1:14:50,0:00:00,12:45:00,1:14:50,,,,,,,
2014-02-16,07:13:01,17:16:56,10:03:55,,07:21:00,19:18:00,,12:03:00,196.43,07:13:01,07:21:00,0:07:58,12:03:00,17:16:56,19:18:00,2:01:03,0:00:00,12:03:00,2:01:03,,,,,,,
2014-02-17,07:11:04,17:18:46,10:07:42,,07:43:00,20:24:00,,11:19:00,208.43,07:11:04,07:43:00,0:31:55,11:19:00,17:18:46,20:24:00,3:05:14,0:00:00,11:19:00,3:05:14,,,,,,,
2014-02-18,07:09:06,17:20:35,10:11:29,,08:06:00,21:31:00,,10:35:00,219.43,07:09:06,08:06:00,0:56:54,10:35:00,17:20:35,21:31:00,4:10:25,0:00:00,10:35:00,4:10:25,,,,,,,
2014-02-19,07:07:07,17:22:23,10:15:17,,08:31:00,22:39:00,,9:52:00,231.43,07:07:07,08:31:00,1:23:53,9:52:00,17:22:23,22:39:00,5:16:36,0:23:17,9:52:00,5:16:36,,,,,,,
2014-02-20,07:05:06,17:24:12,10:19:06,,08:58:00,23:48:00,,9:10:00,242.43,07:05:06,08:58:00,1:52:54,9:10:00,17:24:12,23:48:00,6:23:47,1:09:06,9:10:00,6:23:47,,,,,,,
2014-02-21,07:03:04,17:26:00,10:22:56,,09:31:00,,,9:31:00,254.43,07:03:04,09:31:00,2:27:55,9:31:00,17:26:00,00:00:00,6:33:59,0:51:56,9:31:00,6:33:59,,,,,,,
2014-02-22,07:01:02,17:27:48,10:26:47,00:56:00,10:09:00,,,9:13:00,267.43,07:01:02,10:09:00,3:07:58,9:13:00,00:00:00,00:00:00,7:28:11,1:13:47,9:13:00,7:28:11,,,,,,,
2014-02-23,06:58:58,17:29:36,10:30:38,02:02:00,10:57:00,,,8:55:00,279.43,06:58:58,10:57:00,3:58:01,8:55:00,00:00:00,00:00:00,8:32:23,1:35:38,8:55:00,8:32:23,,,,,,,
2014-02-24,06:56:53,17:31:24,10:34:30,03:03:00,11:54:00,,,8:51:00,292.43,06:56:53,11:54:00,4:57:06,8:51:00,00:00:00,00:00:00,9:31:36,1:43:30,8:51:00,9:31:36,,,,,,,
2014-02-25,06:54:48,17:33:11,10:38:23,03:57:00,13:01:00,,,9:04:00,306.43,06:54:48,13:01:00,6:06:12,9:04:00,00:00:00,00:00:00,10:23:48,1:34:23,9:04:00,10:23:48,,,,,,,
2014-02-26,06:52:42,17:34:58,10:42:16,04:43:00,14:16:00,,,9:33:00,319.43,06:52:42,14:16:00,7:23:18,9:33:00,00:00:00,00:00:00,11:08:01,1:09:16,9:33:00,11:08:01,,,,,,,
2014-02-27,06:50:34,17:36:45,10:46:10,05:23:00,15:36:00,,,10:13:00,333.43,06:50:34,15:36:00,8:45:25,0:00:00,00:00:00,00:00:00,11:46:15,10:46:10,10:13:00,11:46:15,,,,,,,
2014-02-28,06:48:26,17:38:31,10:50:05,05:57:00,16:57:00,,,11:00:00,347.43,06:48:26,16:57:00,10:08:33,0:00:00,00:00:00,00:00:00,12:18:28,10:50:05,11:00:00,12:18:28,,,,,,,
