Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2013-01-01,08:06:30,16:02:02,7:55:32,,09:41:00,20:52:00,,12:49:00,08:06:30,09:41:00,1:34:29,16:02:02,20:52:00,4:49:57,,,,
2013-01-02,08:06:22,16:03:07,7:56:45,,10:03:00,22:02:00,,12:01:00,08:06:22,10:03:00,1:56:38,16:03:07,22:02:00,5:58:52,,,,
2013-01-03,08:06:10,16:04:15,7:58:05,,10:25:00,23:13:00,,11:12:00,08:06:10,10:25:00,2:18:49,16:04:15,23:13:00,7:08:44,,,,
2013-01-04,08:05:55,16:05:25,7:59:30,,10:47:00,,,10:47:00,08:05:55,10:47:00,2:41:04,16:05:25,00:00:00,7:54:34,,,,
2013-01-05,08:05:37,16:06:38,8:01:01,00:27:00,11:12:00,,,10:45:00,08:05:37,11:12:00,3:06:22,00:00:00,00:00:00,8:20:21,,,,
2013-01-06,08:05:16,16:07:54,8:02:38,01:43:00,11:40:00,,,9:57:00,08:05:16,11:40:00,3:34:44,00:00:00,00:00:00,9:35:06,,,,
2013-01-07,08:04:51,16:09:11,8:04:20,03:00:00,12:16:00,,,9:16:00,08:04:51,12:16:00,4:11:09,00:00:00,00:00:00,10:50:48,,,,
2013-01-08,08:04:23,16:10:31,8:06:08,04:16:00,13:00:00,,,8:44:00,08:04:23,13:00:00,4:55:37,00:00:00,00:00:00,12:05:29,,,,
2013-01-09,08:03:52,16:11:53,8:08:01,05:27:00,13:56:00,,,8:29:00,08:03:52,13:56:00,5:52:08,00:00:00,00:00:00,13:15:07,,,,
2013-01-10,08:03:17,16:13:17,8:10:00,06:29:00,15:04:00,,,8:35:00,08:03:17,15:04:00,7:00:42,00:00:00,00:00:00,14:15:43,,,,
