Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2001-01-01,08:06:34,16:01:57,7:55:23,11:39:00,23:00:00,,,11:21:00,73.43,11:39:00,16:01:57,4:22:57,11:21:00,00:00:00,00:00:00,9:06:34,0:00:00,11:21:00,9:06:34,,,,,,,
2001-01-02,08:06:26,16:03:02,7:56:36,11:57:00,,,,12:03:00,85.43,11:57:00,16:03:02,4:06:02,12:03:00,00:00:00,08:06:26,8:06:26,0:00:00,12:03:00,8:06:26,,,,,,,
2001-01-03,08:06:15,16:04:09,7:57:55,,00:09:00,12:16:00,,11:53:00,96.43,12:16:00,16:04:09,3:48:10,11:53:00,00:09:00,08:06:15,7:57:15,0:00:00,11:53:00,7:57:15,,,,,,,
2001-01-04,08:06:00,16:05:20,7:59:20,,01:20:00,12:36:00,,12:44:00,108.43,12:36:00,16:05:20,3:29:20,12:44:00,01:20:00,08:06:00,6:46:00,0:00:00,12:44:00,6:46:00,,,,,,,
2001-01-05,08:05:42,16:06:32,8:00:50,,02:34:00,12:59:00,,13:35:00,120.43,12:59:00,16:06:32,3:07:33,13:35:00,02:34:00,08:05:42,5:31:42,0:00:00,13:35:00,5:31:42,,,,,,,
2001-01-06,08:05:21,16:07:47,8:02:27,,03:52:00,13:27:00,,14:25:00,133.43,13:27:00,16:07:47,2:40:48,14:25:00,03:52:00,08:05:21,4:13:21,0:00:00,14:25:00,4:13:21,,,,,,,
2001-01-07,08:04:56,16:09:05,8:04:08,,05:11:00,14:03:00,,15:08:00,146.43,14:03:00,16:09:05,2:06:05,15:08:00,05:11:00,08:04:56,2:53:57,0:00:00,15:08:00,2:53:57,,,,,,,
2001-01-08,08:04:29,16:10:24,8:05:56,,06:29:00,14:51:00,,15:38:00,160.43,14:51:00,16:10:24,1:19:25,15:38:00,06:29:00,08:04:29,1:35:29,0:00:00,15:38:00,1:35:29,,,,,,,
2001-01-09,08:03:58,16:11:46,8:07:48,,07:39:00,15:52:00,,15:47:00,174.43,15:52:00,16:11:46,0:19:46,15:47:00,07:39:00,08:03:58,0:24:58,0:00:00,15:47:00,0:24:58,,,,,,,
2001-01-10,08:03:24,16:13:10,8:09:46,,08:38:00,17:07:00,,15:31:00,188.43,08:03:24,08:38:00,0:34:36,15:31:00,16:13:10,17:07:00,0:53:50,0:00:00,15:31:00,0:53:50,,,,,,,
2001-01-11,08:02:46,16:14:36,8:11:49,,09:24:00,18:29:00,,14:55:00,202.43,08:02:46,09:24:00,1:21:13,14:55:00,16:14:36,18:29:00,2:14:24,0:00:00,14:55:00,2:14:24,,,,,,,
2001-01-12,08:02:06,16:16:03,8:13:57,,10:00:00,19:54:00,,14:06:00,216.43,08:02:06,10:00:00,1:57:53,14:06:00,16:16:03,19:54:00,3:37:56,0:00:00,14:06:00,3:37:56,,,,,,,
2001-01-13,08:01:23,16:17:33,8:16:10,,10:28:00,21:17:00,,13:11:00,230.43,08:01:23,10:28:00,2:26:37,13:11:00,16:17:33,21:17:00,4:59:27,0:00:00,13:11:00,4:59:27,,,,,,,
2001-01-14,08:00:36,16:19:04,8:18:28,,10:52:00,22:36:00,,12:16:00,243.43,08:00:36,10:52:00,2:51:23,12:16:00,16:19:04,22:36:00,6:16:55,0:00:00,12:16:00,6:16:55,,,,,,,
2001-01-15,07:59:47,16:20:37,8:20:50,,11:13:00,23:53:00,,11:20:00,256.43,07:59:47,11:13:00,3:13:12,11:20:00,16:20:37,23:53:00,7:32:23,0:00:00,11:20:00,7:32:23,,,,,,,
2001-01-16,07:58:55,16:22:11,8:23:16,,11:33:00,,,11:33:00,269.43,07:58:55,11:33:00,3:34:04,11:33:00,16:22:11,00:00:00,7:37:48,0:00:00,11:33:00,7:37:48,,,,,,,
2001-01-17,07:58:00,16:23:47,8:25:47,01:07:00,11:54:00,,,10:47:00,281.43,07:58:00,11:54:00,3:56:00,10:47:00,00:00:00,00:00:00,8:43:12,0:00:00,10:47:00,8:43:12,,,,,,,
2001-01-18,07:57:02,16:25:24,8:28:22,02:19:00,12:17:00,,,9:58:00,293.43,07:57:02,12:17:00,4:19:57,9:58:00,00:00:00,00:00:00,9:53:35,0:00:00,9:58:00,9:53:35,,,,,,,
