Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2022-01-01,08:06:31,16:01:48,7:55:17,06:55:00,14:23:00,,,7:28:00,341.43,08:06:31,14:23:00,6:16:28,,,0:00:00,00:00:00,00:00:00,14:53:11,,,,,
2022-01-02,08:06:24,16:02:53,7:56:29,08:14:00,15:22:00,,,7:08:00,355.43,08:14:00,15:22:00,7:08:00,,,0:00:00,00:00:00,00:00:00,16:03:31,,,,,
2022-01-03,08:06:13,16:04:00,7:57:48,09:15:00,16:38:00,,,7:23:00,9.43,09:15:00,16:04:00,6:49:01,,,0:00:00,00:00:00,00:00:00,15:28:13,,,,,
2022-01-04,08:05:58,16:05:10,7:59:12,09:58:00,18:03:00,,,8:05:00,23.43,09:58:00,16:05:10,6:07:11,,,0:00:00,00:00:00,00:00:00,14:02:59,,,,,
2022-01-05,08:05:41,16:06:22,8:00:42,10:29:00,19:30:00,,,9:01:00,36.43,10:29:00,16:06:22,5:37:23,,,0:00:00,00:00:00,00:00:00,12:35:41,,,,,
2022-01-06,08:05:20,16:07:37,8:02:17,10:50:00,20:54:00,,,10:04:00,50.43,10:50:00,16:07:37,5:17:38,,,0:00:00,00:00:00,00:00:00,11:11:20,,,,,
2022-01-07,08:04:56,16:08:54,8:03:59,11:07:00,22:13:00,,,11:06:00,62.43,11:07:00,16:08:54,5:01:55,,,0:00:00,00:00:00,00:00:00,9:51:56,,,,,
2022-01-08,08:04:28,16:10:14,8:05:46,11:22:00,23:28:00,,,12:06:00,75.43,11:22:00,16:10:14,4:48:14,,,0:00:00,00:00:00,00:00:00,8:36:29,,,,,
2022-01-09,08:03:58,16:11:35,8:07:38,11:35:00,,,,12:25:00,87.43,11:35:00,16:11:35,4:36:36,,,0:00:00,00:00:00,08:03:58,8:03:58,,,,,
2022-01-10,08:03:24,16:12:59,8:09:35,,00:41:00,11:49:00,,12:52:00,98.43,11:49:00,16:12:59,4:23:59,11:49:00,16:12:59,4:23:59,00:41:00,08:03:24,7:22:24,,,,,
2022-01-11,08:02:47,16:14:25,8:11:38,,01:52:00,12:03:00,,13:49:00,110.43,12:03:00,16:14:25,4:11:25,12:03:00,16:14:25,4:11:25,01:52:00,08:02:47,6:10:47,,,,,
2022-01-12,08:02:07,16:15:52,8:13:45,,03:03:00,12:20:00,,14:43:00,121.43,12:20:00,16:15:52,3:55:53,12:20:00,16:15:52,3:55:53,03:03:00,08:02:07,4:59:07,,,,,
2022-01-13,08:01:24,16:17:21,8:15:57,,04:13:00,12:42:00,,15:31:00,131.43,12:42:00,16:17:21,3:35:22,12:42:00,16:17:21,3:35:22,04:13:00,08:01:24,3:48:24,,,,,
2022-01-14,08:00:38,16:18:52,8:18:14,,05:22:00,13:10:00,,16:12:00,142.43,13:10:00,16:18:52,3:08:53,13:10:00,16:18:52,3:08:53,05:22:00,08:00:38,2:38:38,,,,,
2022-01-15,07:59:49,16:20:25,8:20:36,,06:27:00,13:46:00,,16:41:00,153.43,13:46:00,16:20:25,2:34:26,13:46:00,16:20:25,2:34:26,06:27:00,07:59:49,1:32:49,,,,,
2022-01-16,07:58:57,16:21:59,8:23:02,,07:24:00,14:34:00,,16:50:00,164.43,14:34:00,16:21:59,1:48:00,14:34:00,16:21:59,1:48:00,07:24:00,07:58:57,0:34:58,,,,,
2022-01-17,07:58:02,16:23:35,8:25:33,,08:11:00,15:32:00,,16:39:00,174.43,07:58:02,16:23:35,1:04:33,07:58:02,16:23:35,1:04:33,,,0:00:00,,,,,
2022-01-18,07:57:05,16:25:12,8:28:07,,08:48:00,16:40:00,,16:08:00,186.43,07:57:05,08:48:00,0:50:55,07:57:05,08:48:00,0:50:55,16:25:12,16:40:00,0:14:47,,,,,
2022-01-19,07:56:04,16:26:51,8:30:46,,09:16:00,17:52:00,,15:24:00,197.43,07:56:04,09:16:00,1:19:55,07:56:04,09:16:00,1:19:55,16:26:51,17:52:00,1:25:09,,,,,
2022-01-20,07:55:01,16:28:30,8:33:29,,09:38:00,19:07:00,,14:31:00,208.43,07:55:01,09:38:00,1:42:58,07:55:01,09:38:00,1:42:58,16:28:30,19:07:00,2:38:29,,,,,
2022-01-21,07:53:56,16:30:11,8:36:15,,09:55:00,20:22:00,,13:33:00,220.43,07:53:56,09:55:00,2:01:04,07:53:56,09:55:00,2:01:04,16:30:11,20:22:00,3:51:48,,,,,
2022-01-22,07:52:48,16:31:53,8:39:06,,10:11:00,21:38:00,,12:33:00,232.43,07:52:48,10:11:00,2:18:12,07:52:48,10:11:00,2:18:12,16:31:53,21:38:00,5:06:06,,,,,
2022-01-23,07:51:37,16:33:36,8:41:59,,10:25:00,22:55:00,,11:30:00,244.43,07:51:37,10:25:00,2:33:23,07:51:37,10:25:00,2:33:23,16:33:36,22:55:00,6:21:24,,,,,
2022-01-24,07:50:23,16:35:20,8:44:56,,10:39:00,,,10:39:00,256.43,07:50:23,10:39:00,2:48:36,07:50:23,10:39:00,2:48:36,16:35:20,00:00:00,7:24:40,,,,,
2022-01-25,07:49:08,16:37:04,8:47:57,00:14:00,10:55:00,,,10:41:00,268.43,07:49:08,10:55:00,3:05:52,07:49:08,10:55:00,3:05:52,00:00:00,00:00:00,7:36:55,,,,,
2022-01-26,07:47:50,16:38:50,8:51:00,01:36:00,11:14:00,,,9:38:00,281.43,07:47:50,11:14:00,3:26:10,,,0:00:00,00:00:00,00:00:00,8:57:10,,,,,
2022-01-27,07:46:29,16:40:36,8:54:07,03:02:00,11:38:00,,,8:36:00,294.43,07:46:29,11:38:00,3:51:30,,,0:00:00,00:00:00,00:00:00,10:21:24,,,,,
2022-01-28,07:45:06,16:42:23,8:57:16,04:28:00,12:12:00,,,7:44:00,308.43,07:45:06,12:12:00,4:26:53,,,0:00:00,00:00:00,00:00:00,11:45:37,,,,,
2022-01-29,07:43:42,16:44:10,9:00:28,05:50:00,13:01:00,,,7:11:00,321.43,07:43:42,13:01:00,5:17:18,,,0:00:00,00:00:00,00:00:00,13:05:50,,,,,
2022-01-30,07:42:14,16:45:58,9:03:43,06:58:00,14:08:00,,,7:10:00,335.43,07:42:14,14:08:00,6:25:45,,,0:00:00,00:00:00,00:00:00,14:12:02,,,,,
2022-01-31,07:40:45,16:47:46,9:07:01,07:49:00,15:29:00,,,7:40:00,349.43,07:49:00,15:29:00,7:40:00,,,0:00:00,00:00:00,00:00:00,14:52:59,,,,,
2022-02-01,07:39:14,16:49:35,9:10:21,08:25:00,16:57:00,,,8:32:00,2.43,08:25:00,16:49:35,8:24:35,,,0:00:00,00:00:00,00:00:00,14:42:15,,,,,
2022-02-02,07:37:41,16:51:24,9:13:43,08:51:00,18:24:00,,,9:33:00,16.43,08:51:00,16:51:24,8:00:24,,,0:00:00,00:00:00,00:00:00,13:13:41,,,,,
2022-02-03,07:36:06,16:53:13,9:17:07,09:10:00,19:47:00,,,10:37:00,29.43,09:10:00,16:53:13,7:43:14,,,0:00:00,00:00:00,00:00:00,11:49:06,,,,,
2022-02-04,07:34:29,16:55:03,9:20:34,09:26:00,21:06:00,,,11:40:00,42.43,09:26:00,16:55:03,7:29:03,,,0:00:00,00:00:00,00:00:00,10:28:29,,,,,
2022-02-05,07:32:50,16:56:52,9:24:03,09:40:00,22:22:00,,,12:42:00,54.43,09:40:00,16:56:52,7:16:53,,,0:00:00,00:00:00,00:00:00,9:10:50,,,,,
2022-02-06,07:31:09,16:58:42,9:27:33,09:54:00,23:36:00,,,13:42:00,66.43,09:54:00,16:58:42,7:04:43,,,0:00:00,00:00:00,00:00:00,7:55:09,,,,,
2022-02-07,07:29:27,17:00:32,9:31:06,10:08:00,,,,13:52:00,78.43,10:08:00,17:00:32,6:52:33,,,0:00:00,00:00:00,07:29:27,7:29:27,,,,,
2022-02-08,07:27:42,17:02:22,9:34:40,,00:48:00,10:24:00,,14:24:00,89.43,10:24:00,17:02:22,6:38:23,,,0:00:00,00:48:00,07:27:42,6:39:43,,,,,
2022-02-09,07:25:57,17:04:12,9:38:16,,02:00:00,10:44:00,,15:16:00,100.43,10:44:00,17:04:12,6:20:13,10:44:00,17:04:12,6:20:13,02:00:00,07:25:57,5:25:57,,,,,
2022-02-10,07:24:09,17:06:02,9:41:53,,03:10:00,11:09:00,,16:01:00,111.43,11:09:00,17:06:02,5:57:03,11:09:00,17:06:02,5:57:03,03:10:00,07:24:09,4:14:10,,,,,
2022-02-11,07:22:20,17:07:52,9:45:32,,04:17:00,11:42:00,,16:35:00,122.43,11:42:00,17:07:52,5:25:53,11:42:00,17:07:52,5:25:53,04:17:00,07:22:20,3:05:21,,,,,
2022-02-12,07:20:30,17:09:42,9:49:12,,05:17:00,12:25:00,,16:52:00,133.43,12:25:00,17:09:42,4:44:43,12:25:00,17:09:42,4:44:43,05:17:00,07:20:30,2:03:31,,,,,
2022-02-13,07:18:38,17:11:32,9:52:54,,06:08:00,13:20:00,,16:48:00,143.43,13:20:00,17:11:32,3:51:33,13:20:00,17:11:32,3:51:33,06:08:00,07:18:38,1:10:39,,,,,
