Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2023-01-01,08:06:33,16:01:33,7:55:00,,02:35:00,12:32:00,,14:03:00,12:32:00,16:01:33,3:29:33,02:35:00,08:06:33,5:31:33,,,,
2023-01-02,08:06:26,16:02:37,7:56:11,,03:51:00,12:49:00,,15:02:00,12:49:00,16:02:37,3:13:37,03:51:00,08:06:26,4:15:26,,,,
2023-01-03,08:06:16,16:03:43,7:57:28,,05:06:00,13:12:00,,15:54:00,13:12:00,16:03:43,2:51:44,05:06:00,08:06:16,3:00:16,,,,
2023-01-04,08:06:02,16:04:53,7:58:50,,06:19:00,13:41:00,,16:38:00,13:41:00,16:04:53,2:23:53,06:19:00,08:06:02,1:47:03,,,,
2023-01-05,08:05:45,16:06:04,8:00:19,,07:25:00,14:21:00,,17:04:00,14:21:00,16:06:04,1:45:05,07:25:00,08:05:45,0:40:46,,,,
2023-01-06,08:05:25,16:07:19,8:01:53,,08:20:00,15:12:00,,17:08:00,08:05:25,16:07:19,1:09:53,,,0:00:00,,,,
2023-01-07,08:05:02,16:08:35,8:03:33,,09:03:00,16:14:00,,16:49:00,08:05:02,09:03:00,0:57:58,16:08:35,16:14:00,0:05:24,,,,
2023-01-08,08:04:35,16:09:54,8:05:19,,09:34:00,17:23:00,,16:11:00,08:04:35,09:34:00,1:29:24,16:09:54,17:23:00,1:13:05,,,,
2023-01-09,08:04:05,16:11:15,8:07:10,,09:58:00,18:34:00,,15:24:00,08:04:05,09:58:00,1:53:54,16:11:15,18:34:00,2:22:44,,,,
2023-01-10,08:03:32,16:12:38,8:09:06,,10:16:00,19:46:00,,14:30:00,08:03:32,10:16:00,2:12:27,16:12:38,19:46:00,3:33:21,,,,
2023-01-11,08:02:56,16:14:03,8:11:07,,10:30:00,20:57:00,,13:33:00,08:02:56,10:30:00,2:27:03,16:14:03,20:57:00,4:42:56,,,,
2023-01-12,08:02:17,16:15:30,8:13:13,,10:43:00,22:08:00,,12:35:00,08:02:17,10:43:00,2:40:43,16:15:30,22:08:00,5:52:29,,,,
2023-01-13,08:01:35,16:16:59,8:15:25,,10:54:00,23:21:00,,11:33:00,08:01:35,10:54:00,2:52:25,16:16:59,23:21:00,7:04:00,,,,
2023-01-14,08:00:49,16:18:30,8:17:41,,11:06:00,,,11:06:00,08:00:49,11:06:00,3:05:10,16:18:30,00:00:00,7:41:30,,,,
2023-01-15,08:00:01,16:20:02,8:20:01,00:35:00,11:18:00,,,10:43:00,08:00:01,11:18:00,3:17:58,00:00:00,00:00:00,8:14:57,,,,
2023-01-16,07:59:10,16:21:36,8:22:26,01:54:00,11:34:00,,,9:40:00,07:59:10,11:34:00,3:34:50,00:00:00,00:00:00,9:32:23,,,,
2023-01-17,07:58:16,16:23:12,8:24:56,03:17:00,11:54:00,,,8:37:00,07:58:16,11:54:00,3:55:44,00:00:00,00:00:00,10:53:48,,,,
2023-01-18,07:57:19,16:24:48,8:27:29,04:44:00,12:24:00,,,7:40:00,07:57:19,12:24:00,4:26:40,00:00:00,00:00:00,12:19:11,,,,
2023-01-19,07:56:19,16:26:27,8:30:07,06:09:00,13:07:00,,,6:58:00,07:56:19,13:07:00,5:10:40,00:00:00,00:00:00,13:42:33,,,,
2023-01-20,07:55:17,16:28:06,8:32:49,07:22:00,14:11:00,,,6:49:00,07:55:17,14:11:00,6:15:43,00:00:00,00:00:00,14:53:54,,,,
2023-01-21,07:54:12,16:29:46,8:35:34,08:18:00,15:35:00,,,7:17:00,08:18:00,15:35:00,7:17:00,00:00:00,00:00:00,15:24:26,,,,
2023-01-22,07:53:04,16:31:28,8:38:24,08:56:00,17:09:00,,,8:13:00,08:56:00,16:31:28,7:35:29,00:00:00,00:00:00,14:44:05,,,,
2023-01-23,07:51:54,16:33:11,8:41:17,09:23:00,18:43:00,,,9:20:00,09:23:00,16:33:11,7:10:11,00:00:00,00:00:00,13:08:55,,,,
2023-01-24,07:50:41,16:34:54,8:44:13,09:42:00,20:14:00,,,10:32:00,09:42:00,16:34:54,6:52:55,00:00:00,00:00:00,11:36:42,,,,
2023-01-25,07:49:26,16:36:39,8:47:12,09:57:00,21:40:00,,,11:43:00,09:57:00,16:36:39,6:39:39,00:00:00,00:00:00,10:09:27,,,,
2023-01-26,07:48:09,16:38:24,8:50:15,10:10:00,23:02:00,,,12:52:00,10:10:00,16:38:24,6:28:24,00:00:00,00:00:00,8:46:09,,,,
2023-01-27,07:46:49,16:40:10,8:53:21,10:24:00,,,,13:36:00,10:24:00,16:40:10,6:16:10,00:00:00,07:46:49,7:46:49,,,,
2023-01-28,07:45:27,16:41:57,8:56:30,,00:21:00,10:38:00,,13:43:00,10:38:00,16:41:57,6:03:57,00:21:00,07:45:27,7:24:27,,,,
2023-01-29,07:44:02,16:43:44,8:59:41,,01:40:00,10:54:00,,14:46:00,10:54:00,16:43:44,5:49:44,01:40:00,07:44:02,6:04:03,,,,
2023-01-30,07:42:36,16:45:31,9:02:56,,02:56:00,11:15:00,,15:41:00,11:15:00,16:45:31,5:30:32,02:56:00,07:42:36,4:46:36,,,,
2023-01-31,07:41:07,16:47:20,9:06:13,,04:10:00,11:42:00,,16:28:00,11:42:00,16:47:20,5:05:20,04:10:00,07:41:07,3:31:08,,,,
2023-02-01,07:39:36,16:49:08,9:09:32,,05:18:00,12:18:00,,17:00:00,12:18:00,16:49:08,4:31:09,05:18:00,07:39:36,2:21:37,,,,
