Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2017-01-01,08:06:29,16:02:04,7:55:34,09:47:00,19:42:00,,,9:55:00,37.43,09:47:00,16:02:04,6:15:04,,,0:00:00,00:00:00,00:00:00,12:24:30,,,,,
2017-01-02,08:06:21,16:03:09,7:56:48,10:18:00,20:51:00,,,10:33:00,48.43,10:18:00,16:03:09,5:45:09,,,0:00:00,00:00:00,00:00:00,11:15:21,,,,,
2017-01-03,08:06:09,16:04:17,7:58:08,10:46:00,22:02:00,,,11:16:00,61.43,10:46:00,16:04:17,5:18:17,,,0:00:00,00:00:00,00:00:00,10:04:10,,,,,
2017-01-04,08:05:54,16:05:27,7:59:33,11:12:00,23:15:00,,,12:03:00,73.43,11:12:00,16:05:27,4:53:28,,,0:00:00,00:00:00,00:00:00,8:50:55,,,,,
2017-01-05,08:05:36,16:06:40,8:01:04,11:38:00,,,,12:22:00,85.43,11:38:00,16:06:40,4:28:41,,,0:00:00,00:00:00,08:05:36,8:05:36,,,,,
2017-01-06,08:05:14,16:07:55,8:02:41,,00:29:00,12:05:00,,12:24:00,98.43,12:05:00,16:07:55,4:02:56,12:05:00,16:07:55,4:02:56,00:29:00,08:05:14,7:36:15,,,,,
2017-01-07,08:04:49,16:09:13,8:04:24,,01:45:00,12:35:00,,13:10:00,111.43,12:35:00,16:09:13,3:34:13,12:35:00,16:09:13,3:34:13,01:45:00,08:04:49,6:19:50,,,,,
2017-01-08,08:04:21,16:10:33,8:06:12,,03:02:00,13:10:00,,13:52:00,125.43,13:10:00,16:10:33,3:00:33,13:10:00,16:10:33,3:00:33,03:02:00,08:04:21,5:02:22,,,,,
2017-01-09,08:03:50,16:11:55,8:08:05,,04:18:00,13:51:00,,14:27:00,138.43,13:51:00,16:11:55,2:20:55,13:51:00,16:11:55,2:20:55,04:18:00,08:03:50,3:45:50,,,,,
2017-01-10,08:03:16,16:13:19,8:10:03,,05:31:00,14:40:00,,14:51:00,152.43,14:40:00,16:13:19,1:33:19,14:40:00,16:13:19,1:33:19,05:31:00,08:03:16,2:32:16,,,,,
2017-01-11,08:02:38,16:14:45,8:12:07,,06:38:00,15:38:00,,15:00:00,165.43,15:38:00,16:14:45,0:36:45,15:38:00,16:14:45,0:36:45,06:38:00,08:02:38,1:24:39,,,,,
2017-01-12,08:01:57,16:16:13,8:14:15,,07:34:00,16:44:00,,14:50:00,179.43,,,0:00:00,,,0:00:00,07:34:00,16:44:00,0:55:45,,,,,
2017-01-13,08:01:14,16:17:42,8:16:29,,08:22:00,17:55:00,,14:27:00,192.43,08:01:14,08:22:00,0:20:46,08:01:14,08:22:00,0:20:46,16:17:42,17:55:00,1:37:17,,,,,
2017-01-14,08:00:27,16:19:14,8:18:47,,09:00:00,19:08:00,,13:52:00,205.43,08:00:27,09:00:00,0:59:32,08:00:27,09:00:00,0:59:32,16:19:14,19:08:00,2:48:46,,,,,
2017-01-15,07:59:37,16:20:47,8:21:09,,09:32:00,20:20:00,,13:12:00,218.43,07:59:37,09:32:00,1:32:22,07:59:37,09:32:00,1:32:22,16:20:47,20:20:00,3:59:13,,,,,
2017-01-16,07:58:45,16:22:21,8:23:36,,10:00:00,21:29:00,,12:31:00,231.43,07:58:45,10:00:00,2:01:15,07:58:45,10:00:00,2:01:15,16:22:21,21:29:00,5:06:38,,,,,
2017-01-17,07:57:50,16:23:58,8:26:08,,10:25:00,22:36:00,,11:49:00,243.43,07:57:50,10:25:00,2:27:10,07:57:50,10:25:00,2:27:10,16:23:58,22:36:00,6:12:02,,,,,
2017-01-18,07:56:52,16:25:35,8:28:43,,10:48:00,23:42:00,,11:06:00,254.43,07:56:52,10:48:00,2:51:08,07:56:52,10:48:00,2:51:08,16:25:35,23:42:00,7:16:25,,,,,
2017-01-19,07:55:51,16:27:14,8:31:23,,11:11:00,,,11:11:00,266.43,07:55:51,11:11:00,3:15:09,07:55:51,11:11:00,3:15:09,16:27:14,00:00:00,7:32:46,,,,,
