Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2021-01-01,06:51:14,16:38:19,9:47:05,18:35:00,,,,5:25:00,208.43,,,0:00:00,5:25:00,00:00:00,18:35:00,8:47:55,4:22:05,5:25:00,8:47:55,,,,,,,
2021-01-02,06:51:24,16:39:06,9:47:42,,09:14:00,19:40:00,,13:34:00,220.43,06:51:24,09:14:00,2:22:35,13:34:00,16:39:06,19:40:00,3:00:53,0:00:00,13:34:00,3:00:53,,,,,,,
2021-01-03,06:51:33,16:39:54,9:48:21,,09:52:00,20:46:00,,13:06:00,232.43,06:51:33,09:52:00,3:00:27,13:06:00,16:39:54,20:46:00,4:06:06,0:00:00,13:06:00,4:06:06,,,,,,,
2021-01-04,06:51:39,16:40:43,9:49:04,,10:26:00,21:52:00,,12:34:00,245.43,06:51:39,10:26:00,3:34:21,12:34:00,16:40:43,21:52:00,5:11:17,0:00:00,12:34:00,5:11:17,,,,,,,
2021-01-05,06:51:43,16:41:33,9:49:50,,10:57:00,22:58:00,,11:59:00,257.43,06:51:43,10:57:00,4:05:16,11:59:00,16:41:33,22:58:00,6:16:26,0:00:00,11:59:00,6:16:26,,,,,,,
2021-01-06,06:51:46,16:42:24,9:50:38,,11:28:00,,,11:28:00,270.43,06:51:46,11:28:00,4:36:14,11:28:00,16:42:24,00:00:00,7:17:35,0:00:00,11:28:00,7:17:35,,,,,,,
2021-01-07,06:51:46,16:43:17,9:51:30,00:05:00,11:59:00,,,11:54:00,283.43,06:51:46,11:59:00,5:07:13,11:54:00,00:00:00,00:00:00,7:21:43,0:00:00,11:54:00,7:21:43,,,,,,,
2021-01-08,06:51:45,16:44:10,9:52:25,01:13:00,12:32:00,,,11:19:00,297.43,06:51:45,12:32:00,5:40:15,11:19:00,00:00:00,00:00:00,8:28:50,0:00:00,11:19:00,8:28:50,,,,,,,
2021-01-09,06:51:42,16:45:04,9:53:22,02:23:00,13:09:00,,,10:46:00,310.43,06:51:42,13:09:00,6:17:18,10:46:00,00:00:00,00:00:00,9:37:56,0:00:00,10:46:00,9:37:56,,,,,,,
2021-01-10,06:51:36,16:45:59,9:54:23,03:34:00,13:52:00,,,10:18:00,323.43,06:51:36,13:52:00,7:00:23,10:18:00,00:00:00,00:00:00,10:48:01,0:00:00,10:18:00,10:48:01,,,,,,,
