Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2013-01-29,06:43:59,17:05:04,10:21:05,,07:27:00,19:16:00,,12:11:00,206.43,06:43:59,07:27:00,0:43:01,06:43:59,07:27:00,0:43:01,17:05:04,19:16:00,2:10:56,,,,,
2013-01-30,06:43:17,17:06:06,10:22:50,,07:59:00,20:16:00,,11:43:00,218.43,06:43:17,07:59:00,1:15:43,06:43:17,07:59:00,1:15:43,17:06:06,20:16:00,3:09:53,,,,,
2013-01-31,06:42:33,17:07:09,10:24:36,21:18:00,,,,2:42:00,231.43,,,0:00:00,,,0:00:00,00:00:00,21:18:00,10:53:24,,,,,
2013-02-01,06:41:48,17:08:12,10:26:24,,09:05:00,22:20:00,,10:45:00,243.43,06:41:48,09:05:00,2:23:12,06:41:48,09:05:00,2:23:12,17:08:12,22:20:00,5:11:48,,,,,
2013-02-02,06:41:01,17:09:14,10:28:13,,09:41:00,23:25:00,,10:16:00,255.43,06:41:01,09:41:00,2:59:58,06:41:01,09:41:00,2:59:58,17:09:14,23:25:00,6:15:45,,,,,
2013-02-03,06:40:13,17:10:17,10:30:04,,10:21:00,,,10:21:00,268.43,06:40:13,10:21:00,3:40:47,06:40:13,10:21:00,3:40:47,17:10:17,00:00:00,6:49:43,,,,,
2013-02-04,06:39:23,17:11:19,10:31:56,00:30:00,11:06:00,,,10:36:00,281.43,06:39:23,11:06:00,4:26:37,,,0:00:00,00:00:00,00:00:00,7:18:40,,,,,
2013-02-05,06:38:31,17:12:21,10:33:50,01:35:00,11:57:00,,,10:22:00,294.43,06:38:31,11:57:00,5:18:28,,,0:00:00,00:00:00,00:00:00,8:22:38,,,,,
2013-02-06,06:37:39,17:13:24,10:35:45,02:38:00,12:55:00,,,10:17:00,308.43,06:37:39,12:55:00,6:17:21,,,0:00:00,00:00:00,00:00:00,9:24:36,,,,,
2013-02-07,06:36:44,17:14:25,10:37:41,03:38:00,13:59:00,,,10:21:00,321.43,06:36:44,13:59:00,7:22:15,,,0:00:00,00:00:00,00:00:00,10:23:34,,,,,
2013-02-08,06:35:49,17:15:27,10:39:38,04:31:00,15:06:00,,,10:35:00,335.43,06:35:49,15:06:00,8:30:11,,,0:00:00,00:00:00,00:00:00,11:15:32,,,,,
2013-02-09,06:34:52,17:16:28,10:41:37,05:19:00,16:15:00,,,10:56:00,348.43,06:34:52,16:15:00,9:40:08,,,0:00:00,00:00:00,00:00:00,12:02:31,,,,,
2013-02-10,06:33:53,17:17:30,10:43:36,06:01:00,17:23:00,,,11:22:00,1.43,06:33:53,17:17:30,10:43:36,,,0:00:00,00:00:00,00:00:00,12:38:00,,,,,
2013-02-11,06:32:54,17:18:30,10:45:37,06:39:00,18:29:00,,,11:50:00,15.43,06:39:00,17:18:30,10:39:31,,,0:00:00,00:00:00,00:00:00,12:03:54,,,,,
2013-02-12,06:31:53,17:19:31,10:47:39,07:15:00,19:33:00,,,12:18:00,28.43,07:15:00,17:19:31,10:04:32,,,0:00:00,00:00:00,00:00:00,10:58:53,,,,,
2013-02-13,06:30:50,17:20:31,10:49:41,07:48:00,20:35:00,,,12:47:00,40.43,07:48:00,17:20:31,9:32:32,,,0:00:00,00:00:00,00:00:00,9:55:51,,,,,
2013-02-14,06:29:47,17:21:31,10:51:45,08:22:00,21:35:00,,,13:13:00,52.43,08:22:00,17:21:31,8:59:32,,,0:00:00,00:00:00,00:00:00,8:54:47,,,,,
2013-02-15,06:28:42,17:22:31,10:53:49,,22:34:00,,,22:34:00,64.43,06:28:42,17:22:31,10:53:49,,,0:00:00,22:34:00,00:00:00,1:26:00,,,,,
2013-02-16,06:27:36,17:23:31,10:55:54,09:31:00,23:30:00,,,13:59:00,75.43,09:31:00,17:23:31,7:52:31,,,0:00:00,00:00:00,00:00:00,6:57:37,,,,,
2013-02-17,06:26:30,17:24:30,10:58:00,10:09:00,,,,13:51:00,86.43,10:09:00,17:24:30,7:15:30,,,0:00:00,00:00:00,06:26:30,6:26:30,,,,,
2013-02-18,06:25:22,17:25:28,11:00:07,,00:25:00,10:50:00,,13:35:00,97.43,10:50:00,17:25:28,6:35:29,10:50:00,17:25:28,6:35:29,00:25:00,06:25:22,6:00:22,,,,,
2013-02-19,06:24:12,17:26:27,11:02:14,,01:17:00,11:35:00,,13:42:00,108.43,11:35:00,17:26:27,5:51:27,11:35:00,17:26:27,5:51:27,01:17:00,06:24:12,5:07:13,,,,,
2013-02-20,06:23:02,17:27:25,11:04:23,,02:07:00,12:23:00,,13:44:00,119.43,12:23:00,17:27:25,5:04:25,12:23:00,17:27:25,5:04:25,02:07:00,06:23:02,4:16:03,,,,,
2013-02-21,06:21:51,17:28:23,11:06:31,,02:53:00,13:15:00,,13:38:00,130.43,13:15:00,17:28:23,4:13:23,13:15:00,17:28:23,4:13:23,02:53:00,06:21:51,3:28:52,,,,,
2013-02-22,06:20:39,17:29:20,11:08:41,,03:35:00,14:10:00,,13:25:00,141.43,14:10:00,17:29:20,3:19:21,14:10:00,17:29:20,3:19:21,03:35:00,06:20:39,2:45:40,,,,,
2013-02-23,06:19:26,17:30:17,11:10:51,,04:15:00,15:07:00,,13:08:00,152.43,15:07:00,17:30:17,2:23:18,15:07:00,17:30:17,2:23:18,04:15:00,06:19:26,2:04:27,,,,,
2013-02-24,06:18:12,17:31:14,11:13:01,,04:51:00,16:05:00,,12:46:00,163.43,16:05:00,17:31:14,1:26:14,16:05:00,17:31:14,1:26:14,04:51:00,06:18:12,1:27:13,,,,,
2013-02-25,06:16:58,17:32:10,11:15:12,,05:26:00,17:05:00,,12:21:00,175.43,17:05:00,17:32:10,0:27:11,17:05:00,17:32:10,0:27:11,05:26:00,06:16:58,0:50:58,,,,,
2013-02-26,06:15:42,17:33:06,11:17:24,,06:00:00,18:06:00,,11:54:00,187.43,,,0:00:00,,,0:00:00,06:00:00,18:06:00,0:48:36,,,,,
2013-02-27,06:14:26,17:34:02,11:19:36,,06:33:00,19:09:00,,11:24:00,200.43,06:14:26,06:33:00,0:18:34,06:14:26,06:33:00,0:18:34,17:34:02,19:09:00,1:34:57,,,,,
2013-02-28,06:13:09,17:34:57,11:21:49,,07:07:00,20:12:00,,10:55:00,212.43,06:13:09,07:07:00,0:53:51,06:13:09,07:07:00,0:53:51,17:34:57,20:12:00,2:37:02,,,,,
2013-03-01,06:11:51,17:35:52,11:24:01,,07:43:00,21:17:00,,10:26:00,225.43,06:11:51,07:43:00,1:31:09,06:11:51,07:43:00,1:31:09,17:35:52,21:17:00,3:41:07,,,,,
2013-03-02,06:10:32,17:36:47,11:26:15,22:23:00,,,,1:37:00,238.43,,,0:00:00,,,0:00:00,00:00:00,22:23:00,10:56:45,,,,,
2013-03-03,06:09:13,17:37:42,11:28:28,,09:06:00,23:28:00,,9:38:00,251.43,06:09:13,09:06:00,2:56:46,06:09:13,09:06:00,2:56:46,17:37:42,23:28:00,5:50:18,,,,,
2013-03-04,06:07:53,17:38:36,11:30:42,,09:55:00,,,9:55:00,264.43,06:07:53,09:55:00,3:47:06,06:07:53,09:55:00,3:47:06,17:38:36,00:00:00,6:21:24,,,,,
2013-03-05,06:06:33,17:39:30,11:32:56,00:31:00,10:50:00,,,10:19:00,277.43,06:06:33,10:50:00,4:43:26,,,0:00:00,00:00:00,00:00:00,6:51:30,,,,,
2013-03-06,06:05:12,17:40:23,11:35:11,01:30:00,11:50:00,,,10:20:00,290.43,06:05:12,11:50:00,5:44:47,,,0:00:00,00:00:00,00:00:00,7:49:36,,,,,
2013-03-07,06:03:51,17:41:16,11:37:26,02:24:00,12:54:00,,,10:30:00,303.43,06:03:51,12:54:00,6:50:09,,,0:00:00,00:00:00,00:00:00,8:42:43,,,,,
2013-03-08,06:02:28,17:42:09,11:39:41,03:13:00,14:00:00,,,10:47:00,316.43,06:02:28,14:00:00,7:57:31,,,0:00:00,00:00:00,00:00:00,9:30:50,,,,,
2013-03-09,06:01:06,17:43:02,11:41:56,03:56:00,15:06:00,,,11:10:00,329.43,06:01:06,15:06:00,9:04:54,,,0:00:00,00:00:00,00:00:00,10:12:58,,,,,
2013-03-10,05:59:43,17:43:54,11:44:11,04:35:00,16:12:00,,,11:37:00,342.43,05:59:43,16:12:00,10:12:16,,,0:00:00,00:00:00,00:00:00,10:51:05,,,,,
2013-03-11,05:58:20,17:44:47,11:46:27,05:11:00,17:16:00,,,12:05:00,355.43,05:58:20,17:16:00,11:17:40,,,0:00:00,00:00:00,00:00:00,11:26:13,,,,,
2013-03-12,05:56:56,17:45:39,11:48:43,05:45:00,18:18:00,,,12:33:00,8.43,05:56:56,17:45:39,11:48:43,,,0:00:00,00:00:00,00:00:00,11:27:00,,,,,
2013-03-13,05:55:32,17:46:30,11:50:58,06:19:00,19:19:00,,,13:00:00,20.43,06:19:00,17:46:30,11:27:31,,,0:00:00,00:00:00,00:00:00,10:36:32,,,,,
2013-03-14,05:54:07,17:47:22,11:53:14,06:53:00,20:19:00,,,13:26:00,32.43,06:53:00,17:47:22,10:54:22,,,0:00:00,00:00:00,00:00:00,9:35:08,,,,,
2013-03-15,05:52:43,17:48:13,11:55:30,07:28:00,21:17:00,,,13:49:00,44.43,07:28:00,17:48:13,10:20:14,,,0:00:00,00:00:00,00:00:00,8:35:43,,,,,
2013-03-16,05:51:18,17:49:04,11:57:47,08:05:00,22:14:00,,,14:09:00,55.43,08:05:00,17:49:04,9:44:05,,,0:00:00,00:00:00,00:00:00,7:37:18,,,,,
2013-03-17,05:49:52,17:49:55,12:00:03,,23:07:00,,,23:07:00,66.43,05:49:52,17:49:55,12:00:03,,,0:00:00,23:07:00,00:00:00,0:53:00,,,,,
2013-03-18,05:48:27,17:50:46,12:02:19,09:29:00,23:58:00,,,14:29:00,77.43,09:29:00,17:50:46,8:21:46,,,0:00:00,00:00:00,00:00:00,5:50:28,,,,,
2013-03-19,05:47:01,17:51:36,12:04:35,10:16:00,,,,13:44:00,88.43,10:16:00,17:51:36,7:35:37,,,0:00:00,00:00:00,05:47:01,5:47:02,,,,,
2013-03-20,05:45:36,17:52:27,12:06:51,,00:45:00,11:06:00,,13:39:00,98.43,11:06:00,17:52:27,6:46:27,11:06:00,17:52:27,6:46:27,00:45:00,05:45:36,5:00:36,,,,,
2013-03-21,05:44:10,17:53:17,12:09:07,,01:29:00,11:59:00,,13:30:00,109.43,11:59:00,17:53:17,5:54:18,11:59:00,17:53:17,5:54:18,01:29:00,05:44:10,4:15:10,,,,,
2013-03-22,05:42:44,17:54:07,12:11:23,,02:09:00,12:54:00,,13:15:00,120.43,12:54:00,17:54:07,5:00:08,12:54:00,17:54:07,5:00:08,02:09:00,05:42:44,3:33:44,,,,,
2013-03-23,05:41:18,17:54:57,12:13:39,,02:47:00,13:52:00,,12:55:00,132.43,13:52:00,17:54:57,4:02:58,13:52:00,17:54:57,4:02:58,02:47:00,05:41:18,2:54:18,,,,,
2013-03-24,05:39:52,17:55:47,12:15:55,,03:22:00,14:51:00,,12:31:00,143.43,14:51:00,17:55:47,3:04:48,14:51:00,17:55:47,3:04:48,03:22:00,05:39:52,2:17:52,,,,,
2013-03-25,05:38:26,17:56:37,12:18:11,,03:56:00,15:51:00,,12:05:00,155.43,15:51:00,17:56:37,2:05:38,15:51:00,17:56:37,2:05:38,03:56:00,05:38:26,1:42:27,,,,,
2013-03-26,05:37:00,17:57:27,12:20:27,,04:30:00,16:53:00,,11:37:00,168.43,16:53:00,17:57:27,1:04:28,16:53:00,17:57:27,1:04:28,04:30:00,05:37:00,1:07:01,,,,,
2013-03-27,05:35:34,17:58:17,12:22:43,,05:04:00,17:58:00,,11:06:00,180.43,17:58:00,17:58:17,0:00:17,17:58:00,17:58:17,0:00:17,05:04:00,05:35:34,0:31:35,,,,,
2013-03-28,05:34:08,17:59:06,12:24:58,,05:40:00,19:04:00,,10:36:00,193.43,05:34:08,05:40:00,0:05:51,05:34:08,05:40:00,0:05:51,17:59:06,19:04:00,1:04:53,,,,,
2013-03-29,05:32:43,17:59:56,12:27:13,,06:19:00,20:11:00,,10:08:00,207.43,05:32:43,06:19:00,0:46:17,05:32:43,06:19:00,0:46:17,17:59:56,20:11:00,2:11:03,,,,,
2013-03-30,05:31:17,18:00:46,12:29:28,,07:03:00,21:18:00,,9:45:00,220.43,05:31:17,07:03:00,1:31:42,05:31:17,07:03:00,1:31:42,18:00:46,21:18:00,3:17:14,,,,,
2013-03-31,05:29:52,18:01:35,12:31:43,,07:51:00,22:23:00,,9:28:00,233.43,05:29:52,07:51:00,2:21:08,05:29:52,07:51:00,2:21:08,18:01:35,22:23:00,4:21:24,,,,,
2013-04-01,05:28:27,18:02:25,12:33:58,23:25:00,,,,0:35:00,247.43,,,0:00:00,,,0:00:00,00:00:00,23:25:00,10:51:02,,,,,
2013-04-02,05:27:02,18:03:14,12:36:12,,09:45:00,,,9:45:00,260.43,05:27:02,09:45:00,4:17:58,05:27:02,09:45:00,4:17:58,18:03:14,00:00:00,5:56:45,,,,,
2013-04-03,05:25:37,18:04:03,12:38:26,00:21:00,10:48:00,,,10:27:00,273.43,05:25:37,10:48:00,5:22:22,,,0:00:00,00:00:00,00:00:00,6:16:56,,,,,
2013-04-04,05:24:13,18:04:53,12:40:40,01:10:00,11:53:00,,,10:43:00,286.43,05:24:13,11:53:00,6:28:47,,,0:00:00,00:00:00,00:00:00,7:05:07,,,,,
2013-04-05,05:22:49,18:05:42,12:42:54,01:55:00,12:58:00,,,11:03:00,299.43,05:22:49,12:58:00,7:35:11,,,0:00:00,00:00:00,00:00:00,7:49:17,,,,,
2013-04-06,05:21:25,18:06:32,12:45:07,02:34:00,14:02:00,,,11:28:00,311.43,05:21:25,14:02:00,8:40:34,,,0:00:00,00:00:00,00:00:00,8:27:28,,,,,
2013-04-07,05:20:02,18:07:21,12:47:20,03:10:00,15:05:00,,,11:55:00,324.43,05:20:02,15:05:00,9:44:58,,,0:00:00,00:00:00,00:00:00,9:02:38,,,,,
2013-04-08,05:18:39,18:08:11,12:49:32,03:44:00,16:07:00,,,12:23:00,336.43,05:18:39,16:07:00,10:48:21,,,0:00:00,00:00:00,00:00:00,9:35:49,,,,,
2013-04-09,05:17:16,18:09:01,12:51:44,04:17:00,17:07:00,,,12:50:00,349.43,05:17:16,17:07:00,11:49:43,,,0:00:00,00:00:00,00:00:00,10:07:59,,,,,
2013-04-10,05:15:55,18:09:50,12:53:56,04:51:00,18:07:00,,,13:16:00,1.43,05:15:55,18:07:00,12:51:05,,,0:00:00,00:00:00,00:00:00,10:41:09,,,,,
2013-04-11,05:14:33,18:10:40,12:56:07,05:25:00,19:05:00,,,13:40:00,12.43,05:25:00,18:10:40,12:45:40,,,0:00:00,00:00:00,00:00:00,10:09:34,,,,,
2013-04-12,05:13:12,18:11:29,12:58:17,06:02:00,20:02:00,,,14:00:00,24.43,06:02:00,18:11:29,12:09:30,,,0:00:00,00:00:00,00:00:00,9:11:13,,,,,
2013-04-13,05:11:52,18:12:19,13:00:28,06:41:00,20:57:00,,,14:16:00,35.43,06:41:00,18:12:19,11:31:20,,,0:00:00,00:00:00,00:00:00,8:14:52,,,,,
2013-04-14,05:10:32,18:13:09,13:02:37,07:24:00,21:50:00,,,14:26:00,46.43,07:24:00,18:13:09,10:49:10,,,0:00:00,00:00:00,00:00:00,7:20:32,,,,,
2013-04-15,05:09:13,18:13:59,13:04:46,08:09:00,22:38:00,,,14:29:00,57.43,08:09:00,18:13:59,10:04:59,,,0:00:00,00:00:00,00:00:00,6:31:13,,,,,
2013-04-16,05:07:54,18:14:49,13:06:55,,23:23:00,,,23:23:00,68.43,05:07:54,18:14:49,13:06:55,,,0:00:00,23:23:00,00:00:00,0:37:00,,,,,
2013-04-17,05:06:36,18:15:39,13:09:03,09:50:00,,,,14:10:00,79.43,09:50:00,18:15:39,8:25:39,,,0:00:00,00:00:00,05:06:36,5:06:37,,,,,
2013-04-18,05:05:19,18:16:29,13:11:10,,00:05:00,10:44:00,,13:21:00,89.43,10:44:00,18:16:29,7:32:29,,,0:00:00,00:05:00,05:05:19,5:00:19,,,,,
2013-04-19,05:04:02,18:17:19,13:13:16,,00:43:00,11:39:00,,13:04:00,101.43,11:39:00,18:17:19,6:38:19,11:39:00,18:17:19,6:38:19,00:43:00,05:04:02,4:21:03,,,,,
2013-04-20,05:02:47,18:18:09,13:15:22,,01:19:00,12:36:00,,12:43:00,112.43,12:36:00,18:18:09,5:42:10,12:36:00,18:18:09,5:42:10,01:19:00,05:02:47,3:43:47,,,,,
2013-04-21,05:01:32,18:18:59,13:17:27,,01:53:00,13:35:00,,12:18:00,124.43,13:35:00,18:18:59,4:44:00,13:35:00,18:18:59,4:44:00,01:53:00,05:01:32,3:08:32,,,,,
2013-04-22,05:00:18,18:19:49,13:19:32,,02:26:00,14:35:00,,11:51:00,136.43,14:35:00,18:19:49,3:44:50,14:35:00,18:19:49,3:44:50,02:26:00,05:00:18,2:34:18,,,,,
2013-04-23,04:59:04,18:20:40,13:21:35,,02:59:00,15:38:00,,11:21:00,148.43,15:38:00,18:20:40,2:42:40,15:38:00,18:20:40,2:42:40,02:59:00,04:59:04,2:00:05,,,,,
2013-04-24,04:57:52,18:21:30,13:23:38,,03:34:00,16:43:00,,10:51:00,161.43,16:43:00,18:21:30,1:38:31,16:43:00,18:21:30,1:38:31,03:34:00,04:57:52,1:23:52,,,,,
