Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2008-01-01,06:23:13,19:56:29,13:33:16,01:11:00,14:15:00,,,13:04:00,283.43,06:23:13,14:15:00,7:51:47,,,0:00:00,00:00:00,00:00:00,5:14:30,,,,,
2008-01-02,06:23:52,19:56:46,13:32:54,01:43:00,15:08:00,,,13:25:00,294.43,06:23:52,15:08:00,8:44:08,,,0:00:00,00:00:00,00:00:00,5:46:13,,,,,
2008-01-03,06:24:31,19:57:02,13:32:30,02:18:00,16:01:00,,,13:43:00,305.43,06:24:31,16:01:00,9:36:28,,,0:00:00,00:00:00,00:00:00,6:20:58,,,,,
2008-01-04,06:25:11,19:57:16,13:32:05,02:56:00,16:56:00,,,14:00:00,315.43,06:25:11,16:56:00,10:30:48,,,0:00:00,00:00:00,00:00:00,6:58:43,,,,,
2008-01-05,06:25:52,19:57:29,13:31:37,03:40:00,17:51:00,,,14:11:00,326.43,06:25:52,17:51:00,11:25:08,,,0:00:00,00:00:00,00:00:00,7:42:30,,,,,
2008-01-06,06:26:33,19:57:41,13:31:08,04:29:00,18:44:00,,,14:15:00,337.43,06:26:33,18:44:00,12:17:27,,,0:00:00,00:00:00,00:00:00,8:31:19,,,,,
2008-01-07,06:27:15,19:57:51,13:30:37,05:23:00,19:35:00,,,14:12:00,348.43,06:27:15,19:35:00,13:07:45,,,0:00:00,00:00:00,00:00:00,9:25:08,,,,,
2008-01-08,06:27:57,19:58:00,13:30:04,06:20:00,20:22:00,,,14:02:00,0.43,06:27:57,19:58:00,13:30:04,,,0:00:00,00:00:00,00:00:00,9:58:00,,,,,
2008-01-09,06:28:39,19:58:08,13:29:29,07:18:00,21:05:00,,,13:47:00,11.43,07:18:00,19:58:08,12:40:08,,,0:00:00,00:00:00,00:00:00,9:23:39,,,,,
2008-01-10,06:29:22,19:58:14,13:28:52,08:17:00,21:43:00,,,13:26:00,23.43,08:17:00,19:58:14,11:41:15,,,0:00:00,00:00:00,00:00:00,8:46:22,,,,,
