Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2010-01-01,06:23:33,19:56:37,13:33:05,,07:03:00,20:57:00,,10:06:00,188.43,06:23:33,07:03:00,0:39:27,10:06:00,19:56:37,20:57:00,1:00:22,3:27:05,10:06:00,1:00:22,,,,,,,
2010-01-02,06:24:12,19:56:54,13:32:42,,08:12:00,21:45:00,,10:27:00,202.43,06:24:12,08:12:00,1:47:48,10:27:00,19:56:54,21:45:00,1:48:06,3:05:42,10:27:00,1:48:06,,,,,,,
2010-01-03,06:24:52,19:57:09,13:32:17,,09:20:00,,,9:20:00,216.43,06:24:52,09:20:00,2:55:08,9:20:00,19:57:09,00:00:00,4:02:51,4:12:17,9:20:00,4:02:51,,,,,,,
2010-01-04,06:25:32,19:57:22,13:31:50,,10:24:00,23:06:00,,11:18:00,230.43,06:25:32,10:24:00,3:58:28,11:18:00,19:57:22,23:06:00,3:08:37,2:13:50,11:18:00,3:08:37,,,,,,,
2010-01-05,06:26:13,19:57:35,13:31:22,,11:26:00,23:44:00,,11:42:00,244.43,06:26:13,11:26:00,4:59:47,11:42:00,19:57:35,23:44:00,3:46:25,1:49:22,11:42:00,3:46:25,,,,,,,
2010-01-06,06:26:54,19:57:46,13:30:52,,12:25:00,,,12:25:00,257.43,06:26:54,12:25:00,5:58:05,12:25:00,19:57:46,00:00:00,4:02:14,1:05:52,12:25:00,4:02:14,,,,,,,
2010-01-07,06:27:36,19:57:56,13:30:20,00:21:00,13:24:00,,,13:03:00,270.43,06:27:36,13:24:00,6:56:24,13:03:00,00:00:00,00:00:00,4:23:04,0:27:20,13:03:00,4:23:04,,,,,,,
2010-01-08,06:28:18,19:58:04,13:29:46,00:59:00,14:23:00,,,13:24:00,282.43,06:28:18,14:23:00,7:54:41,13:24:00,00:00:00,00:00:00,5:00:56,0:05:46,13:24:00,5:00:56,,,,,,,
2010-01-09,06:29:01,19:58:11,13:29:10,01:40:00,15:21:00,,,13:41:00,294.43,06:29:01,15:21:00,8:51:59,13:41:00,00:00:00,00:00:00,5:41:49,0:00:00,13:41:00,5:41:49,,,,,,,
2010-01-10,06:29:44,19:58:16,13:28:32,02:23:00,16:18:00,,,13:55:00,306.43,06:29:44,16:18:00,9:48:16,13:55:00,00:00:00,00:00:00,6:24:43,0:00:00,13:55:00,6:24:43,,,,,,,
2010-01-11,06:30:27,19:58:20,13:27:53,03:10:00,17:13:00,,,14:03:00,318.43,06:30:27,17:13:00,10:42:33,14:03:00,00:00:00,00:00:00,7:11:39,0:00:00,14:03:00,7:11:39,,,,,,,
2010-01-12,06:31:10,19:58:23,13:27:12,04:01:00,18:06:00,,,14:05:00,329.43,06:31:10,18:06:00,11:34:49,14:05:00,00:00:00,00:00:00,8:02:37,0:00:00,14:05:00,8:02:37,,,,,,,
2010-01-13,06:31:54,19:58:24,13:26:30,04:54:00,18:54:00,,,14:00:00,340.43,06:31:54,18:54:00,12:22:05,0:00:00,00:00:00,00:00:00,8:55:35,13:26:30,14:00:00,8:55:35,,,,,,,
2010-01-14,06:32:38,19:58:24,13:25:46,05:48:00,19:37:00,,,13:49:00,351.43,06:32:38,19:37:00,13:04:22,0:00:00,00:00:00,00:00:00,9:49:36,13:25:46,13:49:00,9:49:36,,,,,,,
2010-01-15,06:33:22,19:58:22,13:25:00,06:41:00,20:17:00,,,13:36:00,2.43,06:41:00,19:58:22,13:17:23,0:00:00,00:00:00,00:00:00,10:16:22,13:25:00,13:36:00,10:16:22,,,,,,,
2010-01-16,06:34:06,19:58:19,13:24:13,07:34:00,20:52:00,,,13:18:00,13.43,07:34:00,19:58:19,12:24:20,0:00:00,00:00:00,00:00:00,9:42:07,13:24:13,13:18:00,9:42:07,,,,,,,
2010-01-17,06:34:50,19:58:15,13:23:24,08:26:00,21:25:00,,,12:59:00,24.43,08:26:00,19:58:15,11:32:15,0:00:00,00:00:00,00:00:00,9:09:51,13:23:24,12:59:00,9:09:51,,,,,,,
2010-01-18,06:35:34,19:58:09,13:22:34,09:16:00,21:56:00,,,12:40:00,35.43,09:16:00,19:58:09,10:42:09,12:40:00,00:00:00,00:00:00,8:39:35,0:42:34,12:40:00,8:39:35,,,,,,,
2010-01-19,06:36:19,19:58:01,13:21:43,10:05:00,,,,13:55:00,45.43,10:05:00,19:58:01,9:53:02,13:55:00,00:00:00,06:36:19,6:36:19,0:00:00,13:55:00,6:36:19,,,,,,,
