Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2012-01-01,06:23:14,19:56:28,13:33:15,,00:35:00,13:29:00,,11:06:00,93.43,13:29:00,19:56:28,6:27:29,13:29:00,19:56:28,6:27:29,00:35:00,06:23:14,5:48:14,,,,,
2012-01-02,06:23:53,19:56:45,13:32:53,,01:10:00,14:20:00,,10:50:00,104.43,14:20:00,19:56:45,5:36:46,14:20:00,19:56:45,5:36:46,01:10:00,06:23:53,5:13:53,,,,,
2012-01-03,06:24:32,19:57:01,13:32:29,,01:46:00,15:11:00,,10:35:00,114.43,15:11:00,19:57:01,4:46:02,15:11:00,19:57:01,4:46:02,01:46:00,06:24:32,4:38:33,,,,,
2012-01-04,06:25:12,19:57:15,13:32:03,,02:26:00,16:03:00,,10:23:00,125.43,16:03:00,19:57:15,3:54:16,16:03:00,19:57:15,3:54:16,02:26:00,06:25:12,3:59:13,,,,,
2012-01-05,06:25:53,19:57:28,13:31:36,,03:09:00,16:56:00,,10:13:00,136.43,16:56:00,19:57:28,3:01:29,16:56:00,19:57:28,3:01:29,03:09:00,06:25:53,3:16:53,,,,,
2012-01-06,06:26:34,19:57:40,13:31:06,,03:56:00,17:49:00,,10:07:00,147.43,17:49:00,19:57:40,2:08:41,17:49:00,19:57:40,2:08:41,03:56:00,06:26:34,2:30:34,,,,,
2012-01-07,06:27:16,19:57:50,13:30:35,,04:47:00,18:40:00,,10:07:00,158.43,18:40:00,19:57:50,1:17:51,18:40:00,19:57:50,1:17:51,04:47:00,06:27:16,1:40:16,,,,,
2012-01-08,06:27:58,19:57:59,13:30:02,,05:41:00,19:28:00,,10:13:00,170.43,19:28:00,19:57:59,0:30:00,19:28:00,19:57:59,0:30:00,05:41:00,06:27:58,0:46:58,,,,,
2012-01-09,06:28:40,19:58:07,13:29:27,,06:39:00,20:14:00,,10:25:00,182.43,06:28:40,06:39:00,0:10:20,06:28:40,06:39:00,0:10:20,19:58:07,20:14:00,0:15:53,,,,,
2012-01-10,06:29:23,19:58:13,13:28:50,,07:37:00,20:58:00,,10:39:00,194.43,06:29:23,07:37:00,1:07:37,06:29:23,07:37:00,1:07:37,19:58:13,20:58:00,0:59:46,,,,,
