Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2020-01-01,05:23:15,18:56:28,13:33:13,10:54:00,23:36:00,,,12:42:00,72.43,10:54:00,18:56:28,8:02:29,12:42:00,00:00:00,00:00:00,5:47:16,0:51:13,12:42:00,5:47:16,,,,,,,
2020-01-02,05:23:54,18:56:45,13:32:51,11:43:00,,,,12:17:00,83.43,11:43:00,18:56:45,7:13:46,12:17:00,00:00:00,05:23:54,5:23:54,1:15:51,12:17:00,5:23:54,,,,,,,
2020-01-03,05:24:33,18:57:01,13:32:27,,00:08:00,12:33:00,,11:35:00,93.43,12:33:00,18:57:01,6:24:01,11:35:00,00:08:00,05:24:33,5:16:34,1:57:27,11:35:00,5:16:34,,,,,,,
2020-01-04,05:25:13,18:57:15,13:32:02,,00:40:00,13:23:00,,11:17:00,104.43,13:23:00,18:57:15,5:34:16,11:17:00,00:40:00,05:25:13,4:45:14,2:15:02,11:17:00,4:45:14,,,,,,,
2020-01-05,05:25:54,18:57:28,13:31:34,,01:14:00,14:15:00,,10:59:00,115.43,14:15:00,18:57:28,4:42:29,10:59:00,01:14:00,05:25:54,4:11:55,2:32:34,10:59:00,4:11:55,,,,,,,
2020-01-06,05:26:35,18:57:40,13:31:05,,01:51:00,15:09:00,,10:42:00,126.43,15:09:00,18:57:40,3:48:40,10:42:00,01:51:00,05:26:35,3:35:36,2:49:05,10:42:00,3:35:36,,,,,,,
2020-01-07,05:27:17,18:57:50,13:30:33,,02:31:00,16:06:00,,10:25:00,138.43,16:06:00,18:57:50,2:51:50,10:25:00,02:31:00,05:27:17,2:56:17,3:05:33,10:25:00,2:56:17,,,,,,,
2020-01-08,05:27:59,18:57:59,13:30:00,,03:16:00,17:05:00,,10:11:00,150.43,17:05:00,18:57:59,1:52:59,10:11:00,03:16:00,05:27:59,2:11:59,3:19:00,10:11:00,2:11:59,,,,,,,
2020-01-09,05:28:41,18:58:06,13:29:25,,04:07:00,18:05:00,,10:02:00,162.43,18:05:00,18:58:06,0:53:07,10:02:00,04:07:00,05:28:41,1:21:42,3:27:25,10:02:00,1:21:42,,,,,,,
2020-01-10,05:29:24,18:58:12,13:28:48,,05:04:00,19:04:00,,10:00:00,175.43,,,0:00:00,10:00:00,05:04:00,19:04:00,0:31:12,3:28:48,10:00:00,0:31:12,,,,,,,
2020-01-11,05:30:07,18:58:17,13:28:10,,06:05:00,20:00:00,,10:05:00,188.43,05:30:07,06:05:00,0:34:52,10:05:00,18:58:17,20:00:00,1:01:42,3:23:10,10:05:00,1:01:42,,,,,,,
2020-01-12,05:30:50,18:58:20,13:27:30,,07:10:00,20:52:00,,10:18:00,202.43,05:30:50,07:10:00,1:39:09,10:18:00,18:58:20,20:52:00,1:53:39,3:09:30,10:18:00,1:53:39,,,,,,,
