Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2000-01-01,06:23:12,19:56:29,13:33:17,02:45:00,15:45:00,,,13:00:00,06:23:12,15:45:00,9:21:47,00:00:00,00:00:00,6:48:31,,,,
2000-01-02,06:23:51,19:56:46,13:32:55,03:22:00,16:36:00,,,13:14:00,06:23:51,16:36:00,10:12:09,00:00:00,00:00:00,7:25:14,,,,
2000-01-03,06:24:30,19:57:02,13:32:31,04:01:00,17:27:00,,,13:26:00,06:24:30,17:27:00,11:02:29,00:00:00,00:00:00,8:03:58,,,,
2000-01-04,06:25:10,19:57:16,13:32:06,04:42:00,18:18:00,,,13:36:00,06:25:10,18:18:00,11:52:49,00:00:00,00:00:00,8:44:43,,,,
2000-01-05,06:25:51,19:57:29,13:31:38,05:27:00,19:08:00,,,13:41:00,06:25:51,19:08:00,12:42:09,00:00:00,00:00:00,9:29:30,,,,
2000-01-06,06:26:32,19:57:41,13:31:09,06:14:00,19:56:00,,,13:42:00,06:26:32,19:56:00,13:29:28,00:00:00,00:00:00,10:16:18,,,,
2000-01-07,06:27:13,19:57:51,13:30:38,07:04:00,20:43:00,,,13:39:00,07:04:00,19:57:51,12:53:52,00:00:00,00:00:00,9:44:14,,,,
2000-01-08,06:27:55,19:58:01,13:30:05,07:55:00,21:27:00,,,13:32:00,07:55:00,19:58:01,12:03:01,00:00:00,00:00:00,9:00:56,,,,
2000-01-09,06:28:38,19:58:08,13:29:31,08:48:00,,,,15:12:00,08:48:00,19:58:08,11:10:09,00:00:00,06:28:38,6:28:38,,,,
2000-01-10,06:29:20,19:58:15,13:28:54,09:41:00,22:49:00,,,13:08:00,09:41:00,19:58:15,10:17:15,00:00:00,00:00:00,7:40:21,,,,
2000-01-11,06:30:03,19:58:19,13:28:16,10:35:00,23:27:00,,,12:52:00,10:35:00,19:58:19,9:23:20,00:00:00,00:00:00,7:03:04,,,,
2000-01-12,06:30:47,19:58:23,13:27:36,11:29:00,,,,12:31:00,11:29:00,19:58:23,8:29:23,00:00:00,06:30:47,6:30:47,,,,
2000-01-13,06:31:30,19:58:25,13:26:55,,00:05:00,12:24:00,,11:41:00,12:24:00,19:58:25,7:34:25,00:05:00,06:31:30,6:26:31,,,,
2000-01-14,06:32:14,19:58:25,13:26:11,,00:43:00,13:21:00,,11:22:00,13:21:00,19:58:25,6:37:26,00:43:00,06:32:14,5:49:15,,,,
2000-01-15,06:32:58,19:58:25,13:25:27,,01:23:00,14:20:00,,11:03:00,14:20:00,19:58:25,5:38:25,01:23:00,06:32:58,5:09:58,,,,
