Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2011-01-01,06:23:23,19:56:33,13:33:10,03:41:00,17:39:00,,,13:58:00,324.43,06:23:23,17:39:00,11:15:36,13:58:00,00:00:00,00:00:00,7:44:27,0:00:00,13:58:00,7:44:27,,,,,,,
2011-01-02,06:24:02,19:56:50,13:32:47,04:36:00,18:36:00,,,14:00:00,337.43,06:24:02,18:36:00,12:11:57,0:00:00,00:00:00,00:00:00,8:39:10,13:32:47,14:00:00,8:39:10,,,,,,,
2011-01-03,06:24:42,19:57:05,13:32:23,05:33:00,19:28:00,,,13:55:00,349.43,06:24:42,19:28:00,13:03:18,0:00:00,00:00:00,00:00:00,9:35:55,13:32:23,13:55:00,9:35:55,,,,,,,
2011-01-04,06:25:22,19:57:19,13:31:57,06:30:00,20:14:00,,,13:44:00,1.43,06:30:00,19:57:19,13:27:19,0:00:00,00:00:00,00:00:00,10:11:23,13:31:57,13:44:00,10:11:23,,,,,,,
2011-01-05,06:26:03,19:57:32,13:31:29,07:27:00,20:56:00,,,13:29:00,13.43,07:27:00,19:57:32,12:30:32,0:00:00,00:00:00,00:00:00,9:30:03,13:31:29,13:29:00,9:30:03,,,,,,,
2011-01-06,06:26:44,19:57:43,13:30:59,08:22:00,21:33:00,,,13:11:00,25.43,08:22:00,19:57:43,11:35:44,0:00:00,00:00:00,00:00:00,8:53:45,13:30:59,13:11:00,8:53:45,,,,,,,
2011-01-07,06:27:26,19:57:53,13:30:27,09:15:00,,,,14:45:00,36.43,09:15:00,19:57:53,10:42:54,14:45:00,00:00:00,06:27:26,6:27:26,0:00:00,14:45:00,6:27:26,,,,,,,
2011-01-08,06:28:08,19:58:02,13:29:54,10:06:00,22:40:00,,,12:34:00,47.43,10:06:00,19:58:02,9:52:02,12:34:00,00:00:00,00:00:00,7:48:08,0:55:54,12:34:00,7:48:08,,,,,,,
2011-01-09,06:28:50,19:58:09,13:29:18,10:55:00,23:12:00,,,12:17:00,58.43,10:55:00,19:58:09,9:03:09,12:17:00,00:00:00,00:00:00,7:16:51,1:12:18,12:17:00,7:16:51,,,,,,,
2011-01-10,06:29:33,19:58:15,13:28:41,11:45:00,23:43:00,,,11:58:00,69.43,11:45:00,19:58:15,8:13:15,11:58:00,00:00:00,00:00:00,6:46:34,1:30:41,11:58:00,6:46:34,,,,,,,
