Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2022-01-29,05:43:36,18:55:27,13:11:51,02:35:00,16:48:00,,,14:13:00,321.43,05:43:36,16:48:00,11:04:23,,,0:00:00,00:00:00,00:00:00,7:39:33,,,,,
2022-01-30,05:44:18,18:55:04,13:10:46,03:39:00,17:52:00,,,14:13:00,335.43,05:44:18,17:52:00,12:07:41,,,0:00:00,00:00:00,00:00:00,8:43:55,,,,,
2022-01-31,05:45:00,18:54:40,13:09:40,04:47:00,18:48:00,,,14:01:00,349.43,05:45:00,18:48:00,13:02:59,,,0:00:00,00:00:00,00:00:00,9:52:19,,,,,
2022-02-01,05:45:42,18:54:15,13:08:33,05:55:00,19:38:00,,,13:43:00,2.43,05:55:00,18:54:15,12:59:15,,,0:00:00,00:00:00,00:00:00,10:07:42,,,,,
2022-02-02,05:46:23,18:53:48,13:07:25,07:01:00,20:21:00,,,13:20:00,16.43,07:01:00,18:53:48,11:52:49,,,0:00:00,00:00:00,00:00:00,9:25:24,,,,,
2022-02-03,05:47:04,18:53:20,13:06:16,08:03:00,20:59:00,,,12:56:00,29.43,08:03:00,18:53:20,10:50:21,,,0:00:00,00:00:00,00:00:00,8:48:05,,,,,
2022-02-04,05:47:45,18:52:51,13:05:07,09:02:00,,,,14:58:00,42.43,09:02:00,18:52:51,9:50:52,,,0:00:00,00:00:00,05:47:45,5:47:45,,,,,
2022-02-05,05:48:25,18:52:21,13:03:56,09:57:00,22:07:00,,,12:10:00,54.43,09:57:00,18:52:21,8:55:22,,,0:00:00,00:00:00,00:00:00,7:41:25,,,,,
2022-02-06,05:49:04,18:51:50,13:02:45,10:51:00,22:40:00,,,11:49:00,66.43,10:51:00,18:51:50,8:00:50,,,0:00:00,00:00:00,00:00:00,7:09:05,,,,,
2022-02-07,05:49:44,18:51:17,13:01:33,11:44:00,23:14:00,,,11:30:00,78.43,11:44:00,18:51:17,7:07:17,,,0:00:00,00:00:00,00:00:00,6:35:44,,,,,
2022-02-08,05:50:22,18:50:43,13:00:21,12:37:00,23:50:00,,,11:13:00,89.43,12:37:00,18:50:43,6:13:43,,,0:00:00,00:00:00,00:00:00,6:00:23,,,,,
2022-02-09,05:51:01,18:50:08,12:59:07,13:30:00,,,,10:30:00,100.43,13:30:00,18:50:08,5:20:08,13:30:00,18:50:08,5:20:08,00:00:00,05:51:01,5:51:01,,,,,
2022-02-10,05:51:39,18:49:32,12:57:53,,00:29:00,14:24:00,,10:05:00,111.43,14:24:00,18:49:32,4:25:32,14:24:00,18:49:32,4:25:32,00:29:00,05:51:39,5:22:39,,,,,
2022-02-11,05:52:16,18:48:55,12:56:38,,01:12:00,15:18:00,,9:54:00,122.43,15:18:00,18:48:55,3:30:55,15:18:00,18:48:55,3:30:55,01:12:00,05:52:16,4:40:17,,,,,
2022-02-12,05:52:53,18:48:16,12:55:23,,01:59:00,16:10:00,,9:49:00,133.43,16:10:00,18:48:16,2:38:17,16:10:00,18:48:16,2:38:17,01:59:00,05:52:53,3:53:54,,,,,
2022-02-13,05:53:30,18:47:37,12:54:07,,02:51:00,16:59:00,,9:52:00,143.43,16:59:00,18:47:37,1:48:38,16:59:00,18:47:37,1:48:38,02:51:00,05:53:30,3:02:30,,,,,
2022-02-14,05:54:06,18:46:57,12:52:51,,03:45:00,17:45:00,,10:00:00,154.43,17:45:00,18:46:57,1:01:57,17:45:00,18:46:57,1:01:57,03:45:00,05:54:06,2:09:06,,,,,
2022-02-15,05:54:41,18:46:15,12:51:34,,04:41:00,18:28:00,,10:13:00,166.43,18:28:00,18:46:15,0:18:16,18:28:00,18:46:15,0:18:16,04:41:00,05:54:41,1:13:42,,,,,
2022-02-16,05:55:16,18:45:33,12:50:17,,05:38:00,19:07:00,,10:31:00,177.43,,,0:00:00,,,0:00:00,05:38:00,19:07:00,0:38:43,,,,,
2022-02-17,05:55:51,18:44:50,12:48:59,,06:34:00,19:43:00,,10:51:00,189.43,05:55:51,06:34:00,0:38:09,05:55:51,06:34:00,0:38:09,18:44:50,19:43:00,0:58:10,,,,,
2022-02-18,05:56:25,18:44:06,12:47:41,,07:30:00,20:18:00,,11:12:00,201.43,05:56:25,07:30:00,1:33:34,05:56:25,07:30:00,1:33:34,18:44:06,20:18:00,1:33:54,,,,,
2022-02-19,05:56:59,18:43:21,12:46:22,,08:26:00,20:52:00,,11:34:00,213.43,05:56:59,08:26:00,2:29:01,05:56:59,08:26:00,2:29:01,18:43:21,20:52:00,2:08:39,,,,,
2022-02-20,05:57:32,18:42:35,12:45:03,,09:23:00,,,9:23:00,225.43,05:57:32,09:23:00,3:25:28,05:57:32,09:23:00,3:25:28,18:42:35,00:00:00,5:17:25,,,,,
2022-02-21,05:58:05,18:41:48,12:43:43,,10:21:00,22:05:00,,12:16:00,238.43,05:58:05,10:21:00,4:22:55,05:58:05,10:21:00,4:22:55,18:41:48,22:05:00,3:23:12,,,,,
2022-02-22,05:58:37,18:41:00,12:42:23,,11:22:00,22:46:00,,12:36:00,251.43,05:58:37,11:22:00,5:23:23,05:58:37,11:22:00,5:23:23,18:41:00,22:46:00,4:04:59,,,,,
2022-02-23,05:59:09,18:40:12,12:41:03,,12:25:00,23:32:00,,12:53:00,263.43,05:59:09,12:25:00,6:25:51,05:59:09,12:25:00,6:25:51,18:40:12,23:32:00,4:51:48,,,,,
