Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2022-01-01,07:20:21,16:39:09,9:18:48,06:15:00,15:23:00,,,9:08:00,07:20:21,15:23:00,8:02:39,00:00:00,00:00:00,13:35:51,,,,
2022-01-02,07:20:26,16:40:00,9:19:34,07:27:00,16:28:00,,,9:01:00,07:27:00,16:28:00,9:01:00,00:00:00,00:00:00,14:40:26,,,,
2022-01-03,07:20:29,16:40:53,9:20:24,08:29:00,17:41:00,,,9:12:00,08:29:00,16:40:53,8:11:54,00:00:00,00:00:00,13:39:30,,,,
2022-01-04,07:20:30,16:41:48,9:21:18,09:18:00,18:58:00,,,9:40:00,09:18:00,16:41:48,7:23:48,00:00:00,00:00:00,12:22:30,,,,
2022-01-05,07:20:28,16:42:43,9:22:15,09:56:00,,,,14:04:00,09:56:00,16:42:43,6:46:44,00:00:00,07:20:28,7:20:29,,,,
2022-01-06,07:20:25,16:43:41,9:23:16,10:28:00,21:25:00,,,10:57:00,10:28:00,16:43:41,6:15:41,00:00:00,00:00:00,9:55:25,,,,
2022-01-07,07:20:19,16:44:39,9:24:20,10:54:00,22:32:00,,,11:38:00,10:54:00,16:44:39,5:50:40,00:00:00,00:00:00,8:48:19,,,,
2022-01-08,07:20:10,16:45:39,9:25:29,11:17:00,23:37:00,,,12:20:00,11:17:00,16:45:39,5:28:39,00:00:00,00:00:00,7:43:11,,,,
2022-01-09,07:20:00,16:46:40,9:26:40,11:40:00,,,,12:20:00,11:40:00,16:46:40,5:06:40,00:00:00,07:20:00,7:20:00,,,,
2022-01-10,07:19:47,16:47:42,9:27:55,,00:39:00,12:02:00,,12:37:00,12:02:00,16:47:42,4:45:42,00:39:00,07:19:47,6:40:48,,,,
2022-01-11,07:19:32,16:48:45,9:29:13,,01:41:00,12:26:00,,13:15:00,12:26:00,16:48:45,4:22:46,01:41:00,07:19:32,5:38:33,,,,
2022-01-12,07:19:15,16:49:49,9:30:35,,02:42:00,12:53:00,,13:49:00,12:53:00,16:49:49,3:56:50,02:42:00,07:19:15,4:37:15,,,,
