Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2008-01-01,07:20:19,16:38:40,9:18:21,01:06:00,11:52:00,,,10:46:00,283.43,07:20:19,11:52:00,4:31:41,,,0:00:00,00:00:00,00:00:00,8:27:19,,,,,
2008-01-02,07:20:26,16:39:31,9:19:05,02:07:00,12:16:00,,,10:09:00,294.43,07:20:26,12:16:00,4:55:34,,,0:00:00,00:00:00,00:00:00,9:27:29,,,,,
2008-01-03,07:20:30,16:40:23,9:19:53,03:09:00,12:44:00,,,9:35:00,305.43,07:20:30,12:44:00,5:23:30,,,0:00:00,00:00:00,00:00:00,10:28:37,,,,,
2008-01-04,07:20:32,16:41:16,9:20:44,04:12:00,13:18:00,,,9:06:00,315.43,07:20:32,13:18:00,5:57:27,,,0:00:00,00:00:00,00:00:00,11:30:43,,,,,
2008-01-05,07:20:32,16:42:11,9:21:39,05:13:00,14:00:00,,,8:47:00,326.43,07:20:32,14:00:00,6:39:28,,,0:00:00,00:00:00,00:00:00,12:30:48,,,,,
2008-01-06,07:20:30,16:43:08,9:22:38,06:10:00,14:50:00,,,8:40:00,337.43,07:20:30,14:50:00,7:29:30,,,0:00:00,00:00:00,00:00:00,13:26:52,,,,,
2008-01-07,07:20:25,16:44:05,9:23:40,07:01:00,15:48:00,,,8:47:00,348.43,07:20:25,15:48:00,8:27:35,,,0:00:00,00:00:00,00:00:00,14:16:54,,,,,
2008-01-08,07:20:18,16:45:04,9:24:46,07:45:00,16:53:00,,,9:08:00,0.43,07:45:00,16:45:04,9:00:05,,,0:00:00,00:00:00,00:00:00,14:27:18,,,,,
2008-01-09,07:20:09,16:46:05,9:25:56,08:21:00,18:01:00,,,9:40:00,11.43,08:21:00,16:46:05,8:25:05,,,0:00:00,00:00:00,00:00:00,13:19:09,,,,,
2008-01-10,07:19:57,16:47:06,9:27:09,08:51:00,,,,15:09:00,23.43,08:51:00,16:47:06,7:56:07,,,0:00:00,00:00:00,07:19:57,7:19:58,,,,,
