Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2012-01-29,07:09:29,17:09:08,9:59:39,09:57:00,23:55:00,,,13:58:00,72.43,09:57:00,17:09:08,7:12:09,,,0:00:00,00:00:00,00:00:00,7:14:30,,,,,
2012-01-30,07:08:37,17:10:22,10:01:46,10:27:00,,,,13:33:00,83.43,10:27:00,17:10:22,6:43:23,,,0:00:00,00:00:00,07:08:37,7:08:37,,,,,
2012-01-31,07:07:42,17:11:36,10:03:54,,00:53:00,11:00:00,,13:53:00,94.43,11:00:00,17:11:36,6:11:37,11:00:00,17:11:36,6:11:37,00:53:00,07:07:42,6:14:43,,,,,
2012-02-01,07:06:46,17:12:50,10:06:05,,01:50:00,11:39:00,,14:11:00,104.43,11:39:00,17:12:50,5:33:51,11:39:00,17:12:50,5:33:51,01:50:00,07:06:46,5:16:46,,,,,
2012-02-02,07:05:48,17:14:05,10:08:17,,02:46:00,12:23:00,,14:23:00,115.43,12:23:00,17:14:05,4:51:05,12:23:00,17:14:05,4:51:05,02:46:00,07:05:48,4:19:48,,,,,
2012-02-03,07:04:48,17:15:19,10:10:31,,03:38:00,13:14:00,,14:24:00,126.43,13:14:00,17:15:19,4:01:19,13:14:00,17:15:19,4:01:19,03:38:00,07:04:48,3:26:48,,,,,
2012-02-04,07:03:47,17:16:33,10:12:47,,04:27:00,14:11:00,,14:16:00,138.43,14:11:00,17:16:33,3:05:34,14:11:00,17:16:33,3:05:34,04:27:00,07:03:47,2:36:47,,,,,
2012-02-05,07:02:44,17:17:47,10:15:04,,05:11:00,15:14:00,,13:57:00,149.43,15:14:00,17:17:47,2:03:48,15:14:00,17:17:47,2:03:48,05:11:00,07:02:44,1:51:44,,,,,
2012-02-06,07:01:39,17:19:01,10:17:23,,05:51:00,16:20:00,,13:31:00,162.43,16:20:00,17:19:01,0:59:02,16:20:00,17:19:01,0:59:02,05:51:00,07:01:39,1:10:39,,,,,
2012-02-07,07:00:33,17:20:16,10:19:43,,06:27:00,17:29:00,,12:58:00,174.43,,,0:00:00,,,0:00:00,06:27:00,17:29:00,0:42:17,,,,,
2012-02-08,06:59:25,17:21:29,10:22:04,,07:00:00,18:39:00,,12:21:00,187.43,06:59:25,07:00:00,0:00:34,06:59:25,07:00:00,0:00:34,17:21:29,18:39:00,1:17:30,,,,,
