Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2000-01-26,07:12:03,17:05:22,9:53:19,,10:37:00,23:23:00,,11:14:00,249.43,07:12:03,10:37:00,3:24:56,11:14:00,17:05:22,23:23:00,6:17:37,0:00:00,11:14:00,6:17:37,,,,,,,
2000-01-27,07:11:16,17:06:36,9:55:20,,11:05:00,,,11:05:00,260.43,07:11:16,11:05:00,3:53:43,11:05:00,17:06:36,00:00:00,6:53:24,0:00:00,11:05:00,6:53:24,,,,,,,
2000-01-28,07:10:27,17:07:49,9:57:22,00:23:00,11:35:00,,,11:12:00,272.43,07:10:27,11:35:00,4:24:32,11:12:00,00:00:00,00:00:00,7:15:10,0:00:00,11:12:00,7:15:10,,,,,,,
2000-01-29,07:09:36,17:09:03,9:59:27,01:22:00,12:06:00,,,10:44:00,283.43,07:09:36,12:06:00,4:56:23,10:44:00,00:00:00,00:00:00,8:12:57,0:00:00,10:44:00,8:12:57,,,,,,,
2000-01-30,07:08:44,17:10:17,10:01:33,02:19:00,12:39:00,,,10:20:00,294.43,07:08:44,12:39:00,5:30:16,10:20:00,00:00:00,00:00:00,9:08:43,0:00:00,10:20:00,9:08:43,,,,,,,
2000-01-31,07:07:49,17:11:31,10:03:42,03:16:00,13:17:00,,,10:01:00,305.43,07:07:49,13:17:00,6:09:10,10:01:00,00:00:00,00:00:00,10:04:29,0:02:42,10:01:00,10:04:29,,,,,,,
2000-02-01,07:06:53,17:12:45,10:05:52,04:10:00,13:59:00,,,9:49:00,316.43,07:06:53,13:59:00,6:52:07,9:49:00,00:00:00,00:00:00,10:57:15,0:16:52,9:49:00,10:57:15,,,,,,,
2000-02-02,07:05:55,17:13:59,10:08:04,05:01:00,14:45:00,,,9:44:00,326.43,07:05:55,14:45:00,7:39:04,9:44:00,00:00:00,00:00:00,11:47:00,0:24:04,9:44:00,11:47:00,,,,,,,
2000-02-03,07:04:55,17:15:13,10:10:18,05:49:00,15:37:00,,,9:48:00,337.43,07:04:55,15:37:00,8:32:04,0:00:00,00:00:00,00:00:00,12:33:46,10:10:18,9:48:00,12:33:46,,,,,,,
2000-02-04,07:03:54,17:16:27,10:12:33,06:33:00,16:33:00,,,10:00:00,348.43,07:03:54,16:33:00,9:29:05,0:00:00,00:00:00,00:00:00,13:16:32,10:12:33,10:00:00,13:16:32,,,,,,,
2000-02-05,07:02:51,17:17:42,10:14:50,07:12:00,17:32:00,,,10:20:00,359.43,07:12:00,17:17:42,10:05:42,0:00:00,00:00:00,00:00:00,13:30:52,10:14:50,10:20:00,13:30:52,,,,,,,
2000-02-06,07:01:47,17:18:56,10:17:09,07:48:00,18:33:00,,,10:45:00,11.43,07:48:00,17:18:56,9:30:56,0:00:00,00:00:00,00:00:00,12:28:47,10:17:09,10:45:00,12:28:47,,,,,,,
2000-02-07,07:00:41,17:20:10,10:19:29,08:21:00,,,,15:39:00,22.43,08:21:00,17:20:10,8:59:10,0:00:00,00:00:00,07:00:41,7:00:41,10:19:29,15:39:00,7:00:41,,,,,,,
2000-02-08,06:59:33,17:21:24,10:21:50,08:51:00,20:38:00,,,11:47:00,34.43,08:51:00,17:21:24,8:30:24,11:47:00,00:00:00,00:00:00,10:21:34,0:00:00,11:47:00,10:21:34,,,,,,,
2000-02-09,06:58:24,17:22:37,10:24:13,09:21:00,21:42:00,,,12:21:00,46.43,09:21:00,17:22:37,8:01:38,12:21:00,00:00:00,00:00:00,9:16:25,0:00:00,12:21:00,9:16:25,,,,,,,
2000-02-10,06:57:14,17:23:51,10:26:37,09:51:00,22:47:00,,,12:56:00,58.43,09:51:00,17:23:51,7:32:52,12:56:00,00:00:00,00:00:00,8:10:14,0:00:00,12:56:00,8:10:14,,,,,,,
2000-02-11,06:56:02,17:25:05,10:29:02,10:23:00,23:54:00,,,13:31:00,71.43,10:23:00,17:25:05,7:02:05,13:31:00,00:00:00,00:00:00,7:02:03,0:00:00,13:31:00,7:02:03,,,,,,,
2000-02-12,06:54:49,17:26:18,10:31:29,10:57:00,,,,13:03:00,83.43,10:57:00,17:26:18,6:29:18,13:03:00,00:00:00,06:54:49,6:54:49,0:00:00,13:03:00,6:54:49,,,,,,,
