Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2021-01-01,06:43:54,17:19:16,10:35:22,,08:30:00,19:26:00,,13:04:00,208.43,06:43:54,08:30:00,1:46:06,06:43:54,08:30:00,1:46:06,17:19:16,19:26:00,2:06:44,,,,,
2021-01-02,06:44:10,17:19:56,10:35:46,,09:16:00,20:26:00,,12:50:00,220.43,06:44:10,09:16:00,2:31:49,06:44:10,09:16:00,2:31:49,17:19:56,20:26:00,3:06:04,,,,,
2021-01-03,06:44:25,17:20:37,10:36:11,,09:58:00,21:27:00,,12:31:00,232.43,06:44:25,09:58:00,3:13:34,06:44:25,09:58:00,3:13:34,17:20:37,21:27:00,4:06:23,,,,,
2021-01-04,06:44:39,17:21:18,10:36:39,,10:37:00,22:27:00,,12:10:00,245.43,06:44:39,10:37:00,3:52:21,06:44:39,10:37:00,3:52:21,17:21:18,22:27:00,5:05:42,,,,,
2021-01-05,06:44:51,17:22:00,10:37:09,,11:14:00,23:27:00,,11:47:00,257.43,06:44:51,11:14:00,4:29:08,06:44:51,11:14:00,4:29:08,17:22:00,23:27:00,6:05:00,,,,,
2021-01-06,06:45:02,17:22:42,10:37:40,,11:51:00,,,11:51:00,270.43,06:45:02,11:51:00,5:05:57,,,0:00:00,17:22:42,00:00:00,6:37:17,,,,,
2021-01-07,06:45:12,17:23:25,10:38:13,00:28:00,12:28:00,,,12:00:00,283.43,06:45:12,12:28:00,5:42:48,,,0:00:00,00:00:00,00:00:00,7:04:34,,,,,
2021-01-08,06:45:20,17:24:08,10:38:49,01:30:00,13:08:00,,,11:38:00,297.43,06:45:20,13:08:00,6:22:40,,,0:00:00,00:00:00,00:00:00,8:05:51,,,,,
2021-01-09,06:45:26,17:24:52,10:39:26,02:34:00,13:51:00,,,11:17:00,310.43,06:45:26,13:51:00,7:05:33,,,0:00:00,00:00:00,00:00:00,9:09:07,,,,,
2021-01-10,06:45:32,17:25:36,10:40:04,03:40:00,14:40:00,,,11:00:00,323.43,06:45:32,14:40:00,7:54:28,,,0:00:00,00:00:00,00:00:00,10:14:23,,,,,
