Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2019-01-01,06:43:45,17:18:56,10:35:11,02:16:00,13:55:00,,,11:39:00,307.43,06:43:45,13:55:00,7:11:15,,,0:00:00,00:00:00,00:00:00,8:57:04,,,,,
2019-01-02,06:44:02,17:19:36,10:35:34,03:13:00,14:35:00,,,11:22:00,319.43,06:44:02,14:35:00,7:50:58,,,0:00:00,00:00:00,00:00:00,9:53:24,,,,,
2019-01-03,06:44:18,17:20:16,10:35:58,04:08:00,15:18:00,,,11:10:00,331.43,06:44:18,15:18:00,8:33:42,,,0:00:00,00:00:00,00:00:00,10:47:43,,,,,
2019-01-04,06:44:32,17:20:57,10:36:25,,16:03:00,,,16:03:00,342.43,06:44:32,16:03:00,9:18:27,,,0:00:00,17:20:57,00:00:00,6:39:02,,,,,
2019-01-05,06:44:45,17:21:39,10:36:53,05:56:00,16:51:00,,,10:55:00,354.43,06:44:45,16:51:00,10:06:14,,,0:00:00,00:00:00,00:00:00,12:34:21,,,,,
2019-01-06,06:44:57,17:22:21,10:37:24,06:46:00,17:41:00,,,10:55:00,5.43,06:46:00,17:22:21,10:36:21,,,0:00:00,00:00:00,00:00:00,13:03:57,,,,,
2019-01-07,06:45:07,17:23:03,10:37:56,07:33:00,18:32:00,,,10:59:00,16.43,07:33:00,17:23:03,9:50:04,,,0:00:00,00:00:00,00:00:00,12:13:08,,,,,
2019-01-08,06:45:16,17:23:46,10:38:31,08:17:00,19:24:00,,,11:07:00,27.43,08:17:00,17:23:46,9:06:47,,,0:00:00,00:00:00,00:00:00,11:21:16,,,,,
2019-01-09,06:45:23,17:24:30,10:39:07,08:57:00,20:16:00,,,11:19:00,37.43,08:57:00,17:24:30,8:27:30,,,0:00:00,00:00:00,00:00:00,10:29:24,,,,,
2019-01-10,06:45:29,17:25:14,10:39:45,09:35:00,21:07:00,,,11:32:00,48.43,09:35:00,17:25:14,7:50:14,,,0:00:00,00:00:00,00:00:00,9:38:30,,,,,
2019-01-11,06:45:34,17:25:58,10:40:24,10:10:00,21:58:00,,,11:48:00,59.43,10:10:00,17:25:58,7:15:59,,,0:00:00,00:00:00,00:00:00,8:47:34,,,,,
2019-01-12,06:45:37,17:26:43,10:41:06,10:44:00,22:49:00,,,12:05:00,70.43,10:44:00,17:26:43,6:42:43,,,0:00:00,00:00:00,00:00:00,7:56:37,,,,,
2019-01-13,06:45:38,17:27:27,10:41:49,11:18:00,23:41:00,,,12:23:00,81.43,11:18:00,17:27:27,6:09:28,,,0:00:00,00:00:00,00:00:00,7:04:39,,,,,
2019-01-14,06:45:38,17:28:12,10:42:34,11:52:00,,,,12:08:00,92.43,11:52:00,17:28:12,5:36:13,11:52:00,17:28:12,5:36:13,00:00:00,06:45:38,6:45:39,,,,,
2019-01-15,06:45:37,17:28:58,10:43:21,,00:34:00,12:28:00,,12:06:00,104.43,12:28:00,17:28:58,5:00:58,12:28:00,17:28:58,5:00:58,00:34:00,06:45:37,6:11:38,,,,,
2019-01-16,06:45:34,17:29:43,10:44:09,,01:30:00,13:08:00,,12:22:00,116.43,13:08:00,17:29:43,4:21:44,13:08:00,17:29:43,4:21:44,01:30:00,06:45:34,5:15:35,,,,,
2019-01-17,06:45:30,17:30:29,10:44:59,,02:29:00,13:52:00,,12:37:00,128.43,13:52:00,17:30:29,3:38:29,13:52:00,17:30:29,3:38:29,02:29:00,06:45:30,4:16:30,,,,,
2019-01-18,06:45:24,17:31:14,10:45:50,,03:30:00,14:42:00,,12:48:00,141.43,14:42:00,17:31:14,2:49:15,14:42:00,17:31:14,2:49:15,03:30:00,06:45:24,3:15:25,,,,,
2019-01-19,06:45:17,17:32:00,10:46:43,15:39:00,,,,8:21:00,155.43,15:39:00,17:32:00,1:53:00,15:39:00,17:32:00,1:53:00,00:00:00,06:45:17,6:45:17,,,,,
2019-01-20,06:45:08,17:32:46,10:47:37,,05:38:00,16:42:00,,12:56:00,169.43,16:42:00,17:32:46,0:50:46,16:42:00,17:32:46,0:50:46,05:38:00,06:45:08,1:07:09,,,,,
2019-01-21,06:44:58,17:33:31,10:48:33,,06:39:00,17:49:00,,12:50:00,183.43,,,0:00:00,,,0:00:00,06:39:00,17:49:00,0:21:27,,,,,
