Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2000-01-26,06:43:55,17:37:03,10:53:09,,10:26:00,22:54:00,,11:32:00,249.43,06:43:55,10:26:00,3:42:05,11:32:00,17:37:03,22:54:00,5:16:56,0:00:00,11:32:00,5:16:56,,,,,,,
2000-01-27,06:43:36,17:37:48,10:54:12,,11:02:00,23:48:00,,11:14:00,260.43,06:43:36,11:02:00,4:18:23,11:14:00,17:37:48,23:48:00,6:10:11,0:00:00,11:14:00,6:10:11,,,,,,,
2000-01-28,06:43:16,17:38:33,10:55:17,,11:38:00,,,11:38:00,272.43,06:43:16,11:38:00,4:54:43,11:38:00,17:38:33,00:00:00,6:21:27,0:00:00,11:38:00,6:21:27,,,,,,,
2000-01-29,06:42:55,17:39:17,10:56:22,00:40:00,12:15:00,,,11:35:00,283.43,06:42:55,12:15:00,5:32:04,11:35:00,00:00:00,00:00:00,7:00:42,0:00:00,11:35:00,7:00:42,,,,,,,
2000-01-30,06:42:33,17:40:02,10:57:29,01:32:00,12:53:00,,,11:21:00,294.43,06:42:33,12:53:00,6:10:27,11:21:00,00:00:00,00:00:00,7:51:58,0:00:00,11:21:00,7:51:58,,,,,,,
2000-01-31,06:42:09,17:40:46,10:58:37,02:24:00,13:33:00,,,11:09:00,305.43,06:42:09,13:33:00,6:50:51,11:09:00,00:00:00,00:00:00,8:43:14,0:00:00,11:09:00,8:43:14,,,,,,,
2000-02-01,06:41:43,17:41:30,10:59:46,03:15:00,14:16:00,,,11:01:00,316.43,06:41:43,14:16:00,7:34:16,11:01:00,00:00:00,00:00:00,9:33:30,0:00:00,11:01:00,9:33:30,,,,,,,
2000-02-02,06:41:17,17:42:13,11:00:57,04:05:00,15:03:00,,,10:58:00,326.43,06:41:17,15:03:00,8:21:43,10:58:00,00:00:00,00:00:00,10:22:46,0:02:57,10:58:00,10:22:46,,,,,,,
2000-02-03,06:40:49,17:42:56,11:02:08,,15:52:00,,,15:52:00,337.43,06:40:49,15:52:00,9:11:11,0:00:00,17:42:56,00:00:00,6:17:03,11:02:08,15:52:00,6:17:03,,,,,,,
2000-02-04,06:40:19,17:43:39,11:03:20,05:42:00,16:44:00,,,11:02:00,348.43,06:40:19,16:44:00,10:03:40,0:00:00,00:00:00,00:00:00,11:58:20,11:03:20,11:02:00,11:58:20,,,,,,,
2000-02-05,06:39:49,17:44:21,11:04:33,06:26:00,17:37:00,,,11:11:00,359.43,06:39:49,17:37:00,10:57:11,0:00:00,00:00:00,00:00:00,12:41:38,11:04:33,11:11:00,12:41:38,,,,,,,
2000-02-06,06:39:17,17:45:04,11:05:47,07:09:00,18:32:00,,,11:23:00,11.43,07:09:00,17:45:04,10:36:04,0:00:00,00:00:00,00:00:00,12:07:17,11:05:47,11:23:00,12:07:17,,,,,,,
2000-02-07,06:38:44,17:45:45,11:07:02,07:49:00,19:27:00,,,11:38:00,22.43,07:49:00,17:45:45,9:56:46,0:00:00,00:00:00,00:00:00,11:11:44,11:07:02,11:38:00,11:11:44,,,,,,,
2000-02-08,06:38:09,17:46:27,11:08:17,08:27:00,20:22:00,,,11:55:00,34.43,08:27:00,17:46:27,9:19:27,11:55:00,00:00:00,00:00:00,10:16:10,0:00:00,11:55:00,10:16:10,,,,,,,
2000-02-09,06:37:34,17:47:07,11:09:34,09:05:00,21:18:00,,,12:13:00,46.43,09:05:00,17:47:07,8:42:08,12:13:00,00:00:00,00:00:00,9:19:34,0:00:00,12:13:00,9:19:34,,,,,,,
2000-02-10,06:36:57,17:47:48,11:10:51,09:42:00,22:15:00,,,12:33:00,58.43,09:42:00,17:47:48,8:05:48,12:33:00,00:00:00,00:00:00,8:21:57,0:00:00,12:33:00,8:21:57,,,,,,,
2000-02-11,06:36:19,17:48:28,11:12:09,10:20:00,23:13:00,,,12:53:00,71.43,10:20:00,17:48:28,7:28:28,12:53:00,00:00:00,00:00:00,7:23:20,0:00:00,12:53:00,7:23:20,,,,,,,
2000-02-12,06:35:40,17:49:08,11:13:28,11:01:00,,,,12:59:00,83.43,11:01:00,17:49:08,6:48:08,12:59:00,00:00:00,06:35:40,6:35:40,0:00:00,12:59:00,6:35:40,,,,,,,
2000-02-13,06:35:00,17:49:47,11:14:47,,00:13:00,11:45:00,,12:28:00,96.43,11:45:00,17:49:47,6:04:47,12:28:00,00:13:00,06:35:00,6:22:00,0:00:00,12:28:00,6:22:00,,,,,,,
2000-02-14,06:34:19,17:50:26,11:16:07,,01:15:00,12:34:00,,12:41:00,109.43,12:34:00,17:50:26,5:16:26,12:41:00,01:15:00,06:34:19,5:19:19,0:00:00,12:41:00,5:19:19,,,,,,,
2000-02-15,06:33:36,17:51:04,11:17:28,,02:18:00,13:28:00,,12:50:00,122.43,13:28:00,17:51:04,4:23:04,12:50:00,02:18:00,06:33:36,4:15:37,0:00:00,12:50:00,4:15:37,,,,,,,
2000-02-16,06:32:53,17:51:42,11:18:49,,03:21:00,14:27:00,,12:54:00,136.43,14:27:00,17:51:42,3:24:42,12:54:00,03:21:00,06:32:53,3:11:53,0:00:00,12:54:00,3:11:53,,,,,,,
2000-02-17,06:32:08,17:52:19,11:20:11,,04:22:00,15:30:00,,12:52:00,149.43,15:30:00,17:52:19,2:22:20,12:52:00,04:22:00,06:32:08,2:10:09,0:00:00,12:52:00,2:10:09,,,,,,,
2000-02-18,06:31:23,17:52:56,11:21:33,16:35:00,,,,7:25:00,163.43,16:35:00,17:52:56,1:17:57,7:25:00,00:00:00,06:31:23,6:31:23,3:56:33,7:25:00,6:31:23,,,,,,,
2000-02-19,06:30:37,17:53:33,11:22:56,,06:10:00,17:39:00,,12:31:00,176.43,17:39:00,17:53:33,0:14:33,12:31:00,06:10:00,06:30:37,0:20:37,0:00:00,12:31:00,0:20:37,,,,,,,
2000-02-20,06:29:49,17:54:09,11:24:20,,06:57:00,18:42:00,,12:15:00,190.43,06:29:49,06:57:00,0:27:10,12:15:00,17:54:09,18:42:00,0:47:51,0:00:00,12:15:00,0:47:51,,,,,,,
2000-02-21,06:29:01,17:54:44,11:25:43,,07:40:00,19:42:00,,11:58:00,203.43,06:29:01,07:40:00,1:10:58,11:58:00,17:54:44,19:42:00,1:47:15,0:00:00,11:58:00,1:47:15,,,,,,,
2000-02-22,06:28:12,17:55:20,11:27:08,,08:19:00,20:40:00,,11:39:00,216.43,06:28:12,08:19:00,1:50:48,11:39:00,17:55:20,20:40:00,2:44:40,0:00:00,11:39:00,2:44:40,,,,,,,
2000-02-23,06:27:22,17:55:55,11:28:33,,08:57:00,21:35:00,,11:22:00,228.43,06:27:22,08:57:00,2:29:38,11:22:00,17:55:55,21:35:00,3:39:05,0:06:33,11:22:00,3:39:05,,,,,,,
2000-02-24,06:26:31,17:56:29,11:29:58,,09:34:00,22:30:00,,11:04:00,240.43,06:26:31,09:34:00,3:07:28,11:04:00,17:56:29,22:30:00,4:33:31,0:25:58,11:04:00,4:33:31,,,,,,,
2000-02-25,06:25:40,17:57:03,11:31:23,,10:11:00,23:23:00,,10:48:00,252.43,06:25:40,10:11:00,3:45:20,10:48:00,17:57:03,23:23:00,5:25:57,0:43:23,10:48:00,5:25:57,,,,,,,
2000-02-26,06:24:47,17:57:36,11:32:49,,10:49:00,,,10:49:00,263.43,06:24:47,10:49:00,4:24:12,10:49:00,17:57:36,00:00:00,6:02:23,0:43:49,10:49:00,6:02:23,,,,,,,
2000-02-27,06:23:54,17:58:10,11:34:16,00:16:00,11:29:00,,,11:13:00,274.43,06:23:54,11:29:00,5:05:06,11:13:00,00:00:00,00:00:00,6:17:50,0:21:16,11:13:00,6:17:50,,,,,,,
2000-02-28,06:23:00,17:58:42,11:35:42,01:07:00,12:11:00,,,11:04:00,285.43,06:23:00,12:11:00,5:47:59,11:04:00,00:00:00,00:00:00,7:08:17,0:31:42,11:04:00,7:08:17,,,,,,,
2000-02-29,06:22:06,17:59:15,11:37:09,01:58:00,12:56:00,,,10:58:00,295.43,06:22:06,12:56:00,6:33:54,10:58:00,00:00:00,00:00:00,7:58:45,0:39:09,10:58:00,7:58:45,,,,,,,
2000-03-01,06:21:10,17:59:47,11:38:36,02:48:00,13:44:00,,,10:56:00,306.43,06:21:10,13:44:00,7:22:49,10:56:00,00:00:00,00:00:00,8:48:13,0:42:36,10:56:00,8:48:13,,,,,,,
2000-03-02,06:20:14,18:00:18,11:40:04,03:36:00,14:35:00,,,10:59:00,317.43,06:20:14,14:35:00,8:14:45,10:59:00,00:00:00,00:00:00,9:35:41,0:41:04,10:59:00,9:35:41,,,,,,,
2000-03-03,06:19:18,18:00:50,11:41:32,04:21:00,15:28:00,,,11:07:00,328.43,06:19:18,15:28:00,9:08:42,11:07:00,00:00:00,00:00:00,10:20:10,0:34:32,11:07:00,10:20:10,,,,,,,
2000-03-04,06:18:21,18:01:21,11:43:00,,16:22:00,,,16:22:00,339.43,06:18:21,16:22:00,10:03:39,0:00:00,18:01:21,00:00:00,5:58:39,11:43:00,16:22:00,5:58:39,,,,,,,
2000-03-05,06:17:23,18:01:51,11:44:28,05:46:00,17:18:00,,,11:32:00,351.43,06:17:23,17:18:00,11:00:36,0:00:00,00:00:00,00:00:00,11:44:08,11:44:28,11:32:00,11:44:08,,,,,,,
2000-03-06,06:16:25,18:02:21,11:45:56,06:25:00,18:14:00,,,11:49:00,3.43,06:25:00,18:02:21,11:37:22,0:00:00,00:00:00,00:00:00,12:02:26,11:45:56,11:49:00,12:02:26,,,,,,,
2000-03-07,06:15:27,18:02:51,11:47:25,07:04:00,19:11:00,,,12:07:00,15.43,07:04:00,18:02:51,10:58:52,0:00:00,00:00:00,00:00:00,11:04:27,11:47:25,12:07:00,11:04:27,,,,,,,
2000-03-08,06:14:27,18:03:21,11:48:54,07:42:00,20:09:00,,,12:27:00,28.43,07:42:00,18:03:21,10:21:22,0:00:00,00:00:00,00:00:00,10:05:28,11:48:54,12:27:00,10:05:28,,,,,,,
2000-03-09,06:13:28,18:03:50,11:50:23,08:20:00,21:07:00,,,12:47:00,40.43,08:20:00,18:03:50,9:43:51,12:47:00,00:00:00,00:00:00,9:06:28,0:00:00,12:47:00,9:06:28,,,,,,,
2000-03-10,06:12:28,18:04:20,11:51:52,09:01:00,22:08:00,,,13:07:00,53.43,09:01:00,18:04:20,9:03:20,13:07:00,00:00:00,00:00:00,8:04:28,0:00:00,13:07:00,8:04:28,,,,,,,
2000-03-11,06:11:28,18:04:48,11:53:21,09:44:00,23:09:00,,,13:25:00,66.43,09:44:00,18:04:48,8:20:49,13:25:00,00:00:00,00:00:00,7:02:28,0:00:00,13:25:00,7:02:28,,,,,,,
2000-03-12,06:10:27,18:05:17,11:54:50,10:31:00,,,,13:29:00,79.43,10:31:00,18:05:17,7:34:17,13:29:00,00:00:00,06:10:27,6:10:27,0:00:00,13:29:00,6:10:27,,,,,,,
2000-03-13,06:09:26,18:05:45,11:56:19,,00:12:00,11:22:00,,12:50:00,92.43,11:22:00,18:05:45,6:43:46,12:50:00,00:12:00,06:09:26,5:57:26,0:00:00,12:50:00,5:57:26,,,,,,,
2000-03-14,06:08:25,18:06:13,11:57:49,,01:13:00,12:18:00,,12:55:00,105.43,12:18:00,18:06:13,5:48:14,12:55:00,01:13:00,06:08:25,4:55:25,0:00:00,12:55:00,4:55:25,,,,,,,
2000-03-15,06:07:23,18:06:41,11:59:18,,02:13:00,13:18:00,,12:55:00,118.43,13:18:00,18:06:41,4:48:42,12:55:00,02:13:00,06:07:23,3:54:23,0:00:00,12:55:00,3:54:23,,,,,,,
2000-03-16,06:06:21,18:07:09,12:00:48,,03:10:00,14:21:00,,12:49:00,131.43,14:21:00,18:07:09,3:46:10,12:49:00,03:10:00,06:06:21,2:56:22,0:00:00,12:49:00,2:56:22,,,,,,,
2000-03-17,06:05:19,18:07:37,12:02:18,,04:02:00,15:23:00,,12:39:00,144.43,15:23:00,18:07:37,2:44:37,12:39:00,04:02:00,06:05:19,2:03:20,0:00:00,12:39:00,2:03:20,,,,,,,
2000-03-18,06:04:17,18:08:04,12:03:47,16:25:00,,,,7:35:00,157.43,16:25:00,18:08:04,1:43:05,7:35:00,00:00:00,06:04:17,6:04:17,4:28:47,7:35:00,6:04:17,,,,,,,
2000-03-19,06:03:14,18:08:31,12:05:17,,05:32:00,17:26:00,,12:06:00,170.43,17:26:00,18:08:31,0:42:32,12:06:00,05:32:00,06:03:14,0:31:15,0:00:00,12:06:00,0:31:15,,,,,,,
2000-03-20,06:02:12,18:08:58,12:06:47,,06:13:00,18:24:00,,11:49:00,183.43,06:02:12,06:13:00,0:10:48,11:49:00,18:08:58,18:24:00,0:15:01,0:17:47,11:49:00,0:15:01,,,,,,,
2000-03-21,06:01:09,18:09:25,12:08:16,,06:51:00,19:21:00,,11:30:00,196.43,06:01:09,06:51:00,0:49:50,11:30:00,18:09:25,19:21:00,1:11:34,0:38:16,11:30:00,1:11:34,,,,,,,
2000-03-22,06:00:06,18:09:52,12:09:46,,07:28:00,20:17:00,,11:11:00,208.43,06:00:06,07:28:00,1:27:53,11:11:00,18:09:52,20:17:00,2:07:07,0:58:46,11:11:00,2:07:07,,,,,,,
