Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2020-01-01,06:43:40,17:18:46,10:35:06,11:01:00,22:50:00,,,11:49:00,11:01:00,17:18:46,6:17:47,00:00:00,00:00:00,7:53:41,,,,
2020-01-02,06:43:58,17:19:26,10:35:28,11:34:00,23:40:00,,,12:06:00,11:34:00,17:19:26,5:45:26,00:00:00,00:00:00,7:03:58,,,,
2020-01-03,06:44:14,17:20:06,10:35:52,12:05:00,,,,11:55:00,12:05:00,17:20:06,5:15:06,00:00:00,06:44:14,6:44:14,,,,
2020-01-04,06:44:29,17:20:47,10:36:18,,00:30:00,12:37:00,,11:53:00,12:37:00,17:20:47,4:43:47,00:30:00,06:44:29,6:14:29,,,,
2020-01-05,06:44:42,17:21:28,10:36:46,,01:22:00,13:10:00,,12:12:00,13:10:00,17:21:28,4:11:29,01:22:00,06:44:42,5:22:43,,,,
2020-01-06,06:44:54,17:22:10,10:37:16,,02:14:00,13:46:00,,12:28:00,13:46:00,17:22:10,3:36:11,02:14:00,06:44:54,4:30:55,,,,
2020-01-07,06:45:05,17:22:53,10:37:48,,03:10:00,14:27:00,,12:43:00,14:27:00,17:22:53,2:55:53,03:10:00,06:45:05,3:35:05,,,,
2020-01-08,06:45:14,17:23:36,10:38:22,,04:08:00,15:12:00,,12:56:00,15:12:00,17:23:36,2:11:36,04:08:00,06:45:14,2:37:14,,,,
2020-01-09,06:45:22,17:24:19,10:38:58,16:04:00,,,,7:56:00,16:04:00,17:24:19,1:20:20,00:00:00,06:45:22,6:45:22,,,,
2020-01-10,06:45:28,17:25:03,10:39:35,,06:07:00,17:01:00,,13:06:00,17:01:00,17:25:03,0:24:03,06:07:00,06:45:28,0:38:28,,,,
2020-01-11,06:45:33,17:25:47,10:40:14,,07:06:00,18:04:00,,13:02:00,06:45:33,07:06:00,0:20:27,17:25:47,18:04:00,0:38:12,,,,
2020-01-12,06:45:36,17:26:32,10:40:55,,08:01:00,19:09:00,,12:52:00,06:45:36,08:01:00,1:15:23,17:26:32,19:09:00,1:42:28,,,,
