Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2023-01-01,06:43:45,17:18:56,10:35:11,,01:37:00,13:11:00,,12:26:00,13:11:00,17:18:56,4:07:57,01:37:00,06:43:45,5:06:46,,,,
2023-01-02,06:44:02,17:19:36,10:35:34,,02:33:00,13:46:00,,12:47:00,13:46:00,17:19:36,3:33:37,02:33:00,06:44:02,4:11:03,,,,
2023-01-03,06:44:18,17:20:16,10:35:58,,03:30:00,14:25:00,,13:05:00,14:25:00,17:20:16,2:55:17,03:30:00,06:44:18,3:14:18,,,,
2023-01-04,06:44:32,17:20:57,10:36:25,,04:27:00,15:08:00,,13:19:00,15:08:00,17:20:57,2:12:58,04:27:00,06:44:32,2:17:33,,,,
2023-01-05,06:44:45,17:21:39,10:36:54,15:55:00,,,,8:05:00,15:55:00,17:21:39,1:26:40,00:00:00,06:44:45,6:44:46,,,,
2023-01-06,06:44:57,17:22:21,10:37:24,,06:16:00,16:46:00,,13:30:00,16:46:00,17:22:21,0:36:22,06:16:00,06:44:57,0:28:57,,,,
2023-01-07,06:45:07,17:23:04,10:37:57,,07:06:00,17:40:00,,13:26:00,06:45:07,07:06:00,0:20:52,17:23:04,17:40:00,0:16:56,,,,
2023-01-08,06:45:16,17:23:47,10:38:31,,07:51:00,18:34:00,,13:17:00,06:45:16,07:51:00,1:05:44,17:23:47,18:34:00,1:10:13,,,,
2023-01-09,06:45:23,17:24:30,10:39:07,,08:32:00,19:29:00,,13:03:00,06:45:23,08:32:00,1:46:36,17:24:30,19:29:00,2:04:29,,,,
2023-01-10,06:45:29,17:25:14,10:39:45,,09:08:00,20:22:00,,12:46:00,06:45:29,09:08:00,2:22:30,17:25:14,20:22:00,2:56:45,,,,
2023-01-11,06:45:34,17:25:59,10:40:25,,09:41:00,21:15:00,,12:26:00,06:45:34,09:41:00,2:55:26,17:25:59,21:15:00,3:49:01,,,,
2023-01-12,06:45:37,17:26:43,10:41:06,,10:12:00,22:07:00,,12:05:00,06:45:37,10:12:00,3:26:23,17:26:43,22:07:00,4:40:16,,,,
2023-01-13,06:45:38,17:27:28,10:41:50,,10:41:00,22:59:00,,11:42:00,06:45:38,10:41:00,3:55:21,17:27:28,22:59:00,5:31:32,,,,
2023-01-14,06:45:38,17:28:13,10:42:35,,11:11:00,23:53:00,,11:18:00,06:45:38,11:11:00,4:25:21,17:28:13,23:53:00,6:24:46,,,,
2023-01-15,06:45:37,17:28:58,10:43:21,,11:43:00,,,11:43:00,06:45:37,11:43:00,4:57:23,17:28:58,00:00:00,6:31:01,,,,
2023-01-16,06:45:34,17:29:44,10:44:10,00:50:00,12:18:00,,,11:28:00,06:45:34,12:18:00,5:32:26,00:00:00,00:00:00,7:20:16,,,,
2023-01-17,06:45:30,17:30:29,10:45:00,01:50:00,12:57:00,,,11:07:00,06:45:30,12:57:00,6:11:30,00:00:00,00:00:00,8:19:30,,,,
2023-01-18,06:45:24,17:31:15,10:45:51,02:55:00,13:44:00,,,10:49:00,06:45:24,13:44:00,6:58:36,00:00:00,00:00:00,9:23:45,,,,
2023-01-19,06:45:16,17:32:01,10:46:44,04:03:00,14:40:00,,,10:37:00,06:45:16,14:40:00,7:54:43,00:00:00,00:00:00,10:30:59,,,,
2023-01-20,06:45:08,17:32:46,10:47:39,,15:44:00,,,15:44:00,06:45:08,15:44:00,8:58:52,17:32:46,00:00:00,6:27:13,,,,
2023-01-21,06:44:57,17:33:32,10:48:34,06:18:00,16:55:00,,,10:37:00,06:44:57,16:55:00,10:10:02,00:00:00,00:00:00,12:44:28,,,,
2023-01-22,06:44:46,17:34:17,10:49:32,07:16:00,18:08:00,,,10:52:00,07:16:00,17:34:17,10:18:18,00:00:00,00:00:00,12:36:46,,,,
2023-01-23,06:44:32,17:35:03,10:50:31,08:07:00,19:20:00,,,11:13:00,08:07:00,17:35:03,9:28:04,00:00:00,00:00:00,11:24:33,,,,
2023-01-24,06:44:18,17:35:48,10:51:31,08:50:00,20:27:00,,,11:37:00,08:50:00,17:35:48,8:45:49,00:00:00,00:00:00,10:17:18,,,,
2023-01-25,06:44:02,17:36:34,10:52:32,09:29:00,21:30:00,,,12:01:00,09:29:00,17:36:34,8:07:34,00:00:00,00:00:00,9:14:02,,,,
