Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2017-01-29,06:42:33,17:39:54,10:57:21,07:27:00,19:01:00,,,11:34:00,17.43,07:27:00,17:39:54,10:12:55,,,0:00:00,00:00:00,00:00:00,11:41:33,,,,,
2017-01-30,06:42:09,17:40:38,10:58:29,08:10:00,19:59:00,,,11:49:00,30.43,08:10:00,17:40:38,9:30:39,,,0:00:00,00:00:00,00:00:00,10:43:10,,,,,
2017-01-31,06:41:44,17:41:22,10:59:38,08:51:00,20:57:00,,,12:06:00,42.43,08:51:00,17:41:22,8:50:23,,,0:00:00,00:00:00,00:00:00,9:44:44,,,,,
2017-02-01,06:41:17,17:42:06,11:00:48,09:32:00,21:55:00,,,12:23:00,55.43,09:32:00,17:42:06,8:10:06,,,0:00:00,00:00:00,00:00:00,8:46:18,,,,,
2017-02-02,06:40:50,17:42:49,11:01:59,10:13:00,22:55:00,,,12:42:00,68.43,10:13:00,17:42:49,7:29:49,,,0:00:00,00:00:00,00:00:00,7:45:50,,,,,
2017-02-03,06:40:20,17:43:32,11:03:11,10:55:00,23:55:00,,,13:00:00,80.43,10:55:00,17:43:32,6:48:32,,,0:00:00,00:00:00,00:00:00,6:45:21,,,,,
2017-02-04,06:39:50,17:44:14,11:04:24,11:40:00,,,,12:20:00,93.43,11:40:00,17:44:14,6:04:15,11:40:00,17:44:14,6:04:15,00:00:00,06:39:50,6:39:51,,,,,
2017-02-05,06:39:18,17:44:56,11:05:38,,00:57:00,12:28:00,,12:29:00,106.43,12:28:00,17:44:56,5:16:57,12:28:00,17:44:56,5:16:57,00:57:00,06:39:18,5:42:19,,,,,
2017-02-06,06:38:45,17:45:38,11:06:53,,01:59:00,13:20:00,,12:39:00,120.43,13:20:00,17:45:38,4:25:39,13:20:00,17:45:38,4:25:39,01:59:00,06:38:45,4:39:46,,,,,
2017-02-07,06:38:11,17:46:19,11:08:08,,03:00:00,14:16:00,,12:44:00,133.43,14:16:00,17:46:19,3:30:20,14:16:00,17:46:19,3:30:20,03:00:00,06:38:11,3:38:12,,,,,
2017-02-08,06:37:36,17:47:00,11:09:25,,04:00:00,15:14:00,,12:46:00,146.43,15:14:00,17:47:00,2:33:01,15:14:00,17:47:00,2:33:01,04:00:00,06:37:36,2:37:36,,,,,
2017-02-09,06:36:59,17:47:41,11:10:42,16:15:00,,,,7:45:00,159.43,16:15:00,17:47:41,1:32:41,16:15:00,17:47:41,1:32:41,00:00:00,06:36:59,6:37:00,,,,,
2017-02-10,06:36:21,17:48:21,11:12:00,,05:49:00,17:16:00,,12:33:00,172.43,17:16:00,17:48:21,0:32:22,17:16:00,17:48:21,0:32:22,05:49:00,06:36:21,0:47:22,,,,,
2017-02-11,06:35:43,17:49:01,11:13:18,,06:36:00,18:15:00,,12:21:00,185.43,06:35:43,06:36:00,0:00:17,06:35:43,06:36:00,0:00:17,17:49:01,18:15:00,0:25:59,,,,,
2017-02-12,06:35:03,17:49:40,11:14:38,,07:20:00,19:13:00,,12:07:00,198.43,06:35:03,07:20:00,0:44:57,06:35:03,07:20:00,0:44:57,17:49:40,19:13:00,1:23:19,,,,,
2017-02-13,06:34:21,17:50:19,11:15:58,,08:00:00,20:09:00,,11:51:00,210.43,06:34:21,08:00:00,1:25:38,06:34:21,08:00:00,1:25:38,17:50:19,20:09:00,2:18:41,,,,,
2017-02-14,06:33:39,17:50:57,11:17:18,,08:39:00,21:03:00,,11:36:00,222.43,06:33:39,08:39:00,2:05:20,06:33:39,08:39:00,2:05:20,17:50:57,21:03:00,3:12:02,,,,,
2017-02-15,06:32:56,17:51:35,11:18:39,,09:16:00,21:55:00,,11:21:00,234.43,06:32:56,09:16:00,2:43:04,06:32:56,09:16:00,2:43:04,17:51:35,21:55:00,4:03:24,,,,,
2017-02-16,06:32:12,17:52:13,11:20:01,,09:52:00,22:46:00,,11:06:00,245.43,06:32:12,09:52:00,3:19:48,06:32:12,09:52:00,3:19:48,17:52:13,22:46:00,4:53:47,,,,,
2017-02-17,06:31:26,17:52:50,11:21:23,,10:29:00,23:37:00,,10:52:00,256.43,06:31:26,10:29:00,3:57:33,06:31:26,10:29:00,3:57:33,17:52:50,23:37:00,5:44:10,,,,,
2017-02-18,06:30:40,17:53:27,11:22:46,,11:07:00,,,11:07:00,267.43,06:30:40,11:07:00,4:36:19,06:30:40,11:07:00,4:36:19,17:53:27,00:00:00,6:06:33,,,,,
2017-02-19,06:29:53,17:54:03,11:24:10,00:28:00,11:47:00,,,11:19:00,277.43,06:29:53,11:47:00,5:17:06,,,0:00:00,00:00:00,00:00:00,6:33:57,,,,,
2017-02-20,06:29:05,17:54:38,11:25:33,01:19:00,12:30:00,,,11:11:00,288.43,06:29:05,12:30:00,6:00:55,,,0:00:00,00:00:00,00:00:00,7:24:21,,,,,
2017-02-21,06:28:16,17:55:14,11:26:58,02:09:00,13:16:00,,,11:07:00,299.43,06:28:16,13:16:00,6:47:43,,,0:00:00,00:00:00,00:00:00,8:13:46,,,,,
2017-02-22,06:27:26,17:55:49,11:28:23,02:58:00,14:05:00,,,11:07:00,310.43,06:27:26,14:05:00,7:37:33,,,0:00:00,00:00:00,00:00:00,9:02:11,,,,,
2017-02-23,06:26:35,17:56:23,11:29:48,03:47:00,14:57:00,,,11:10:00,322.43,06:26:35,14:57:00,8:30:24,,,0:00:00,00:00:00,00:00:00,9:50:36,,,,,
