Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2020-01-01,05:47:21,20:09:03,14:21:42,11:05:00,,,,12:55:00,11:05:00,20:09:03,9:04:04,00:00:00,05:47:21,5:47:22,,,,
2020-01-02,05:48:06,20:09:15,14:21:09,,00:14:00,12:00:00,,12:14:00,12:00:00,20:09:15,8:09:15,00:14:00,05:48:06,5:34:06,,,,
2020-01-03,05:48:51,20:09:24,14:20:33,,00:42:00,12:54:00,,11:48:00,12:54:00,20:09:24,7:15:25,00:42:00,05:48:51,5:06:52,,,,
2020-01-04,05:49:38,20:09:32,14:19:54,,01:09:00,13:48:00,,11:21:00,13:48:00,20:09:32,6:21:32,01:09:00,05:49:38,4:40:38,,,,
2020-01-05,05:50:25,20:09:38,14:19:12,,01:38:00,14:44:00,,10:54:00,14:44:00,20:09:38,5:25:38,01:38:00,05:50:25,4:12:26,,,,
2020-01-06,05:51:14,20:09:42,14:18:28,,02:08:00,15:41:00,,10:27:00,15:41:00,20:09:42,4:28:42,02:08:00,05:51:14,3:43:15,,,,
2020-01-07,05:52:04,20:09:44,14:17:40,,02:41:00,16:41:00,,10:00:00,16:41:00,20:09:44,3:28:45,02:41:00,05:52:04,3:11:05,,,,
2020-01-08,05:52:55,20:09:44,14:16:49,,03:19:00,17:43:00,,9:36:00,17:43:00,20:09:44,2:26:45,03:19:00,05:52:55,2:33:55,,,,
2020-01-09,05:53:47,20:09:43,14:15:56,,04:04:00,18:45:00,,9:19:00,18:45:00,20:09:43,1:24:43,04:04:00,05:53:47,1:49:47,,,,
2020-01-10,05:54:39,20:09:39,14:15:00,,04:56:00,19:46:00,,9:10:00,19:46:00,20:09:39,0:23:40,04:56:00,05:54:39,0:58:40,,,,
