Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2006-02-05,06:20:26,19:57:21,13:36:55,13:32:00,23:57:00,,,10:25:00,13:32:00,19:57:21,6:25:22,00:00:00,00:00:00,6:23:27,,,,
2006-02-06,06:21:26,19:56:31,13:35:05,14:38:00,,,,9:22:00,14:38:00,19:56:31,5:18:31,00:00:00,06:21:26,6:21:26,,,,
2006-02-07,06:22:25,19:55:39,13:33:15,,00:36:00,15:43:00,,8:53:00,15:43:00,19:55:39,4:12:40,00:36:00,06:22:25,5:46:25,,,,
2006-02-08,06:23:24,19:54:46,13:31:23,,01:20:00,16:43:00,,8:37:00,16:43:00,19:54:46,3:11:47,01:20:00,06:23:24,5:03:24,,,,
2006-02-09,06:24:22,19:53:52,13:29:30,,02:11:00,17:37:00,,8:34:00,17:37:00,19:53:52,2:16:52,02:11:00,06:24:22,4:13:23,,,,
2006-02-10,06:25:21,19:52:56,13:27:36,,03:07:00,18:23:00,,8:44:00,18:23:00,19:52:56,1:29:57,03:07:00,06:25:21,3:18:21,,,,
2006-02-11,06:26:19,19:51:59,13:25:41,,04:06:00,19:03:00,,9:03:00,19:03:00,19:51:59,0:49:00,04:06:00,06:26:19,2:20:19,,,,
2006-02-12,06:27:17,19:51:01,13:23:45,,05:06:00,19:37:00,,9:29:00,19:37:00,19:51:01,0:14:02,05:06:00,06:27:17,1:21:17,,,,
2006-02-13,06:28:14,19:50:02,13:21:48,,06:05:00,20:06:00,,9:59:00,,,0:00:00,06:05:00,20:06:00,0:39:12,,,,
2006-02-14,06:29:11,19:49:01,13:19:50,,07:02:00,20:31:00,,10:31:00,06:29:11,07:02:00,0:32:48,19:49:01,20:31:00,0:41:58,,,,
2006-02-15,06:30:08,19:48:00,13:17:52,,07:59:00,20:55:00,,11:04:00,06:30:08,07:59:00,1:28:52,19:48:00,20:55:00,1:07:00,,,,
2006-02-16,06:31:04,19:46:57,13:15:53,,08:54:00,21:18:00,,11:36:00,06:31:04,08:54:00,2:22:55,19:46:57,21:18:00,1:31:02,,,,
2006-02-17,06:32:00,19:45:53,13:13:53,,09:49:00,21:41:00,,12:08:00,06:32:00,09:49:00,3:16:59,19:45:53,21:41:00,1:55:06,,,,
2006-02-18,06:32:56,19:44:48,13:11:52,22:06:00,,,,1:54:00,,,0:00:00,00:00:00,22:06:00,8:54:08,,,,
2006-02-19,06:33:51,19:43:43,13:09:51,,11:44:00,22:34:00,,13:10:00,06:33:51,11:44:00,5:10:08,19:43:43,22:34:00,2:50:17,,,,
2006-02-20,06:34:46,19:42:36,13:07:49,,12:45:00,23:07:00,,13:38:00,06:34:46,12:45:00,6:10:13,19:42:36,23:07:00,3:24:24,,,,
2006-02-21,06:35:41,19:41:28,13:05:47,,13:49:00,23:46:00,,14:03:00,06:35:41,13:49:00,7:13:19,19:41:28,23:46:00,4:04:32,,,,
2006-02-22,06:36:35,19:40:19,13:03:44,,14:55:00,,,14:55:00,06:36:35,14:55:00,8:18:24,19:40:19,00:00:00,4:19:40,,,,
2006-02-23,06:37:29,19:39:10,13:01:41,00:35:00,16:00:00,,,15:25:00,06:37:29,16:00:00,9:22:31,00:00:00,00:00:00,4:55:50,,,,
2006-02-24,06:38:22,19:37:59,12:59:37,01:34:00,17:00:00,,,15:26:00,06:38:22,17:00:00,10:21:37,00:00:00,00:00:00,5:56:00,,,,
2006-02-25,06:39:15,19:36:48,12:57:33,02:42:00,17:52:00,,,15:10:00,06:39:15,17:52:00,11:12:44,00:00:00,00:00:00,7:05:12,,,,
2006-02-26,06:40:08,19:35:36,12:55:28,03:57:00,18:37:00,,,14:40:00,06:40:08,18:37:00,11:56:52,00:00:00,00:00:00,8:21:24,,,,
2006-02-27,06:41:00,19:34:23,12:53:23,05:14:00,19:15:00,,,14:01:00,06:41:00,19:15:00,12:33:59,00:00:00,00:00:00,9:39:36,,,,
