Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2006-01-01,06:51:16,17:05:56,10:14:40,08:14:00,18:34:00,,,10:20:00,17.43,08:14:00,17:05:56,8:51:57,0:00:00,00:00:00,00:00:00,12:17:17,10:14:40,10:20:00,12:17:17,,,,,,,
2006-01-02,06:51:30,17:06:39,10:15:09,09:03:00,19:47:00,,,10:44:00,31.43,09:03:00,17:06:39,8:03:40,10:44:00,00:00:00,00:00:00,11:04:31,0:00:00,10:44:00,11:04:31,,,,,,,
2006-01-03,06:51:43,17:07:23,10:15:40,09:44:00,20:58:00,,,11:14:00,45.43,09:44:00,17:07:23,7:23:23,11:14:00,00:00:00,00:00:00,9:53:43,0:00:00,11:14:00,9:53:43,,,,,,,
2006-01-04,06:51:53,17:08:07,10:16:14,10:19:00,22:05:00,,,11:46:00,59.43,10:19:00,17:08:07,6:49:08,11:46:00,00:00:00,00:00:00,8:46:54,0:00:00,11:46:00,8:46:54,,,,,,,
2006-01-05,06:52:03,17:08:52,10:16:50,10:51:00,23:10:00,,,12:19:00,72.43,10:51:00,17:08:52,6:17:53,12:19:00,00:00:00,00:00:00,7:42:03,0:00:00,12:19:00,7:42:03,,,,,,,
2006-01-06,06:52:10,17:09:38,10:17:28,11:22:00,,,,12:38:00,85.43,11:22:00,17:09:38,5:47:39,12:38:00,00:00:00,06:52:10,6:52:11,0:00:00,12:38:00,6:52:11,,,,,,,
2006-01-07,06:52:16,17:10:25,10:18:09,,00:13:00,11:53:00,,12:20:00,98.43,11:53:00,17:10:25,5:17:26,12:20:00,00:13:00,06:52:16,6:39:17,0:00:00,12:20:00,6:39:17,,,,,,,
2006-01-08,06:52:20,17:11:13,10:18:52,12:25:00,,,,11:35:00,111.43,12:25:00,17:11:13,4:46:13,11:35:00,00:00:00,06:52:20,6:52:21,0:00:00,11:35:00,6:52:21,,,,,,,
2006-01-09,06:52:23,17:12:01,10:19:37,,02:19:00,13:02:00,,13:17:00,123.43,13:02:00,17:12:01,4:10:01,13:17:00,02:19:00,06:52:23,4:33:24,0:00:00,13:17:00,4:33:24,,,,,,,
2006-01-10,06:52:24,17:12:49,10:20:25,,03:22:00,13:43:00,,13:39:00,135.43,13:43:00,17:12:49,3:29:50,13:39:00,03:22:00,06:52:24,3:30:25,0:00:00,13:39:00,3:30:25,,,,,,,
2006-01-11,06:52:23,17:13:38,10:21:15,,04:24:00,14:29:00,,13:55:00,147.43,14:29:00,17:13:38,2:44:39,13:55:00,04:24:00,06:52:23,2:28:24,0:00:00,13:55:00,2:28:24,,,,,,,
2006-01-12,06:52:21,17:14:28,10:22:07,,05:23:00,15:21:00,,14:02:00,158.43,15:21:00,17:14:28,1:53:29,14:02:00,05:23:00,06:52:21,1:29:22,0:00:00,14:02:00,1:29:22,,,,,,,
2006-01-13,06:52:17,17:15:18,10:23:01,,06:17:00,16:17:00,,14:00:00,170.43,16:17:00,17:15:18,0:58:19,14:00:00,06:17:00,06:52:17,0:35:18,0:00:00,14:00:00,0:35:18,,,,,,,
2006-01-14,06:52:11,17:16:09,10:23:57,,07:04:00,17:16:00,,13:48:00,181.43,06:52:11,17:16:09,0:11:57,13:48:00,,,0:00:00,0:00:00,13:48:00,0:00:00,,,,,,,
2006-01-15,06:52:04,17:17:00,10:24:55,,07:45:00,18:14:00,,13:31:00,192.43,06:52:04,07:45:00,0:52:55,13:31:00,17:17:00,18:14:00,0:57:00,0:00:00,13:31:00,0:57:00,,,,,,,
2006-01-16,06:51:55,17:17:51,10:25:56,,08:20:00,19:11:00,,13:09:00,203.43,06:51:55,08:20:00,1:28:04,13:09:00,17:17:51,19:11:00,1:53:09,0:00:00,13:09:00,1:53:09,,,,,,,
2006-01-17,06:51:44,17:18:42,10:26:58,,08:51:00,20:06:00,,12:45:00,214.43,06:51:44,08:51:00,1:59:15,12:45:00,17:18:42,20:06:00,2:47:17,0:00:00,12:45:00,2:47:17,,,,,,,
2006-01-18,06:51:32,17:19:34,10:28:02,,09:18:00,20:59:00,,12:19:00,225.43,06:51:32,09:18:00,2:26:27,12:19:00,17:19:34,20:59:00,3:39:25,0:00:00,12:19:00,3:39:25,,,,,,,
2006-01-19,06:51:18,17:20:26,10:29:08,,09:44:00,21:52:00,,11:52:00,235.43,06:51:18,09:44:00,2:52:41,11:52:00,17:20:26,21:52:00,4:31:33,0:00:00,11:52:00,4:31:33,,,,,,,
2006-01-20,06:51:02,17:21:18,10:30:16,,10:09:00,22:46:00,,11:23:00,246.43,06:51:02,10:09:00,3:17:57,11:23:00,17:21:18,22:46:00,5:24:41,0:00:00,11:23:00,5:24:41,,,,,,,
2006-01-21,06:50:45,17:22:11,10:31:25,,10:35:00,23:40:00,,10:55:00,257.43,06:50:45,10:35:00,3:44:14,10:55:00,17:22:11,23:40:00,6:17:49,0:00:00,10:55:00,6:17:49,,,,,,,
2006-01-22,06:50:26,17:23:03,10:32:37,,11:03:00,,,11:03:00,268.43,06:50:26,11:03:00,4:12:33,11:03:00,17:23:03,00:00:00,6:36:57,0:00:00,11:03:00,6:36:57,,,,,,,
2006-01-23,06:50:06,17:23:55,10:33:50,00:38:00,11:35:00,,,10:57:00,280.43,06:50:06,11:35:00,4:44:54,10:57:00,00:00:00,00:00:00,7:14:04,0:00:00,10:57:00,7:14:04,,,,,,,
2006-01-24,06:49:44,17:24:48,10:35:04,,12:11:00,,,12:11:00,291.43,06:49:44,12:11:00,5:21:16,12:11:00,17:24:48,00:00:00,6:35:12,0:00:00,12:11:00,6:35:12,,,,,,,
