Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2023-01-26,06:48:55,17:26:24,10:37:29,10:05:00,22:38:00,,,12:33:00,62.43,10:05:00,17:26:24,7:21:25,12:33:00,00:00:00,00:00:00,8:10:56,0:00:00,12:33:00,8:10:56,,,,,,,
2023-01-27,06:48:29,17:27:16,10:38:48,10:36:00,23:39:00,,,13:03:00,75.43,10:36:00,17:27:16,6:51:17,13:03:00,00:00:00,00:00:00,7:09:29,0:00:00,13:03:00,7:09:29,,,,,,,
2023-01-28,06:48:01,17:28:09,10:40:08,11:07:00,,,,12:53:00,88.43,11:07:00,17:28:09,6:21:09,12:53:00,00:00:00,06:48:01,6:48:01,0:00:00,12:53:00,6:48:01,,,,,,,
2023-01-29,06:47:31,17:29:01,10:41:30,,00:39:00,11:41:00,,12:58:00,100.43,11:41:00,17:29:01,5:48:02,12:58:00,00:39:00,06:47:31,6:08:32,0:00:00,12:58:00,6:08:32,,,,,,,
2023-01-30,06:47:00,17:29:53,10:42:53,12:17:00,,,,11:43:00,111.43,12:17:00,17:29:53,5:12:54,11:43:00,00:00:00,06:47:00,6:47:00,0:00:00,11:43:00,6:47:00,,,,,,,
2023-01-31,06:46:27,17:30:45,10:44:18,,02:38:00,12:57:00,,13:41:00,123.43,12:57:00,17:30:45,4:33:46,13:41:00,02:38:00,06:46:27,4:08:28,0:00:00,13:41:00,4:08:28,,,,,,,
2023-02-01,06:45:53,17:31:37,10:45:44,,03:36:00,13:42:00,,13:54:00,134.43,13:42:00,17:31:37,3:49:37,13:54:00,03:36:00,06:45:53,3:09:54,0:00:00,13:54:00,3:09:54,,,,,,,
2023-02-02,06:45:18,17:32:28,10:47:11,,04:30:00,14:32:00,,13:58:00,145.43,14:32:00,17:32:28,3:00:29,13:58:00,04:30:00,06:45:18,2:15:18,0:00:00,13:58:00,2:15:18,,,,,,,
2023-02-03,06:44:41,17:33:20,10:48:39,,05:20:00,15:26:00,,13:54:00,156.43,15:26:00,17:33:20,2:07:20,13:54:00,05:20:00,06:44:41,1:24:41,0:00:00,13:54:00,1:24:41,,,,,,,
2023-02-04,06:44:02,17:34:11,10:50:08,,06:05:00,16:22:00,,13:43:00,166.43,16:22:00,17:34:11,1:12:11,13:43:00,06:05:00,06:44:02,0:39:03,0:00:00,13:43:00,0:39:03,,,,,,,
2023-02-05,06:43:22,17:35:01,10:51:39,,06:45:00,17:19:00,,13:26:00,177.43,06:43:22,17:35:01,0:17:39,13:26:00,,,0:00:00,0:00:00,13:26:00,0:00:00,,,,,,,
2023-02-06,06:42:41,17:35:52,10:53:11,,07:20:00,18:15:00,,13:05:00,188.43,06:42:41,07:20:00,0:37:18,13:05:00,17:35:52,18:15:00,0:39:08,0:00:00,13:05:00,0:39:08,,,,,,,
2023-02-07,06:41:59,17:36:42,10:54:43,,07:51:00,19:10:00,,12:41:00,199.43,06:41:59,07:51:00,1:09:01,12:41:00,17:36:42,19:10:00,1:33:17,0:00:00,12:41:00,1:33:17,,,,,,,
2023-02-08,06:41:15,17:37:32,10:56:17,,08:19:00,20:05:00,,12:14:00,210.43,06:41:15,08:19:00,1:37:44,12:14:00,17:37:32,20:05:00,2:27:28,0:00:00,12:14:00,2:27:28,,,,,,,
2023-02-09,06:40:30,17:38:21,10:57:51,,08:47:00,21:00:00,,11:47:00,221.43,06:40:30,08:47:00,2:06:29,11:47:00,17:38:21,21:00:00,3:21:38,0:00:00,11:47:00,3:21:38,,,,,,,
2023-02-10,06:39:44,17:39:11,10:59:27,,09:14:00,21:55:00,,11:19:00,232.43,06:39:44,09:14:00,2:34:16,11:19:00,17:39:11,21:55:00,4:15:49,0:00:00,11:19:00,4:15:49,,,,,,,
2023-02-11,06:38:56,17:40:00,11:01:03,,09:42:00,22:53:00,,10:49:00,244.43,06:38:56,09:42:00,3:03:03,10:49:00,17:40:00,22:53:00,5:13:00,0:12:03,10:49:00,5:13:00,,,,,,,
2023-02-12,06:38:08,17:40:48,11:02:40,,10:12:00,23:54:00,,10:18:00,255.43,06:38:08,10:12:00,3:33:52,10:18:00,17:40:48,23:54:00,6:13:12,0:44:40,10:18:00,6:13:12,,,,,,,
2023-02-13,06:37:18,17:41:36,11:04:18,,10:47:00,,,10:47:00,267.43,06:37:18,10:47:00,4:09:42,10:47:00,17:41:36,00:00:00,6:18:23,0:17:18,10:47:00,6:18:23,,,,,,,
