Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2013-01-01,06:51:19,17:06:09,10:14:50,,09:10:00,20:58:00,,12:12:00,225.43,06:51:19,09:10:00,2:18:41,06:51:19,09:10:00,2:18:41,17:06:09,20:58:00,3:51:51,,,,,
2013-01-02,06:51:32,17:06:52,10:15:20,,09:45:00,21:55:00,,11:50:00,237.43,06:51:32,09:45:00,2:53:27,06:51:32,09:45:00,2:53:27,17:06:52,21:55:00,4:48:08,,,,,
2013-01-03,06:51:44,17:07:36,10:15:52,,10:19:00,22:53:00,,11:26:00,249.43,06:51:44,10:19:00,3:27:16,06:51:44,10:19:00,3:27:16,17:07:36,22:53:00,5:45:24,,,,,
2013-01-04,06:51:54,17:08:20,10:16:26,,10:55:00,23:52:00,,11:03:00,261.43,06:51:54,10:55:00,4:03:05,06:51:54,10:55:00,4:03:05,17:08:20,23:52:00,6:43:39,,,,,
2013-01-05,06:52:03,17:09:06,10:17:03,,11:32:00,,,11:32:00,274.43,06:52:03,11:32:00,4:39:56,,,0:00:00,17:09:06,00:00:00,6:50:54,,,,,
2013-01-06,06:52:10,17:09:52,10:17:42,00:54:00,12:14:00,,,11:20:00,286.43,06:52:10,12:14:00,5:21:49,,,0:00:00,00:00:00,00:00:00,7:44:07,,,,,
2013-01-07,06:52:16,17:10:39,10:18:23,,13:01:00,,,13:01:00,299.43,06:52:16,13:01:00,6:08:44,,,0:00:00,17:10:39,00:00:00,6:49:20,,,,,
2013-01-08,06:52:19,17:11:27,10:19:07,03:04:00,13:53:00,,,10:49:00,313.43,06:52:19,13:53:00,7:00:40,,,0:00:00,00:00:00,00:00:00,9:52:33,,,,,
2013-01-09,06:52:22,17:12:15,10:19:53,04:09:00,14:53:00,,,10:44:00,326.43,06:52:22,14:53:00,8:00:38,,,0:00:00,00:00:00,00:00:00,10:56:45,,,,,
2013-01-10,06:52:22,17:13:04,10:20:42,05:12:00,15:57:00,,,10:45:00,340.43,06:52:22,15:57:00,9:04:37,,,0:00:00,00:00:00,00:00:00,11:58:56,,,,,
2013-01-11,06:52:21,17:13:53,10:21:32,06:10:00,17:05:00,,,10:55:00,354.43,06:52:21,17:05:00,10:12:39,,,0:00:00,00:00:00,00:00:00,12:56:07,,,,,
2013-01-12,06:52:18,17:14:43,10:22:25,07:02:00,18:13:00,,,11:11:00,8.43,07:02:00,17:14:43,10:12:43,,,0:00:00,00:00:00,00:00:00,12:39:19,,,,,
2013-01-13,06:52:14,17:15:33,10:23:19,07:48:00,19:19:00,,,11:31:00,22.43,07:48:00,17:15:33,9:27:33,,,0:00:00,00:00:00,00:00:00,11:33:14,,,,,
2013-01-14,06:52:07,17:16:24,10:24:16,08:30:00,20:22:00,,,11:52:00,35.43,08:30:00,17:16:24,8:46:24,,,0:00:00,00:00:00,00:00:00,10:30:08,,,,,
