Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2024-01-01,06:51:08,17:05:39,10:14:31,,10:30:00,22:05:00,,12:25:00,241.43,06:51:08,10:30:00,3:38:52,06:51:08,10:30:00,3:38:52,17:05:39,22:05:00,4:59:21,,,,,
2024-01-02,06:51:22,17:06:21,10:14:59,,10:56:00,22:58:00,,11:58:00,252.43,06:51:22,10:56:00,4:04:37,06:51:22,10:56:00,4:04:37,17:06:21,22:58:00,5:51:38,,,,,
2024-01-03,06:51:35,17:07:04,10:15:29,,11:21:00,23:51:00,,11:30:00,263.43,06:51:35,11:21:00,4:29:24,06:51:35,11:21:00,4:29:24,17:07:04,23:51:00,6:43:55,,,,,
2024-01-04,06:51:47,17:07:48,10:16:02,,11:47:00,,,11:47:00,274.43,06:51:47,11:47:00,4:55:13,,,0:00:00,17:07:48,00:00:00,6:52:11,,,,,
2024-01-05,06:51:56,17:08:33,10:16:37,00:45:00,12:15:00,,,11:30:00,285.43,06:51:56,12:15:00,5:23:03,,,0:00:00,00:00:00,00:00:00,7:36:26,,,,,
2024-01-06,06:52:05,17:09:19,10:17:14,,12:45:00,,,12:45:00,296.43,06:52:05,12:45:00,5:52:55,,,0:00:00,17:09:19,00:00:00,6:50:40,,,,,
2024-01-07,06:52:11,17:10:06,10:17:54,02:42:00,13:21:00,,,10:39:00,308.43,06:52:11,13:21:00,6:28:48,,,0:00:00,00:00:00,00:00:00,9:31:54,,,,,
2024-01-08,06:52:16,17:10:53,10:18:37,03:46:00,14:04:00,,,10:18:00,320.43,06:52:16,14:04:00,7:11:43,,,0:00:00,00:00:00,00:00:00,10:35:07,,,,,
2024-01-09,06:52:19,17:11:41,10:19:21,04:52:00,14:56:00,,,10:04:00,333.43,06:52:19,14:56:00,8:03:40,,,0:00:00,00:00:00,00:00:00,11:40:19,,,,,
2024-01-10,06:52:21,17:12:29,10:20:08,05:58:00,15:57:00,,,9:59:00,346.43,06:52:21,15:57:00,9:04:38,,,0:00:00,00:00:00,00:00:00,12:45:31,,,,,
2024-01-11,06:52:21,17:13:18,10:20:57,06:59:00,17:06:00,,,10:07:00,359.43,06:59:00,17:06:00,10:07:00,,,0:00:00,00:00:00,00:00:00,13:39:03,,,,,
2024-01-12,06:52:19,17:14:07,10:21:48,07:53:00,18:19:00,,,10:26:00,12.43,07:53:00,17:14:07,9:21:08,,,0:00:00,00:00:00,00:00:00,12:33:20,,,,,
2024-01-13,06:52:16,17:14:57,10:22:41,08:39:00,19:32:00,,,10:53:00,26.43,08:39:00,17:14:57,8:35:58,,,0:00:00,00:00:00,00:00:00,11:20:16,,,,,
2024-01-14,06:52:11,17:15:48,10:23:37,09:19:00,20:42:00,,,11:23:00,40.43,09:19:00,17:15:48,7:56:48,,,0:00:00,00:00:00,00:00:00,10:10:11,,,,,
2024-01-15,06:52:04,17:16:38,10:24:34,09:54:00,21:49:00,,,11:55:00,53.43,09:54:00,17:16:38,7:22:39,,,0:00:00,00:00:00,00:00:00,9:03:05,,,,,
2024-01-16,06:51:56,17:17:30,10:25:34,10:26:00,22:54:00,,,12:28:00,67.43,10:26:00,17:17:30,6:51:30,,,0:00:00,00:00:00,00:00:00,7:57:56,,,,,
